context_family,context_feature,context_value,schema_id,test_id,test_index,expected_validity,outlines_result,failure_type,important_feature_values,schema_path,instance_preview
numeric,numeric_boundary_case,multiple_violation,Github_easy---o17460.json,Github_easy---o17460.json::test_00003,3,invalid,accepted,UNDER,numeric_boundary_case=multiple_violation; numeric_target_type=number; numeric_parent_keyword=properties; additionalProperties_value=absent; instance_has_unmatched_keys=false; instance_matching_pattern_keys_count_bucket=0; combinator_type=absent; combinator_branch_count_bucket=0; oneOf_satisfied_branch_count_bucket=0; anyOf_satisfied_branch_count_bucket=0,/home/berrais/stage/jsonschemabench/maskbench/data/Github_easy---o17460.json,"{""amount"": 10.001}"
numeric,numeric_boundary_case,multiple_violation,Github_easy---o46410.json,Github_easy---o46410.json::test_00001,1,invalid,accepted,UNDER,numeric_boundary_case=multiple_violation; numeric_target_type=number; numeric_parent_keyword=properties; additionalProperties_value=absent; instance_has_unmatched_keys=false; instance_matching_pattern_keys_count_bucket=0; combinator_type=absent; combinator_branch_count_bucket=0; oneOf_satisfied_branch_count_bucket=0; anyOf_satisfied_branch_count_bucket=0,/home/berrais/stage/jsonschemabench/maskbench/data/Github_easy---o46410.json,"{""taxedUkInterest"": 1230.55, ""untaxedUkInterest"": 500.234}"
numeric,numeric_boundary_case,multiple_violation,Github_easy---o46410.json,Github_easy---o46410.json::test_00003,3,invalid,accepted,UNDER,numeric_boundary_case=multiple_violation; numeric_target_type=number; numeric_parent_keyword=properties; additionalProperties_value=absent; instance_has_unmatched_keys=false; instance_matching_pattern_keys_count_bucket=0; combinator_type=absent; combinator_branch_count_bucket=0; oneOf_satisfied_branch_count_bucket=0; anyOf_satisfied_branch_count_bucket=0,/home/berrais/stage/jsonschemabench/maskbench/data/Github_easy---o46410.json,"{""taxedUkInterest"": 99999999999.995, ""untaxedUkInterest"": 500.23}"
numeric,numeric_boundary_case,multiple_violation,Github_easy---o53899.json,Github_easy---o53899.json::test_00002,2,invalid,rejected,CORRECT_INVALID,numeric_boundary_case=multiple_violation; numeric_target_type=number; numeric_parent_keyword=properties; additionalProperties_value=absent; instance_has_unmatched_keys=false; instance_matching_pattern_keys_count_bucket=0; combinator_type=absent; combinator_branch_count_bucket=0; oneOf_satisfied_branch_count_bucket=0; anyOf_satisfied_branch_count_bucket=0,/home/berrais/stage/jsonschemabench/maskbench/data/Github_easy---o53899.json,"{""config"": {""key"": ""value""}, ""configId"": ""config-123"", ""id"": 1.5, ""reasonPhrase"": ""ok"", ""statusCode"": 200}"
numeric,numeric_boundary_case,multiple_violation,Github_easy---o53900.json,Github_easy---o53900.json::test_00001,1,invalid,rejected,CORRECT_INVALID,numeric_boundary_case=multiple_violation; numeric_target_type=number; numeric_parent_keyword=properties; additionalProperties_value=absent; instance_has_unmatched_keys=false; instance_matching_pattern_keys_count_bucket=0; combinator_type=absent; combinator_branch_count_bucket=0; oneOf_satisfied_branch_count_bucket=0; anyOf_satisfied_branch_count_bucket=0,/home/berrais/stage/jsonschemabench/maskbench/data/Github_easy---o53900.json,"{""config"": {""key"": ""value""}, ""configId"": ""example-config-id"", ""id"": 1.5}"
numeric,numeric_boundary_case,multiple_violation,Github_easy---o53900.json,Github_easy---o53900.json::test_00002,2,invalid,rejected,CORRECT_INVALID,numeric_boundary_case=multiple_violation; numeric_target_type=number; numeric_parent_keyword=properties; additionalProperties_value=absent; instance_has_unmatched_keys=true; instance_matching_pattern_keys_count_bucket=0; combinator_type=absent; combinator_branch_count_bucket=0; oneOf_satisfied_branch_count_bucket=0; anyOf_satisfied_branch_count_bucket=0,/home/berrais/stage/jsonschemabench/maskbench/data/Github_easy---o53900.json,"{""config"": {""key"": ""value""}, ""configId"": ""example-config-id"", ""extra"": ""extra"", ""id"": 1.5}"
numeric,numeric_boundary_case,below_min,Github_easy---o10065.json,Github_easy---o10065.json::test_00001,1,invalid,accepted,UNDER,numeric_boundary_case=below_min; numeric_target_type=integer; numeric_parent_keyword=properties; additionalProperties_value=absent; instance_has_unmatched_keys=false; instance_matching_pattern_keys_count_bucket=0; combinator_type=absent; combinator_branch_count_bucket=0; oneOf_satisfied_branch_count_bucket=0; anyOf_satisfied_branch_count_bucket=0,/home/berrais/stage/jsonschemabench/maskbench/data/Github_easy---o10065.json,"{""matched"": -1, ""modified"": 1, ""upsertedId"": ""some_id""}"
numeric,numeric_boundary_case,below_min,Github_easy---o10091.json,Github_easy---o10091.json::test_00001,1,invalid,accepted,UNDER,numeric_boundary_case=below_min; numeric_target_type=integer; numeric_parent_keyword=properties; additionalProperties_value=absent; instance_has_unmatched_keys=false; instance_matching_pattern_keys_count_bucket=0; combinator_type=absent; combinator_branch_count_bucket=0; oneOf_satisfied_branch_count_bucket=0; anyOf_satisfied_branch_count_bucket=0,/home/berrais/stage/jsonschemabench/maskbench/data/Github_easy---o10091.json,"{""paging"": {""addPageInfo"": true, ""limit"": 0}}"
numeric,numeric_boundary_case,below_min,Github_easy---o12299.json,Github_easy---o12299.json::test_00001,1,invalid,accepted,UNDER,numeric_boundary_case=below_min; numeric_target_type=number; numeric_parent_keyword=properties; additionalProperties_value=absent; instance_has_unmatched_keys=false; instance_matching_pattern_keys_count_bucket=0; combinator_type=absent; combinator_branch_count_bucket=0; oneOf_satisfied_branch_count_bucket=0; anyOf_satisfied_branch_count_bucket=0,/home/berrais/stage/jsonschemabench/maskbench/data/Github_easy---o12299.json,"{""components"": [{""date"": ""2022-01-01T12:00:00Z"", ""message"": ""Component 1 is running smoothly"", ""name"": ""Component 1"", ""status"": ""OK""}, {""date"": ""2022-01-01T13:00:00Z"", ""message"": ""Component 2 is experiencing issues"", ""name"": ""Component 2"", ""status"": ""ERROR""..."
numeric,numeric_boundary_case,below_min,Github_easy---o10093.json,Github_easy---o10093.json::test_00001,1,invalid,rejected,CORRECT_INVALID,numeric_boundary_case=below_min; numeric_target_type=integer; numeric_parent_keyword=properties; additionalProperties_value=absent; instance_has_unmatched_keys=false; instance_matching_pattern_keys_count_bucket=0; combinator_type=absent; combinator_branch_count_bucket=0; oneOf_satisfied_branch_count_bucket=0; anyOf_satisfied_branch_count_bucket=0,/home/berrais/stage/jsonschemabench/maskbench/data/Github_easy---o10093.json,"{""paging"": {""lastPage"": 0, ""limit"": 10, ""next"": """", ""page"": 1, ""previous"": """", ""total"": 5, ""uri"": ""/api/endpoint""}, ""results"": [{""id"": 1, ""name"": ""John Doe""}, {""id"": 2, ""name"": ""Jane Doe""}, {""id"": 3, ""name"": ""Bob Smith""}, {""id"": 4, ""name"": ""Alice Johnson""},..."
