context_family,context_feature,context_value,support_invalid_tests,support_schemas,under_count,under_rate_invalid_only,baseline_under_rate_invalid_only,under_lift_invalid_only,low_support
combinators,allOf_satisfied_branch_count_bucket,0,10994,3658,1231,0.11197,0.111131,1.00755,false
combinators,allOf_satisfied_branch_count_bucket,1,108,35,10,0.0925926,0.111131,0.833184,false
combinators,allOf_satisfied_branch_count_bucket,2,65,23,1,0.0153846,0.111131,0.138437,false
combinators,allOf_satisfied_branch_count_bucket,3,8,3,0,0,0.111131,0,true
combinators,allOf_satisfied_branch_count_bucket,6+,1,1,0,0,0.111131,0,true
combinators,allOf_satisfied_branch_ratio,0,10994,3658,1231,0.11197,0.111131,1.00755,false
combinators,allOf_satisfied_branch_ratio,0.333333,1,1,0,0,0.111131,0,true
combinators,allOf_satisfied_branch_ratio,0.5,63,22,5,0.0793651,0.111131,0.714158,false
combinators,allOf_satisfied_branch_ratio,0.666667,11,6,0,0,0.111131,0,true
combinators,allOf_satisfied_branch_ratio,1,107,33,6,0.0560748,0.111131,0.504583,false
combinators,anyOf_satisfied_branch_count,0,10819,3637,1212,0.112025,0.111131,1.00805,false
combinators,anyOf_satisfied_branch_count,1,290,75,25,0.0862069,0.111131,0.775723,false
combinators,anyOf_satisfied_branch_count,2,54,25,5,0.0925926,0.111131,0.833184,false
combinators,anyOf_satisfied_branch_count,3,2,2,0,0,0.111131,0,true
combinators,anyOf_satisfied_branch_count,4,5,1,0,0,0.111131,0,true
combinators,anyOf_satisfied_branch_count,8,6,1,0,0,0.111131,0,true
combinators,anyOf_satisfied_branch_count_bucket,0,10819,3637,1212,0.112025,0.111131,1.00805,false
combinators,anyOf_satisfied_branch_count_bucket,1,290,75,25,0.0862069,0.111131,0.775723,false
combinators,anyOf_satisfied_branch_count_bucket,2,54,25,5,0.0925926,0.111131,0.833184,false
combinators,anyOf_satisfied_branch_count_bucket,3,2,2,0,0,0.111131,0,true
combinators,anyOf_satisfied_branch_count_bucket,4-5,5,1,0,0,0.111131,0,true
combinators,anyOf_satisfied_branch_count_bucket,6+,6,1,0,0,0.111131,0,true
combinators,branches_conflicting_types,false,11176,3694,1242,0.111131,0.111131,1,false
combinators,branches_have_enum,false,10738,3570,1222,0.113801,0.111131,1.02403,false
combinators,branches_have_enum,true,438,124,20,0.0456621,0.111131,0.410885,false
combinators,branches_have_not,false,11113,3679,1236,0.111221,0.111131,1.00081,false
combinators,branches_have_not,true,63,15,6,0.0952381,0.111131,0.856989,false
combinators,branches_have_properties,false,10492,3493,1214,0.115707,0.111131,1.04118,false
combinators,branches_have_properties,true,684,201,28,0.0409357,0.111131,0.368355,false
combinators,branches_have_required,false,10489,3508,1179,0.112403,0.111131,1.01145,false
combinators,branches_have_required,true,687,186,63,0.0917031,0.111131,0.82518,false
combinators,branches_overlapping_properties,false,10858,3603,1229,0.113188,0.111131,1.01851,false
combinators,branches_overlapping_properties,true,318,91,13,0.0408805,0.111131,0.367859,false
combinators,combinator_branch_count_bucket,0,9415,3191,1129,0.119915,0.111131,1.07904,false
combinators,combinator_branch_count_bucket,1,134,30,9,0.0671642,0.111131,0.604369,false
combinators,combinator_branch_count_bucket,2,1025,309,87,0.084878,0.111131,0.763766,false
combinators,combinator_branch_count_bucket,3,268,76,8,0.0298507,0.111131,0.268609,false
combinators,combinator_branch_count_bucket,4-5,148,38,3,0.0202703,0.111131,0.1824,false
combinators,combinator_branch_count_bucket,6+,186,50,6,0.0322581,0.111131,0.290271,false
combinators,combinator_type,absent,9415,3191,1129,0.119915,0.111131,1.07904,false
combinators,combinator_type,allOf,126,32,4,0.031746,0.111131,0.285663,false
