cause,schema_count,test_count
boolean false schema,58,316
format: path,37,95
unsupported schema structure,32,122
tokenizer/regex incompatible,29,196
DFA state limit,29,154
annotation-only/metadata schema,27,123
format: topic,16,35
format: url,14,81
keyword: $ref,8,30
keyword: not,6,34
format: hostname,4,25
keyword: patternProperties,3,12
format: uri,2,13
format: defFile,2,10
format: uri-reference,2,9
format: mongoId,2,7
format: css-color,2,6
format: html-selector,2,5
format: host-name,1,9
keyword: propertyNames,1,8
format: ^\d{4}-\d{2}-\d{2}$,1,6
format: duration,1,6
format: country-code,1,5
format: ipv4,1,5
keyword: minProperties,1,5
format: (\d{2}-(\d{2})-(\d{4})),1,4
format: chickenbutt,1,4
format: full-date,1,4
format: partial-date,1,4
format: animationFile,1,3
format: code,1,3
format: date-time,1,3
format: feed-onestop-id,1,3
keyword: anyOf,1,3
format: cidr,1,2
format: date-type,1,2
format: datetime,1,2
format: semver,1,2
other compile error,1,2
