feature,n_schemas,n_completed_tests,under_rate,over_rate,correct_rate,timeout_rate
has_if_then_else,4,20,0,1,0.65,0
has_propertyNames,3,17,0,1,0.764706,0
has_contains,1,3,0,1,0.666667,0
has_patternProperties,119,577,0.0385675,0.841121,0.663778,0.0168067
has_not,20,106,0.0547945,0.818182,0.707547,0
has_allOf,42,225,0.0533333,0.76,0.711111,0.0238095
has_maxProperties,10,43,0,0.692308,0.790698,0.1
has_maximum,111,644,0.304622,0.375,0.677019,0.126126
has_anyOf,92,529,0.0686016,0.58,0.786389,0.0434783
has_minimum,302,1818,0.39039,0.255144,0.645765,0.0596026
has_exclusiveMinimum,9,62,0.297872,0.333333,0.693548,0
has_oneOf,182,832,0.0480769,0.564103,0.758413,0.0659341
has_minProperties,29,153,0.0384615,0.55102,0.797386,0
has_default,485,2174,0.221515,0.346912,0.734591,0.0618557
has_multipleOf,9,29,0.538462,0,0.758621,0.111111
large_enum,267,1232,0.0543478,0.475248,0.80763,0.0524345
has_maxLength,252,1204,0.119183,0.405573,0.803987,0.253968
has_minLength,313,1675,0.0819805,0.433409,0.825075,0.182109
has_pattern,512,2840,0.083373,0.430499,0.826056,0.142578
deep_schema,338,1598,0.0325048,0.471014,0.81602,0.0266272
has_const,19,106,0.0555556,0.441176,0.820755,0
has_required,1365,6538,0.130364,0.356982,0.792444,0.0432234
has_minItems,227,1370,0.0655242,0.420635,0.836496,0.0220264
has_ref,442,2247,0.0493992,0.435247,0.821985,0.0316742
has_enum,808,3637,0.0649566,0.40082,0.822381,0.0792079
many_properties,1268,6046,0.108244,0.353771,0.808303,0.0544164
has_defs,471,2428,0.0455105,0.416459,0.83196,0.0276008
has_properties,1819,8534,0.116607,0.334015,0.808648,0.0483782
has_type,1823,8542,0.116566,0.333333,0.808827,0.0482721
many_required,827,4108,0.096245,0.344322,0.821324,0.0241838
has_additionalProperties,852,4250,0.0863684,0.351134,0.828471,0.0739437
has_boolean_schema,825,4082,0.0885435,0.343726,0.82925,0.0751515
has_items,990,4970,0.061828,0.354501,0.842656,0.0545455
has_maxItems,90,460,0.0298507,0.344,0.884783,0.177778
has_content,2,7,0,0,1,0
