feature,correct,timeout,under,over,correct_n,timeout_n,under_n,over_n
has_additionalProperties,0.443529,0.715909,0.426174,0.491143,850,88,298,621
has_allOf,0.00588235,0.0113636,0.0167785,0.0531401,850,88,298,621
has_anyOf,0.0270588,0.0454545,0.0469799,0.0821256,850,88,298,621
has_boolean_schema,0.432941,0.704545,0.419463,0.466989,850,88,298,621
has_const,0.00941176,0,0.0100671,0.0161031,850,88,298,621
has_contains,0,0,0,0.00161031,850,88,298,621
has_content,0.00235294,0,0,0,850,88,298,621
has_default,0.215294,0.340909,0.402685,0.267311,850,88,298,621
has_defs,0.263529,0.147727,0.134228,0.31723,850,88,298,621
has_enum,0.412941,0.727273,0.298658,0.510467,850,88,298,621
has_exclusiveMinimum,0.00117647,0,0.0167785,0.00483092,850,88,298,621
has_if_then_else,0,0,0,0.00644122,850,88,298,621
has_items,0.582353,0.613636,0.325503,0.557166,850,88,298,621
has_maxItems,0.0505882,0.181818,0.0201342,0.0402576,850,88,298,621
has_maxLength,0.0658824,0.727273,0.211409,0.130435,850,88,298,621
has_maxProperties,0.00470588,0.0113636,0,0.00805153,850,88,298,621
has_maximum,0.0141176,0.159091,0.167785,0.0611916,850,88,298,621
has_minItems,0.115294,0.0568182,0.104027,0.151369,850,88,298,621
has_minLength,0.107059,0.647727,0.218121,0.180354,850,88,298,621
has_minProperties,0.0105882,0,0.0134228,0.0257649,850,88,298,621
has_minimum,0.0258824,0.204545,0.657718,0.119163,850,88,298,621
has_multipleOf,0.00235294,0.0113636,0.0201342,0,850,88,298,621
has_not,0.00117647,0,0.00671141,0.0305958,850,88,298,621
has_oneOf,0.0647059,0.136364,0.0637584,0.15781,850,88,298,621
has_pattern,0.195294,0.829545,0.285235,0.330113,850,88,298,621
has_patternProperties,0.0105882,0.0227273,0.0268456,0.161031,850,88,298,621
has_properties,0.995294,1,1,1,850,88,298,621
has_propertyNames,0,0,0,0.00483092,850,88,298,621
has_ref,0.235294,0.159091,0.134228,0.307568,850,88,298,621
has_required,0.694118,0.670455,0.832215,0.795491,850,88,298,621
has_type,1,1,1,1,850,88,298,621
large_enum,0.114118,0.159091,0.107383,0.214171,850,88,298,621
many_required,0.472941,0.227273,0.385906,0.476651,850,88,298,621
many_properties,0.662353,0.784091,0.644295,0.742351,850,88,298,621
deep_schema,0.177647,0.102273,0.0771812,0.254428,850,88,298,621
