feature,feature_pair,feature_a,feature_b,n_schemas,support,risk_count,interest_score,timeout_lift,timeout_delta,under_lift,under_delta,over_lift,over_delta,correct,timeout,under,over,correct_n,timeout_n,under_n,over_n
[P] has_properties + has_type,has_properties__AND__has_type,has_properties,has_type,1819,0.997806,3,3.05003e+06,inf,0.0483782,inf,0.116607,inf,0.334015,0.995294,1,1,1,850,88,298,621
[P] has_default + has_maxLength,has_default__AND__has_maxLength,has_default,has_maxLength,58,0.0318157,3,3.01018e+06,10.1437,0.341917,1.37028,0.0427691,1.56797,0.187153,0.0105882,0.25,0.0436242,0.0322061,850,88,298,621
[P] has_maxLength + has_maximum,has_maxLength__AND__has_maximum,has_maxLength,has_maximum,45,0.0246846,3,3.0075e+06,7.47508,0.269491,1.23379,0.0270696,1.77062,0.253222,0.00470588,0.159091,0.0302013,0.0305958,850,88,298,621
[P] has_maximum + has_pattern,has_maximum__AND__has_pattern,has_maximum,has_pattern,50,0.0274273,3,3.00673e+06,6.70865,0.238263,2.44475,0.159873,1.36528,0.120828,0.00470588,0.159091,0.0536913,0.0289855,850,88,298,621
[P] has_maxLength + has_minimum,has_maxLength__AND__has_minimum,has_maxLength,has_minimum,64,0.035107,3,3.00522e+06,5.19975,0.176681,2.04281,0.115759,1.15132,0.0502091,0.00588235,0.159091,0.090604,0.0338164,850,88,298,621
[P] has_enum + has_maximum,has_enum__AND__has_maximum,has_enum,has_maximum,72,0.0394953,3,3.00462e+06,4.60098,0.152183,1.73714,0.0827983,1.625,0.204082,0.00823529,0.159091,0.0704698,0.0499195,850,88,298,621
[P] has_minimum + has_pattern,has_minimum__AND__has_pattern,has_minimum,has_pattern,89,0.0488206,3,3.0037e+06,3.686,0.114627,2.31417,0.138266,1.28112,0.092572,0.00823529,0.159091,0.124161,0.0531401,850,88,298,621
[P] has_boolean_schema + has_default,has_boolean_schema__AND__has_default,has_boolean_schema,has_default,199,0.109161,3,3.00362e+06,3.61216,0.0981168,1.4801,0.0529889,1.16282,0.0534358,0.08,0.306818,0.137584,0.117552,850,88,298,621
[P] has_minLength + has_minimum,has_minLength__AND__has_minimum,has_minLength,has_minimum,70,0.0383982,3,3.00359e+06,3.57755,0.113218,1.45426,0.0515831,1.20896,0.0691358,0.0117647,0.125,0.0939597,0.0386473,850,88,298,621
[P] has_additionalProperties + has_default,has_additionalProperties__AND__has_default,has_additionalProperties,has_default,213,0.11684,3,3.00354e+06,3.52739,0.0941883,1.35463,0.0395648,1.22204,0.0723266,0.0858824,0.318182,0.137584,0.130435,850,88,298,621
[P] has_boolean_schema + has_maximum,has_boolean_schema__AND__has_maximum,has_boolean_schema,has_maximum,68,0.0373012,3,3.00332e+06,3.30882,0.102614,2.01008,0.111489,1.46266,0.151831,0.00823529,0.113636,0.0805369,0.0483092,850,88,298,621
[P] has_additionalProperties + has_maximum,has_additionalProperties__AND__has_maximum,has_additionalProperties,has_maximum,70,0.0383982,3,3.00323e+06,3.21062,0.098362,1.9951,0.109793,1.46609,0.152843,0.00823529,0.113636,0.0838926,0.0499195,850,88,298,621
[P] has_enum + has_minimum,has_enum__AND__has_minimum,has_enum,has_minimum,111,0.0608886,3,3.00318e+06,3.1692,0.0924949,2.17408,0.125086,1.43411,0.141261,0.0117647,0.170455,0.144295,0.0708535,850,88,298,621
[P] has_default + has_required,has_default__AND__has_required,has_default,has_required,389,0.213385,3,3.00311e+06,1.5459,0.0236023,3.09151,0.173327,1.1921,0.0615903,0.144706,0.295455,0.355705,0.236715,850,88,298,621
[P] has_maxLength + has_pattern,has_maxLength__AND__has_pattern,has_maxLength,has_pattern,169,0.0927043,2,2.02215e+06,22.1113,0.344623,0.948211,-0.00606863,1.48994,0.158326,0.0223529,0.693182,0.14094,0.0901771,850,88,298,621
[P] has_maxLength + has_properties,has_maxLength__AND__has_properties,has_maxLength,has_properties,252,0.138234,2,2.01665e+06,16.6243,0.238691,1.02676,0.00310564,1.25016,0.0811555,0.0658824,0.727273,0.211409,0.130435,850,88,298,621
[P] has_maxLength + has_type,has_maxLength__AND__has_type,has_maxLength,has_type,252,0.138234,2,2.01665e+06,16.6243,0.238691,1.02676,0.00310564,1.25016,0.0811555,0.0658824,0.727273,0.211409,0.130435,850,88,298,621
[P] has_enum + has_maxLength,has_enum__AND__has_maxLength,has_enum,has_maxLength,156,0.0855732,2,2.01547e+06,15.4352,0.311738,0.612822,-0.0467036,1.43228,0.140499,0.04,0.590909,0.0838926,0.0772947,850,88,298,621
[P] has_maxLength + has_minLength,has_maxLength__AND__has_minLength,has_maxLength,has_minLength,197,0.108064,2,2.0152e+06,15.1764,0.270275,0.940792,-0.00695153,1.33948,0.110145,0.0435294,0.647727,0.16443,0.10306,850,88,298,621
[P] has_minLength + has_pattern,has_minLength__AND__has_pattern,has_minLength,has_pattern,185,0.101481,2,2.01478e+06,14.7568,0.277151,0.855202,-0.0171804,1.59741,0.190245,0.0305882,0.625,0.147651,0.111111,850,88,298,621
