feature_pair,feature_a,feature_b,schemas_with_pair,schemas_without_pair,support,over_with_pair,over_without_pair,over_denominator_with,over_denominator_without,over_rate_with,over_rate_without,lift,delta,eligible_lift
has_minLength__AND__has_patternProperties,has_minLength,has_patternProperties,39,1784,0.0213933,70,910,70,2870,1,0.317073,3.15385,0.682927,true
has_maximum__AND__has_patternProperties,has_maximum,has_patternProperties,13,1810,0.0071311,21,959,21,2919,1,0.328537,3.0438,0.671463,true
has_pattern__AND__has_patternProperties,has_pattern,has_patternProperties,51,1772,0.0279759,85,895,90,2850,0.944444,0.314035,3.00745,0.630409,true
has_maxLength__AND__has_patternProperties,has_maxLength,has_patternProperties,23,1800,0.0126166,38,942,40,2900,0.95,0.324828,2.92463,0.625172,true
has_maxItems__AND__has_patternProperties,has_maxItems,has_patternProperties,12,1811,0.00658256,21,959,22,2918,0.954545,0.32865,2.90445,0.625896,true
has_patternProperties__AND__has_properties,has_patternProperties,has_properties,119,1704,0.065277,180,800,214,2726,0.841121,0.29347,2.86612,0.547651,true
has_patternProperties__AND__has_type,has_patternProperties,has_type,119,1704,0.065277,180,800,214,2726,0.841121,0.29347,2.86612,0.547651,true
has_default__AND__has_patternProperties,has_default,has_patternProperties,16,1807,0.00877674,29,951,31,2909,0.935484,0.326916,2.86154,0.608567,true
has_minItems__AND__has_patternProperties,has_minItems,has_patternProperties,33,1790,0.018102,54,926,59,2881,0.915254,0.321416,2.84757,0.593838,true
has_enum__AND__has_patternProperties,has_enum,has_patternProperties,54,1769,0.0296215,85,895,95,2845,0.894737,0.314587,2.84416,0.58015,true
has_additionalProperties__AND__has_patternProperties,has_additionalProperties,has_patternProperties,89,1734,0.0488206,136,844,159,2781,0.855346,0.303488,2.81839,0.551858,true
has_patternProperties__AND__has_ref,has_patternProperties,has_ref,49,1774,0.0268788,79,901,89,2851,0.88764,0.316029,2.80873,0.571611,true
has_boolean_schema__AND__has_patternProperties,has_boolean_schema,has_patternProperties,87,1736,0.0477235,133,847,156,2784,0.852564,0.304239,2.80229,0.548326,true
has_defs__AND__has_patternProperties,has_defs,has_patternProperties,48,1775,0.0263302,77,903,87,2853,0.885057,0.316509,2.79631,0.568549,true
has_patternProperties__AND__has_required,has_patternProperties,has_required,92,1731,0.0504663,142,838,168,2772,0.845238,0.302309,2.79594,0.542929,true
has_allOf__AND__has_enum,has_allOf,has_enum,25,1798,0.0137137,37,943,41,2899,0.902439,0.325285,2.77431,0.577154,true
has_items__AND__has_patternProperties,has_items,has_patternProperties,71,1752,0.0389468,109,871,128,2812,0.851562,0.309744,2.74925,0.541819,true
has_defs__AND__has_not,has_defs,has_not,16,1807,0.00877674,24,956,27,2913,0.888889,0.328184,2.70851,0.560705,true
has_not__AND__has_ref,has_not,has_ref,16,1807,0.00877674,24,956,27,2913,0.888889,0.328184,2.70851,0.560705,true
has_maxItems__AND__has_maxLength,has_maxItems,has_maxLength,28,1795,0.0153593,21,959,24,2916,0.875,0.328875,2.66058,0.546125,true
has_allOf__AND__has_oneOf,has_allOf,has_oneOf,25,1798,0.0137137,38,942,44,2896,0.863636,0.325276,2.65509,0.53836,true
has_not__AND__has_oneOf,has_not,has_oneOf,13,1810,0.0071311,20,960,23,2917,0.869565,0.329105,2.64221,0.54046,true
has_minimum__AND__has_patternProperties,has_minimum,has_patternProperties,22,1801,0.012068,32,948,38,2902,0.842105,0.326671,2.57784,0.515434,true
has_anyOf__AND__has_oneOf,has_anyOf,has_oneOf,20,1803,0.0109709,31,949,37,2903,0.837838,0.326903,2.56295,0.510935,true
has_enum__AND__has_not,has_enum,has_not,19,1804,0.0104224,26,954,31,2909,0.83871,0.327948,2.55745,0.510762,true
has_maxItems__AND__has_minLength,has_maxItems,has_minLength,28,1795,0.0153593,21,959,25,2915,0.84,0.328988,2.55328,0.511012,true
has_allOf__AND__has_defs,has_allOf,has_defs,37,1786,0.0202962,54,926,66,2874,0.818182,0.322199,2.53937,0.495983,true
has_allOf__AND__has_ref,has_allOf,has_ref,37,1786,0.0202962,54,926,66,2874,0.818182,0.322199,2.53937,0.495983,true
has_oneOf__AND__has_patternProperties,has_oneOf,has_patternProperties,28,1795,0.0153593,43,937,53,2887,0.811321,0.324558,2.49977,0.486762,true
has_not__AND__has_properties,has_not,has_properties,20,1803,0.0109709,27,953,33,2907,0.818182,0.327829,2.49576,0.490352,true
has_not__AND__has_required,has_not,has_required,20,1803,0.0109709,27,953,33,2907,0.818182,0.327829,2.49576,0.490352,true
has_not__AND__has_type,has_not,has_type,20,1803,0.0109709,27,953,33,2907,0.818182,0.327829,2.49576,0.490352,true
