feature_pair,feature_a,feature_b,schemas_with_pair,schemas_without_pair,support,timeout_with_pair,timeout_without_pair,timeout_denominator_with,timeout_denominator_without,timeout_rate_with,timeout_rate_without,lift,delta,eligible_lift
has_maxLength__AND__has_pattern,has_maxLength,has_pattern,169,1654,0.0927043,61,27,169,1654,0.360947,0.0163241,22.1113,0.344623,true
has_maxLength__AND__has_properties,has_maxLength,has_properties,252,1571,0.138234,64,24,252,1571,0.253968,0.0152769,16.6243,0.238691,true
has_maxLength__AND__has_type,has_maxLength,has_type,252,1571,0.138234,64,24,252,1571,0.253968,0.0152769,16.6243,0.238691,true
has_enum__AND__has_maxLength,has_enum,has_maxLength,156,1667,0.0855732,52,36,156,1667,0.333333,0.0215957,15.4352,0.311738,true
has_maxLength__AND__has_minLength,has_maxLength,has_minLength,197,1626,0.108064,57,31,197,1626,0.28934,0.0190652,15.1764,0.270275,true
has_minLength__AND__has_pattern,has_minLength,has_pattern,185,1638,0.101481,55,33,185,1638,0.297297,0.0201465,14.7568,0.277151,true
has_enum__AND__has_pattern,has_enum,has_pattern,282,1541,0.15469,62,26,282,1541,0.219858,0.0168722,13.0308,0.202986,true
has_pattern__AND__has_properties,has_pattern,has_properties,512,1311,0.280856,73,15,512,1311,0.142578,0.0114416,12.4613,0.131136,true
has_pattern__AND__has_type,has_pattern,has_type,512,1311,0.280856,73,15,512,1311,0.142578,0.0114416,12.4613,0.131136,true
has_maxItems__AND__has_maxLength,has_maxItems,has_maxLength,28,1795,0.0153593,14,74,28,1795,0.5,0.0412256,12.1284,0.458774,true
has_maxItems__AND__has_minLength,has_maxItems,has_minLength,28,1795,0.0153593,13,75,28,1795,0.464286,0.0417827,11.1119,0.422503,true
has_enum__AND__has_minLength,has_enum,has_minLength,175,1648,0.0959956,47,41,175,1648,0.268571,0.0248786,10.7953,0.243693,true
has_boolean_schema__AND__has_maxLength,has_boolean_schema,has_maxLength,164,1659,0.0899616,45,43,164,1659,0.27439,0.0259192,10.5864,0.248471,true
has_additionalProperties__AND__has_maxLength,has_additionalProperties,has_maxLength,166,1657,0.0910587,45,43,166,1657,0.271084,0.0259505,10.4462,0.245134,true
has_default__AND__has_maxLength,has_default,has_maxLength,58,1765,0.0318157,22,66,58,1765,0.37931,0.0373938,10.1437,0.341917,true
has_default__AND__has_minLength,has_default,has_minLength,61,1762,0.0334613,22,66,61,1762,0.360656,0.0374574,9.62842,0.323198,true
has_minLength__AND__has_properties,has_minLength,has_properties,313,1510,0.171695,57,31,313,1510,0.182109,0.0205298,8.87045,0.161579,true
has_minLength__AND__has_type,has_minLength,has_type,313,1510,0.171695,57,31,313,1510,0.182109,0.0205298,8.87045,0.161579,true
has_items__AND__has_maxLength,has_items,has_maxLength,122,1701,0.0669227,34,54,122,1701,0.278689,0.031746,8.77869,0.246942,true
has_boolean_schema__AND__has_minLength,has_boolean_schema,has_minLength,189,1634,0.103675,42,46,189,1634,0.222222,0.0281518,7.89372,0.19407,true
has_additionalProperties__AND__has_minLength,has_additionalProperties,has_minLength,193,1630,0.105869,42,46,193,1630,0.217617,0.0282209,7.7112,0.189396,true
has_enum__AND__has_maxItems,has_enum,has_maxItems,44,1779,0.024136,14,74,44,1779,0.318182,0.0415964,7.64926,0.276585,true
has_maxItems__AND__has_oneOf,has_maxItems,has_oneOf,24,1799,0.0131651,8,80,24,1799,0.333333,0.0444691,7.49583,0.288864,true
has_maxLength__AND__has_maximum,has_maxLength,has_maximum,45,1778,0.0246846,14,74,45,1778,0.311111,0.0416198,7.47508,0.269491,true
has_additionalProperties__AND__has_pattern,has_additionalProperties,has_pattern,327,1496,0.179375,54,34,327,1496,0.165138,0.0227273,7.26606,0.14241,true
has_boolean_schema__AND__has_pattern,has_boolean_schema,has_pattern,319,1504,0.174986,53,35,319,1504,0.166144,0.0232713,7.13945,0.142873,true
has_maxLength__AND__has_required,has_maxLength,has_required,194,1629,0.106418,40,48,194,1629,0.206186,0.0294659,6.99742,0.17672,true
has_maxItems__AND__has_pattern,has_maxItems,has_pattern,48,1775,0.0263302,14,74,48,1775,0.291667,0.0416901,6.99606,0.249977,true
has_maximum__AND__has_pattern,has_maximum,has_pattern,50,1773,0.0274273,14,74,50,1773,0.28,0.0417372,6.70865,0.238263,true
has_maximum__AND__has_minLength,has_maximum,has_minLength,41,1782,0.0224904,11,77,41,1782,0.268293,0.0432099,6.20906,0.225083,true
