feature_pair,feature_a,feature_b,schemas_with_pair,schemas_without_pair,support,under_with_pair,under_without_pair,under_denominator_with,under_denominator_without,under_rate_with,under_rate_without,lift,delta,eligible_lift
has_minimum__AND__has_properties,has_minimum,has_properties,302,1521,0.165661,520,133,1332,4270,0.39039,0.0311475,12.5336,0.359243,true
has_minimum__AND__has_type,has_minimum,has_type,302,1521,0.165661,520,133,1332,4270,0.39039,0.0311475,12.5336,0.359243,true
has_minimum__AND__has_required,has_minimum,has_required,263,1560,0.144268,465,188,1204,4398,0.386213,0.0427467,9.03491,0.343466,true
has_default__AND__has_minimum,has_default,has_minimum,130,1693,0.071311,282,371,489,5113,0.576687,0.0725601,7.94771,0.504127,true
has_default__AND__has_maximum,has_default,has_maximum,45,1778,0.0246846,77,576,167,5435,0.461078,0.10598,4.35062,0.355098,true
has_boolean_schema__AND__has_minimum,has_boolean_schema,has_minimum,129,1694,0.0707625,179,474,579,5023,0.309154,0.0943659,3.27612,0.214788,true
has_additionalProperties__AND__has_minimum,has_additionalProperties,has_minimum,135,1688,0.0740538,183,470,614,4988,0.298046,0.0942261,3.16309,0.203819,true
has_maximum__AND__has_minimum,has_maximum,has_minimum,109,1714,0.0597916,145,508,465,5137,0.311828,0.0988904,3.15327,0.212938,true
has_default__AND__has_required,has_default,has_required,389,1434,0.213385,279,374,1089,4513,0.256198,0.0828717,3.09151,0.173327,true
has_maximum__AND__has_properties,has_maximum,has_properties,111,1712,0.0608886,145,508,476,5126,0.304622,0.0991026,3.0738,0.205519,true
has_maximum__AND__has_type,has_maximum,has_type,111,1712,0.0608886,145,508,476,5126,0.304622,0.0991026,3.0738,0.205519,true
has_maximum__AND__has_required,has_maximum,has_required,95,1728,0.0521119,130,523,432,5170,0.300926,0.101161,2.97474,0.199765,true
has_default__AND__has_properties,has_default,has_properties,485,1338,0.266045,313,340,1413,4189,0.221515,0.081165,2.72919,0.14035,true
has_default__AND__has_type,has_default,has_type,485,1338,0.266045,313,340,1413,4189,0.221515,0.081165,2.72919,0.14035,true
