feature,schemas_with_feature,schemas_without_feature,timeout_with_feature,timeout_without_feature,timeout_rate_with,timeout_rate_without,lift,support,global_timeout_rate
has_properties,1819,4,88,0,0.0483782,0,inf,0.997806,0.0482721
has_type,1823,0,88,0,0.0482721,0,inf,1,0.0482721
has_maxLength,252,1571,64,24,0.253968,0.0152769,16.6243,0.138234,0.0482721
has_pattern,512,1311,73,15,0.142578,0.0114416,12.4613,0.280856,0.0482721
has_minLength,313,1510,57,31,0.182109,0.0205298,8.87045,0.171695,0.0482721
has_maxItems,90,1733,16,72,0.177778,0.0415465,4.27901,0.0493692,0.0482721
has_enum,808,1015,64,24,0.0792079,0.0236453,3.34983,0.443225,0.0482721
has_maximum,111,1712,14,74,0.126126,0.0432243,2.91794,0.0608886,0.0482721
has_boolean_schema,825,998,62,26,0.0751515,0.0260521,2.88466,0.452551,0.0482721
has_additionalProperties,852,971,63,25,0.0739437,0.0257467,2.87197,0.467361,0.0482721
has_multipleOf,9,1814,1,87,0.111111,0.0479603,2.31673,0.00493692,0.0482721
has_maxProperties,10,1813,1,87,0.1,0.0479868,2.08391,0.00548546,0.0482721
many_properties,1268,555,69,19,0.0544164,0.0342342,1.58953,0.695557,0.0482721
has_default,485,1338,30,58,0.0618557,0.0433483,1.42695,0.266045,0.0482721
has_oneOf,182,1641,12,76,0.0659341,0.0463132,1.42366,0.0998354,0.0482721
has_items,990,833,54,34,0.0545455,0.0408163,1.33636,0.543061,0.0482721
has_minimum,302,1521,18,70,0.0596026,0.0460224,1.29508,0.165661,0.0482721
large_enum,267,1556,14,74,0.0524345,0.0475578,1.10254,0.146462,0.0482721
has_anyOf,92,1731,4,84,0.0434783,0.0485269,0.895963,0.0504663,0.0482721
has_required,1365,458,59,29,0.0432234,0.0633188,0.682632,0.748766,0.0482721
has_ref,442,1381,14,74,0.0316742,0.0535844,0.591109,0.242457,0.0482721
deep_schema,338,1485,9,79,0.0266272,0.0531987,0.500524,0.185409,0.0482721
has_defs,471,1352,13,75,0.0276008,0.0554734,0.497551,0.258365,0.0482721
has_allOf,42,1781,1,87,0.0238095,0.048849,0.487411,0.0230389,0.0482721
has_minItems,227,1596,5,83,0.0220264,0.052005,0.423544,0.12452,0.0482721
many_required,827,996,20,68,0.0241838,0.0682731,0.354221,0.453648,0.0482721
has_patternProperties,119,1704,2,86,0.0168067,0.0504695,0.333008,0.065277,0.0482721
has_const,19,1804,0,88,0,0.0487805,0,0.0104224,0.0482721
has_contains,1,1822,0,88,0,0.0482986,0,0.000548546,0.0482721
has_content,2,1821,0,88,0,0.0483251,0,0.00109709,0.0482721
has_exclusiveMinimum,9,1814,0,88,0,0.0485116,0,0.00493692,0.0482721
has_if_then_else,4,1819,0,88,0,0.0483782,0,0.00219419,0.0482721
has_minProperties,29,1794,0,88,0,0.0490524,0,0.0159078,0.0482721
has_not,20,1803,0,88,0,0.0488075,0,0.0109709,0.0482721
has_propertyNames,3,1820,0,88,0,0.0483516,0,0.00164564,0.0482721
