schema_status,phase,n,mean_s,std_s,median_s,p95_s,min_s,max_s
completed,compile_grammar_s,1735,21.7915,63.8708,2.98078,112.872,0.025323,577.004
completed,validation_loop_mean_s,1443,0.145571,0.212154,0.0940268,0.427561,1.325e-05,4.38604
completed,compute_mask_mean_s,1443,0.064898,0.0954846,0.041975,0.195013,5.2e-06,1.9759
completed,commit_token_mean_s,1443,0.0804247,0.116469,0.051989,0.234943,5e-07,2.40604
completed,timeout_elapsed_s,0,,,,,,
timeout,compile_grammar_s,2,2.87716,0.414244,2.87716,3.14078,2.58424,3.17007
timeout,validation_loop_mean_s,1,0.134971,0,0.134971,0.134971,0.134971,0.134971
timeout,compute_mask_mean_s,1,0.030372,0,0.030372,0.030372,0.030372,0.030372
timeout,commit_token_mean_s,1,0.036949,0,0.036949,0.036949,0.036949,0.036949
timeout,timeout_elapsed_s,88,600.79,1.79072,601.066,602.543,585.298,602.928
