characteristic,bucket,n_schemas,value_min,value_max,schemas_with_under_rate,schemas_with_over_rate,under_test_rate,over_test_rate,timeout_schema_rate
schema_json_chars,q1_low,456,87,858,0.135965,0.265351,0.100083,0.263448,0.0328947
schema_json_chars,q2_mid_low,456,859,1295,0.160088,0.29386,0.128892,0.292943,0.0570175
schema_json_chars,q3_mid_high,455,1296,1812,0.195604,0.4,0.134476,0.38587,0.0461538
schema_json_chars,q4_high,456,1813,40076,0.162281,0.403509,0.100334,0.391484,0.0570175
schema_file_bytes,q1_low,456,1002,5791,0.109649,0.346491,0.138763,0.342657,0.0131579
schema_file_bytes,q2_mid_low,456,5795,8546,0.221491,0.309211,0.188538,0.290155,0.0241228
schema_file_bytes,q3_mid_high,455,8553,12764,0.2,0.303297,0.134412,0.292818,0.0725275
schema_file_bytes,q4_high,456,12767,92893,0.122807,0.403509,0.0554511,0.410151,0.0833333
nb_keywords,q1_low,477,3,28,0.129979,0.27044,0.104575,0.247074,0.0188679
nb_keywords,q2_mid_low,438,29,38,0.191781,0.283105,0.142749,0.276748,0.0525114
nb_keywords,q3_mid_high,452,39,52,0.185841,0.327434,0.133958,0.330579,0.0685841
nb_keywords,q4_high,456,53,970,0.149123,0.482456,0.0873724,0.478495,0.0548246
nb_properties,q1_low,555,0,9,0.190991,0.288288,0.137182,0.285876,0.0342342
nb_properties,q2_mid_low,390,10,12,0.217949,0.312821,0.163121,0.306581,0.0615385
nb_properties,q3_mid_high,434,13,17,0.142857,0.345622,0.116726,0.344147,0.0576037
nb_properties,q4_high,444,18,386,0.101351,0.425676,0.0576132,0.403873,0.045045
nb_required,q1_low,481,0,0,0.10395,0.305613,0.0689394,0.292553,0.0602911
nb_required,q2_mid_low,515,1,4,0.258252,0.345631,0.193632,0.352369,0.0757282
nb_required,q3_mid_high,432,5,8,0.152778,0.291667,0.119565,0.284507,0.0300926
nb_required,q4_high,395,9,77,0.124051,0.43038,0.0726339,0.40916,0.0177215
schema_depth,q1_low,766,0,4,0.232376,0.291123,0.180259,0.261298,0.0469974
schema_depth,q2_mid_low,227,5,5,0.105727,0.286344,0.0674603,0.281081,0.0352423
schema_depth,q3_mid_high,492,6,7,0.148374,0.355691,0.109013,0.372035,0.0711382
schema_depth,q4_high,338,8,16,0.0680473,0.467456,0.0325048,0.471014,0.0266272
nb_branches_combinators,q1_low,1558,0,0,0.170732,0.308729,0.127619,0.293905,0.0462131
nb_branches_combinators,q2_mid_low,0,,,0,0,0,0,0
nb_branches_combinators,q3_mid_high,0,,,0,0,0,0,0
nb_branches_combinators,q4_high,265,1,46,0.120755,0.528302,0.0570125,0.553812,0.0603774
nb_enum_values,q1_low,1015,0,0,0.205911,0.299507,0.15573,0.285465,0.0236453
nb_enum_values,q2_mid_low,0,,,0,0,0,0,0
nb_enum_values,q3_mid_high,369,1,4,0.108401,0.317073,0.0731939,0.332143,0.0840108
nb_enum_values,q4_high,439,5,1554,0.111617,0.455581,0.0586081,0.459091,0.0751708
nb_regex,q1_low,1243,0,0,0.165728,0.292035,0.13964,0.272771,0.0112631
nb_regex,q2_mid_low,0,,,0,0,0,0,0
nb_regex,q3_mid_high,213,1,1,0.131455,0.361502,0.0757062,0.366391,0.0469484
nb_regex,q4_high,367,2,16,0.174387,0.493188,0.0872386,0.559761,0.174387
n_tests,q1_low,488,1,3,0.0553279,0.440574,0.0674847,0.45082,0.0122951
n_tests,q2_mid_low,714,4,5,0.142857,0.302521,0.107807,0.287014,0.0336134
n_tests,q3_mid_high,188,6,6,0.25,0.356383,0.132546,0.35,0.0585106
n_tests,q4_high,433,7,18,0.281755,0.284065,0.128039,0.283262,0.108545
mean_num_tokens,q1_low,362,12,86,0.287293,0.157459,0.218424,0.138648,0
mean_num_tokens,q2_mid_low,361,86.2,133,0.271468,0.174515,0.188055,0.132686,0
mean_num_tokens,q3_mid_high,360,133.2,207.286,0.147222,0.269444,0.103393,0.237785,0.00277778
mean_num_tokens,q4_high,361,207.6,2857.5,0.119114,0.310249,0.0500404,0.263242,0
