context_feature,context_value,support_schemas,support_tests,under_rate,over_rate,baseline_under_rate,baseline_over_rate,under_lift,over_lift,low_support
allOf_satisfied_branch_count_bucket,0,1718,8413,0.0770237,0.113158,0.0764458,0.114727,1.00756,0.986324,false
allOf_satisfied_branch_count_bucket,1,13,52,0.0769231,0.0769231,0.0764458,0.114727,1.00624,0.670487,false
allOf_satisfied_branch_count_bucket,2,15,61,0.0163934,0.213115,0.0764458,0.114727,0.214445,1.85758,false
allOf_satisfied_branch_count_bucket,3,6,16,0,0.6875,0.0764458,0.114727,0,5.99247,true
anyOf_satisfied_branch_count_bucket,0,1699,8238,0.0778101,0.112042,0.0764458,0.114727,1.01785,0.976593,false
anyOf_satisfied_branch_count_bucket,1,50,240,0.0416667,0.166667,0.0764458,0.114727,0.545048,1.45272,false
anyOf_satisfied_branch_count_bucket,2,16,50,0.04,0.3,0.0764458,0.114727,0.523247,2.6149,false
anyOf_satisfied_branch_count_bucket,4-5,1,7,0,0.285714,0.0764458,0.114727,0,2.49038,true
anyOf_satisfied_branch_count_bucket,6+,1,7,0,0,0.0764458,0.114727,0,0,true
branches_conflicting_types,false,1736,8542,0.0764458,0.114727,0.0764458,0.114727,1,1,false
branches_have_enum,false,1684,8267,0.0783839,0.110681,0.0764458,0.114727,1.02535,0.964732,false
branches_have_enum,true,52,275,0.0181818,0.236364,0.0764458,0.114727,0.237839,2.06022,false
branches_have_not,false,1725,8485,0.0764879,0.113848,0.0764458,0.114727,1.00055,0.992336,false
branches_have_not,true,11,57,0.0701754,0.245614,0.0764458,0.114727,0.917976,2.14085,false
branches_have_properties,false,1656,8137,0.0795133,0.108025,0.0764458,0.114727,1.04013,0.941582,false
branches_have_properties,true,80,405,0.0148148,0.249383,0.0764458,0.114727,0.193795,2.1737,false
branches_have_required,false,1650,8078,0.0776182,0.110176,0.0764458,0.114727,1.01534,0.960328,false
branches_have_required,true,86,464,0.0560345,0.193966,0.0764458,0.114727,0.732996,1.69067,false
branches_have_same_type,false,1551,7554,0.0819433,0.102727,0.0764458,0.114727,1.07191,0.895402,false
branches_have_same_type,true,185,988,0.034413,0.206478,0.0764458,0.114727,0.450162,1.79973,false
branches_overlapping_properties,false,1700,8355,0.0775583,0.112029,0.0764458,0.114727,1.01455,0.976479,false
branches_overlapping_properties,true,36,187,0.026738,0.235294,0.0764458,0.114727,0.349764,2.0509,false
combinator_branch_count_bucket,0,1487,7219,0.0835296,0.101538,0.0764458,0.114727,1.09266,0.885035,false
combinator_branch_count_bucket,1,10,80,0,0.0375,0.0764458,0.114727,0,0.326862,false
combinator_branch_count_bucket,2,161,839,0.0560191,0.179976,0.0764458,0.114727,0.732795,1.56873,false
combinator_branch_count_bucket,3,45,236,0.00847458,0.220339,0.0764458,0.114727,0.110857,1.92055,false
combinator_branch_count_bucket,4-5,19,100,0,0.22,0.0764458,0.114727,0,1.91759,false
combinator_branch_count_bucket,6+,14,68,0.0147059,0.279412,0.0764458,0.114727,0.19237,2.43544,false
combinator_type,absent,1487,7219,0.0835296,0.101538,0.0764458,0.114727,1.09266,0.885035,false
combinator_type,allOf,11,65,0,0.230769,0.0764458,0.114727,0,2.01146,false
combinator_type,anyOf,62,387,0.0568475,0.134367,0.0764458,0.114727,0.743632,1.17119,false
combinator_type,mixed,42,222,0.036036,0.27027,0.0764458,0.114727,0.471393,2.35576,false
combinator_type,oneOf,134,649,0.0308166,0.1849,0.0764458,0.114727,0.403118,1.61165,false
oneOf_satisfied_branch_count_bucket,0,1667,8074,0.0786475,0.106267,0.0764458,0.114727,1.0288,0.926258,false
oneOf_satisfied_branch_count_bucket,1,121,451,0.0332594,0.27051,0.0764458,0.114727,0.435072,2.35785,false
oneOf_satisfied_branch_count_bucket,2,13,17,0.176471,0,0.0764458,0.114727,2.30844,0,true
