context_feature,context_value,support_schemas,support_tests,under_rate,over_rate,baseline_under_rate,baseline_over_rate,under_lift,over_lift,low_support
instance_satisfies_not_subschema,false,6,27,0.037037,0.259259,0.0764458,0.114727,0.484488,2.25979,true
instance_satisfies_not_subschema,true,7,23,0.0434783,0.26087,0.0764458,0.114727,0.568746,2.27382,true
instance_satisfies_not_subschema,unknown,1727,8492,0.0766604,0.113872,0.0764458,0.114727,1.00281,0.992544,false
not_contains_allOf,false,1736,8542,0.0764458,0.114727,0.0764458,0.114727,1,1,false
not_contains_anyOf,false,1733,8533,0.0765264,0.114262,0.0764458,0.114727,1.00105,0.995947,false
not_contains_anyOf,true,3,9,0,0.555556,0.0764458,0.114727,0,4.8424,true
not_contains_const,false,1736,8542,0.0764458,0.114727,0.0764458,0.114727,1,1,false
not_contains_enum,false,1731,8523,0.0766162,0.114162,0.0764458,0.114727,1.00223,0.99507,false
not_contains_enum,true,5,19,0,0.368421,0.0764458,0.114727,0,3.21128,true
not_contains_pattern,false,1736,8542,0.0764458,0.114727,0.0764458,0.114727,1,1,false
not_contains_properties,false,1734,8538,0.0764816,0.11443,0.0764458,0.114727,1.00047,0.997406,false
not_contains_properties,true,2,4,0,0.75,0.0764458,0.114727,0,6.53724,true
not_contains_required,false,1728,8502,0.076335,0.113973,0.0764458,0.114727,0.99855,0.993427,false
not_contains_required,true,8,40,0.1,0.275,0.0764458,0.114727,1.30812,2.39699,true
not_parent_keyword,$defs,2,9,0,0.333333,0.0764458,0.114727,0,2.90544,true
not_parent_keyword,absent,1716,8436,0.0769322,0.112968,0.0764458,0.114727,1.00636,0.984668,false
not_parent_keyword,allOf,3,16,0.25,0.25,0.0764458,0.114727,3.27029,2.17908,true
not_parent_keyword,anyOf,2,15,0,0.133333,0.0764458,0.114727,0,1.16218,true
not_parent_keyword,items,1,4,0,0.25,0.0764458,0.114727,0,2.17908,true
not_parent_keyword,oneOf,3,14,0,0.357143,0.0764458,0.114727,0,3.11297,true
not_parent_keyword,properties,7,36,0,0.222222,0.0764458,0.114727,0,1.93696,true
not_parent_keyword,root,1,5,0,0.4,0.0764458,0.114727,0,3.48653,true
not_parent_keyword,then,1,7,0,0.285714,0.0764458,0.114727,0,2.49038,true
not_sibling_keyword_count_bucket,0,1725,8488,0.0766965,0.11369,0.0764458,0.114727,1.00328,0.990958,false
not_sibling_keyword_count_bucket,1,4,24,0.0833333,0.166667,0.0764458,0.114727,1.0901,1.45272,true
not_sibling_keyword_count_bucket,2,3,17,0,0.235294,0.0764458,0.114727,0,2.0509,true
not_sibling_keyword_count_bucket,3,2,4,0,0.75,0.0764458,0.114727,0,6.53724,true
not_sibling_keyword_count_bucket,4-5,1,4,0,0.5,0.0764458,0.114727,0,4.35816,true
not_sibling_keyword_count_bucket,6+,1,5,0,0.4,0.0764458,0.114727,0,3.48653,true
not_target_type,absent,1728,8501,0.0768145,0.114104,0.0764458,0.114727,1.00482,0.99457,false
not_target_type,mixed,4,25,0,0.2,0.0764458,0.114727,0,1.74327,true
not_target_type,number,1,7,0,0.142857,0.0764458,0.114727,0,1.24519,true
not_target_type,object,3,9,0,0.444444,0.0764458,0.114727,0,3.87392,true
