context_feature,context_value,support_schemas,support_tests,under_rate,over_rate,baseline_under_rate,baseline_over_rate,under_lift,over_lift,low_support
numeric_boundary_case,above_max,63,122,0.483607,0,0.0764458,0.114727,6.32614,0,false
numeric_boundary_case,below_min,194,568,0.714789,0,0.0764458,0.114727,9.35027,0,false
numeric_boundary_case,equal_max,4,4,0,0,0.0764458,0.114727,0,0,true
numeric_boundary_case,equal_min,100,248,0.0766129,0.112903,0.0764458,0.114727,1.00219,0.984101,false
numeric_boundary_case,inside_range,164,533,0.0225141,0.101313,0.0764458,0.114727,0.29451,0.88308,false
numeric_boundary_case,multiple_ok,8,21,0.047619,0,0.0764458,0.114727,0.622913,0,true
numeric_boundary_case,multiple_violation,7,8,0.75,0,0.0764458,0.114727,9.81087,0,true
numeric_boundary_case,not_applicable,1517,7038,0.0213129,0.127593,0.0764458,0.114727,0.278797,1.11214,false
numeric_has_default,false,1630,7939,0.0482429,0.120544,0.0764458,0.114727,0.631073,1.0507,false
numeric_has_default,true,106,603,0.447761,0.0381426,0.0764458,0.114727,5.85724,0.332464,false
numeric_has_min_and_max,false,1639,7898,0.0643201,0.116105,0.0764458,0.114727,0.841382,1.01201,false
numeric_has_min_and_max,true,97,644,0.225155,0.0978261,0.0764458,0.114727,2.94529,0.852684,false
numeric_is_in_properties,false,1460,6797,0.0200088,0.12888,0.0764458,0.114727,0.261739,1.12336,false
numeric_is_in_properties,true,276,1745,0.296275,0.0595989,0.0764458,0.114727,3.87562,0.519483,false
numeric_parent_keyword,$defs,9,64,0.21875,0.09375,0.0764458,0.114727,2.8615,0.817156,true
numeric_parent_keyword,absent,1438,6650,0.0177444,0.128271,0.0764458,0.114727,0.232117,1.11805,false
numeric_parent_keyword,additionalProperties,1,11,0,0.181818,0.0764458,0.114727,0,1.58479,true
numeric_parent_keyword,anyOf,1,11,0,0,0.0764458,0.114727,0,0,true
numeric_parent_keyword,items,4,26,0.115385,0.230769,0.0764458,0.114727,1.50937,2.01146,true
numeric_parent_keyword,mixed,20,151,0.231788,0.0794702,0.0764458,0.114727,3.03206,0.692688,false
numeric_parent_keyword,oneOf,1,5,0.2,0,0.0764458,0.114727,2.61623,0,true
numeric_parent_keyword,other,3,12,0,0.416667,0.0764458,0.114727,0,3.6318,true
numeric_parent_keyword,patternProperties,2,10,0,0.2,0.0764458,0.114727,0,1.74327,true
numeric_parent_keyword,properties,257,1602,0.300874,0.0586767,0.0764458,0.114727,3.93578,0.511445,false
numeric_property_required,false,1561,7459,0.0396836,0.12495,0.0764458,0.114727,0.519108,1.0891,false
numeric_property_required,true,175,1083,0.32964,0.0443213,0.0764458,0.114727,4.31207,0.386319,false
numeric_target_type,absent,1439,6657,0.0177257,0.128286,0.0764458,0.114727,0.231873,1.11818,false
numeric_target_type,integer,142,978,0.215746,0.0858896,0.0764458,0.114727,2.82221,0.748642,false
numeric_target_type,mixed,60,350,0.394286,0.0228571,0.0764458,0.114727,5.15772,0.19923,false
numeric_target_type,number,95,557,0.333932,0.0610413,0.0764458,0.114727,4.36822,0.532056,false
