context_feature,context_value,support_schemas,support_tests,under_rate,over_rate,baseline_under_rate,baseline_over_rate,under_lift,over_lift,low_support
additionalProperties_value,absent,1668,8181,0.0798191,0.105366,0.0764458,0.114727,1.04413,0.918405,false
additionalProperties_value,false,66,351,0,0.333333,0.0764458,0.114727,0,2.90544,false
additionalProperties_value,true,2,10,0,0.1,0.0764458,0.114727,0,0.871633,true
instance_has_unmatched_keys,false,1593,6813,0.0932042,0.0970204,0.0764458,0.114727,1.21922,0.845662,false
instance_has_unmatched_keys,true,816,1729,0.0104106,0.1845,0.0764458,0.114727,0.136183,1.60816,false
instance_matching_pattern_keys_count_bucket,0,1647,8068,0.0792018,0.102876,0.0764458,0.114727,1.03605,0.896697,false
instance_matching_pattern_keys_count_bucket,1,32,84,0.0357143,0.238095,0.0764458,0.114727,0.467184,2.07532,false
instance_matching_pattern_keys_count_bucket,2,50,176,0.00568182,0.397727,0.0764458,0.114727,0.0743248,3.46672,false
instance_matching_pattern_keys_count_bucket,3,27,89,0.0674157,0.224719,0.0764458,0.114727,0.881876,1.95873,false
instance_matching_pattern_keys_count_bucket,4-5,21,54,0.037037,0.314815,0.0764458,0.114727,0.484488,2.74403,false
instance_matching_pattern_keys_count_bucket,6+,18,71,0.028169,0.323944,0.0764458,0.114727,0.368483,2.8236,false
patternProperties_regex_has_alternation,false,1721,8472,0.0770774,0.11237,0.0764458,0.114727,1.00826,0.979455,false
patternProperties_regex_has_alternation,true,15,70,0,0.4,0.0764458,0.114727,0,3.48653,false
patternProperties_regex_has_anchor,false,1643,8070,0.0804213,0.102726,0.0764458,0.114727,1.052,0.895395,false
patternProperties_regex_has_anchor,true,93,472,0.00847458,0.319915,0.0764458,0.114727,0.110857,2.78849,false
patternProperties_regex_has_charclass,false,1671,8208,0.0790692,0.106481,0.0764458,0.114727,1.03432,0.928127,false
patternProperties_regex_has_charclass,true,65,334,0.011976,0.317365,0.0764458,0.114727,0.156661,2.76626,false
patternProperties_regex_has_dotstar,false,1709,8412,0.0765573,0.111745,0.0764458,0.114727,1.00146,0.974007,false
patternProperties_regex_has_dotstar,true,27,130,0.0692308,0.307692,0.0764458,0.114727,0.905619,2.68195,false
patternProperties_with_properties,false,1708,8396,0.0777751,0.111243,0.0764458,0.114727,1.01739,0.969634,false
patternProperties_with_properties,true,28,146,0,0.315068,0.0764458,0.114727,0,2.74624,false
