context_family,context_feature,context_value,schema_id,test_id,test_index,expected_validity,outlines_result,failure_type,important_feature_values,schema_path,instance_preview
numeric,numeric_boundary_case,below_min,Github_medium---o1.json,Github_medium---o1.json::test_00003,3,invalid,accepted,UNDER,numeric_boundary_case=below_min; numeric_target_type=integer; numeric_parent_keyword=properties; additionalProperties_value=absent; instance_has_unmatched_keys=false; instance_matching_pattern_keys_count_bucket=0; combinator_type=absent; combinator_branch_count_bucket=0; oneOf_satisfied_branch_count_bucket=0; anyOf_satisfied_branch_count_bucket=0,/home/berrais/stage/jsonschemabench/maskbench/data/Github_medium---o1.json,"{""corrections"": [{""author_email"": ""john.doe@example.com"", ""change_id"": [""I1234567890abcdef1234567890abcdef12345678""], ""correction_comment"": ""This is a correction comment"", ""loc"": -10, ""module"": ""example-module"", ""primary_key"": ""example_key"", ""subject"": ""Exa..."
numeric,numeric_boundary_case,below_min,Github_medium---o1.json,Github_medium---o1.json::test_00004,4,invalid,accepted,UNDER,numeric_boundary_case=below_min; numeric_target_type=integer; numeric_parent_keyword=properties; additionalProperties_value=absent; instance_has_unmatched_keys=false; instance_matching_pattern_keys_count_bucket=0; combinator_type=absent; combinator_branch_count_bucket=0; oneOf_satisfied_branch_count_bucket=0; anyOf_satisfied_branch_count_bucket=0,/home/berrais/stage/jsonschemabench/maskbench/data/Github_medium---o1.json,"{""corrections"": [{""author_email"": ""john.doe@example.com"", ""change_id"": [""I1234567890abcdef1234567890abcdef12345678""], ""correction_comment"": ""This is a correction comment"", ""loc"": 10, ""module"": ""example-module"", ""primary_key"": ""example_key"", ""subject"": ""Exam..."
numeric,numeric_boundary_case,below_min,Github_medium---o1.json,Github_medium---o1.json::test_00007,7,invalid,accepted,UNDER,numeric_boundary_case=below_min; numeric_target_type=integer; numeric_parent_keyword=properties; additionalProperties_value=absent; instance_has_unmatched_keys=false; instance_matching_pattern_keys_count_bucket=0; combinator_type=absent; combinator_branch_count_bucket=0; oneOf_satisfied_branch_count_bucket=0; anyOf_satisfied_branch_count_bucket=0,/home/berrais/stage/jsonschemabench/maskbench/data/Github_medium---o1.json,"{""corrections"": [{""author_email"": ""john.doe@example.com"", ""change_id"": [""I1234567890abcdef1234567890abcdef12345678""], ""correction_comment"": ""This is a correction comment"", ""loc"": -1, ""module"": ""example-module"", ""primary_key"": ""example_key"", ""subject"": ""Exam..."
numeric,numeric_boundary_case,below_min,Github_medium---o1.json,Github_medium---o1.json::test_00010,10,invalid,rejected,CORRECT_INVALID,numeric_boundary_case=below_min; numeric_target_type=integer; numeric_parent_keyword=properties; additionalProperties_value=absent; instance_has_unmatched_keys=false; instance_matching_pattern_keys_count_bucket=0; combinator_type=absent; combinator_branch_count_bucket=0; oneOf_satisfied_branch_count_bucket=0; anyOf_satisfied_branch_count_bucket=0,/home/berrais/stage/jsonschemabench/maskbench/data/Github_medium---o1.json,"{""corrections"": [{""author_email"": ""john.doe@example.com"", ""change_id"": [""I1234567890abcdef1234567890abcdef12345678""], ""correction_comment"": ""This is a correction comment"", ""loc"": -1, ""module"": ""example-module"", ""primary_key"": ""example_key"", ""subject"": ""Exam..."
numeric,numeric_boundary_case,below_min,Github_medium---o10518.json,Github_medium---o10518.json::test_00006,6,invalid,rejected,CORRECT_INVALID,numeric_boundary_case=below_min; numeric_target_type=integer; numeric_parent_keyword=properties; additionalProperties_value=absent; instance_has_unmatched_keys=true; instance_matching_pattern_keys_count_bucket=0; combinator_type=absent; combinator_branch_count_bucket=0; oneOf_satisfied_branch_count_bucket=0; anyOf_satisfied_branch_count_bucket=0,/home/berrais/stage/jsonschemabench/maskbench/data/Github_medium---o10518.json,"{""shiporder"": {""invoiceid"": ""INV001"", ""item"": [{""Invalid, quantity should be at least 1"": ""price"", ""note"": [""Special instructions for Product A""], ""quantity"": 0, ""title"": ""Product A""}, {""note"": [""Special instructions for Product B"", ""Additional note for Pro..."
numeric,numeric_boundary_case,below_min,Github_medium---o12241.json,Github_medium---o12241.json::test_00006,6,invalid,rejected,CORRECT_INVALID,numeric_boundary_case=below_min; numeric_target_type=integer; numeric_parent_keyword=properties; additionalProperties_value=absent; instance_has_unmatched_keys=true; instance_matching_pattern_keys_count_bucket=0; combinator_type=absent; combinator_branch_count_bucket=0; oneOf_satisfied_branch_count_bucket=0; anyOf_satisfied_branch_count_bucket=0,/home/berrais/stage/jsonschemabench/maskbench/data/Github_medium---o12241.json,"{""attachments"": [{""extra_property"": ""extra_value"", ""id"": ""1"", ""name"": ""math_homework.pdf"", ""size"": 1024}, {""id"": ""2"", ""name"": ""math_solution.docx"", ""size"": 0}], ""category"": ""Math"", ""description"": ""This is a math homework assignment for the students in the 9..."
numeric,numeric_has_default,true,Github_medium---o34898.json,Github_medium---o34898.json::test_00001,1,invalid,accepted,UNDER,numeric_has_default=true; numeric_boundary_case=below_min; numeric_target_type=mixed; numeric_parent_keyword=properties; additionalProperties_value=absent; instance_has_unmatched_keys=false; instance_matching_pattern_keys_count_bucket=0; combinator_type=absent; combinator_branch_count_bucket=0; oneOf_satisfied_branch_count_bucket=0; anyOf_satisfied_branch_count_bucket=0,/home/berrais/stage/jsonschemabench/maskbench/data/Github_medium---o34898.json,"{""restreamer"": {""logger_level"": 3, ""password"": ""datarhei"", ""snapshot_refresh_interval"": 60, ""username"": ""admin""}, ""service"": {""bridge"": false, ""cpus"": 0, ""instances"": 1, ""maximumOverCapacity"": 0.2, ""mem"": 1024.0, ""minimumHealthCapacity"": 0.5, ""name"": ""restr..."
numeric,numeric_has_default,true,Github_medium---o34898.json,Github_medium---o34898.json::test_00002,2,invalid,accepted,UNDER,numeric_has_default=true; numeric_boundary_case=below_min; numeric_target_type=mixed; numeric_parent_keyword=properties; additionalProperties_value=absent; instance_has_unmatched_keys=false; instance_matching_pattern_keys_count_bucket=0; combinator_type=absent; combinator_branch_count_bucket=0; oneOf_satisfied_branch_count_bucket=0; anyOf_satisfied_branch_count_bucket=0,/home/berrais/stage/jsonschemabench/maskbench/data/Github_medium---o34898.json,"{""restreamer"": {""logger_level"": -1, ""password"": ""datarhei"", ""snapshot_refresh_interval"": 60, ""username"": ""admin""}, ""service"": {""bridge"": false, ""cpus"": 0, ""instances"": 1, ""maximumOverCapacity"": 0.2, ""mem"": 1024.0, ""minimumHealthCapacity"": 0.5, ""name"": ""rest..."
numeric,numeric_has_default,true,Github_medium---o34898.json,Github_medium---o34898.json::test_00003,3,invalid,accepted,UNDER,numeric_has_default=true; numeric_boundary_case=below_min; numeric_target_type=mixed; numeric_parent_keyword=properties; additionalProperties_value=absent; instance_has_unmatched_keys=false; instance_matching_pattern_keys_count_bucket=0; combinator_type=absent; combinator_branch_count_bucket=0; oneOf_satisfied_branch_count_bucket=0; anyOf_satisfied_branch_count_bucket=0,/home/berrais/stage/jsonschemabench/maskbench/data/Github_medium---o34898.json,"{""restreamer"": {""logger_level"": 3, ""password"": ""datarhei"", ""snapshot_refresh_interval"": 60, ""username"": ""admin""}, ""service"": {""bridge"": false, ""cpus"": 0, ""instances"": 0, ""maximumOverCapacity"": -1, ""mem"": 255.0, ""minimumHealthCapacity"": -0.1, ""name"": ""restre..."
numeric,numeric_has_default,true,Github_medium---o20531.json,Github_medium---o20531.json::test_00001,1,invalid,rejected,CORRECT_INVALID,numeric_has_default=true; numeric_boundary_case=above_max; numeric_target_type=integer; numeric_parent_keyword=properties; additionalProperties_value=absent; instance_has_unmatched_keys=true; instance_matching_pattern_keys_count_bucket=0; combinator_type=absent; combinator_branch_count_bucket=0; oneOf_satisfied_branch_count_bucket=0; anyOf_satisfied_branch_count_bucket=0,/home/berrais/stage/jsonschemabench/maskbench/data/Github_medium---o20531.json,"{""Changed from 20 to 101, which is higher than the maximum of 100"": 101, ""Changed from 3 to 6, which is higher than the maximum of 5"": ""percentage_completed"", ""_id"": ""task-12345"", ""assignees"": [""John Doe"", ""Jane Smith""], ""category"": ""Work"", ""created"": ""2022..."
