context_family,context_feature,context_value,support_invalid_tests,support_schemas,under_count,under_rate_invalid_only,baseline_under_rate_invalid_only,under_lift_invalid_only,low_support
combinators,allOf_satisfied_branch_count_bucket,0,5514,1613,648,0.117519,0.116566,1.00818,false
combinators,allOf_satisfied_branch_count_bucket,1,41,12,4,0.097561,0.116566,0.836963,false
combinators,allOf_satisfied_branch_count_bucket,2,42,13,1,0.0238095,0.116566,0.204259,false
combinators,allOf_satisfied_branch_count_bucket,3,5,2,0,0,0.116566,0,true
combinators,allOf_satisfied_branch_ratio,0,5514,1613,648,0.117519,0.116566,1.00818,false
combinators,allOf_satisfied_branch_ratio,0.333333,1,1,0,0,0.116566,0,true
combinators,allOf_satisfied_branch_ratio,0.5,14,6,3,0.214286,0.116566,1.83833,true
combinators,allOf_satisfied_branch_ratio,0.666667,9,5,0,0,0.116566,0,true
combinators,allOf_satisfied_branch_ratio,1,64,15,2,0.03125,0.116566,0.26809,false
combinators,anyOf_satisfied_branch_count,0,5403,1597,641,0.118638,0.116566,1.01778,false
combinators,anyOf_satisfied_branch_count,1,158,39,10,0.0632911,0.116566,0.542966,false
combinators,anyOf_satisfied_branch_count,2,30,13,2,0.0666667,0.116566,0.571924,false
combinators,anyOf_satisfied_branch_count,4,5,1,0,0,0.116566,0,true
combinators,anyOf_satisfied_branch_count,8,6,1,0,0,0.116566,0,true
combinators,anyOf_satisfied_branch_count_bucket,0,5403,1597,641,0.118638,0.116566,1.01778,false
combinators,anyOf_satisfied_branch_count_bucket,1,158,39,10,0.0632911,0.116566,0.542966,false
combinators,anyOf_satisfied_branch_count_bucket,2,30,13,2,0.0666667,0.116566,0.571924,false
combinators,anyOf_satisfied_branch_count_bucket,4-5,5,1,0,0,0.116566,0,true
combinators,anyOf_satisfied_branch_count_bucket,6+,6,1,0,0,0.116566,0,true
combinators,branches_conflicting_types,false,5602,1629,653,0.116566,0.116566,1,false
combinators,branches_have_enum,false,5417,1579,648,0.119623,0.116566,1.02623,false
combinators,branches_have_enum,true,185,50,5,0.027027,0.116566,0.231861,false
combinators,branches_have_not,false,5564,1619,649,0.116643,0.116566,1.00066,false
combinators,branches_have_not,true,38,10,4,0.105263,0.116566,0.903039,false
combinators,branches_have_properties,false,5340,1554,647,0.121161,0.116566,1.03942,false
combinators,branches_have_properties,true,262,75,6,0.0229008,0.116566,0.196463,false
combinators,branches_have_required,false,5291,1547,627,0.118503,0.116566,1.01662,false
combinators,branches_have_required,true,311,82,26,0.0836013,0.116566,0.717204,false
