feature,n_schemas,n_completed_tests,under_rate,over_rate,correct_rate,timeout_rate
has_patternProperties,22,70,0.189189,0.69697,0.571429,0
has_allOf,21,67,0.0909091,0.794118,0.552239,0
has_multipleOf,2,7,0.8,0,0.428571,0
has_maximum,8,36,0.5,0.25,0.555556,0
has_defs,33,90,0.0714286,0.645833,0.622222,0.030303
deep_schema,29,89,0.025,0.653061,0.629213,0
has_minimum,21,85,0.360656,0.291667,0.658824,0
many_properties,29,98,0.0196078,0.595745,0.704082,0.0344828
has_minProperties,3,9,0,0.6,0.666667,0
large_enum,29,90,0,0.545455,0.733333,0
many_required,26,106,0.121212,0.4,0.773585,0.0384615
has_not,7,22,0.142857,0.375,0.772727,0
has_maxItems,5,8,0,0.5,0.75,0.2
has_maxLength,22,70,0.125,0.363636,0.8,0.227273
has_boolean_schema,112,374,0.0772727,0.402597,0.78877,0.0357143
has_additionalProperties,116,385,0.0752212,0.402516,0.78961,0.0344828
has_minLength,28,96,0.0645161,0.382353,0.822917,0.0357143
has_oneOf,46,172,0.0754717,0.363636,0.813953,0.0217391
has_items,67,246,0.0443038,0.363636,0.841463,0.0149254
has_required,140,462,0.0872727,0.28877,0.831169,0.0142857
has_properties,265,846,0.0776892,0.27907,0.840426,0.0150943
has_type,357,1183,0.0620783,0.253394,0.866441,0.0168067
has_enum,86,303,0.026455,0.280702,0.877888,0
has_pattern,33,169,0.108527,0.075,0.899408,0
has_default,29,93,0.0833333,0.0606061,0.924731,0
has_minItems,15,55,0,0.111111,0.963636,0.0666667
has_anyOf,26,114,0.025,0.0588235,0.964912,0.0384615
has_ref,10,41,0.0689655,0,0.95122,0.1
