feature,correct,timeout,under,over,correct_n,timeout_n,under_n,over_n
has_additionalProperties,0.253968,0.666667,0.307692,0.493827,252,6,26,81
has_allOf,0.015873,0,0.0769231,0.185185,252,6,26,81
has_anyOf,0.0873016,0.166667,0.0384615,0.0246914,252,6,26,81
has_boolean_schema,0.246032,0.666667,0.307692,0.469136,252,6,26,81
has_default,0.103175,0,0.0384615,0.0246914,252,6,26,81
has_defs,0.0436508,0.166667,0.0769231,0.234568,252,6,26,81
has_enum,0.246032,0,0.153846,0.246914,252,6,26,81
has_items,0.174603,0.166667,0.115385,0.234568,252,6,26,81
has_maxItems,0.00793651,0.166667,0,0.0246914,252,6,26,81
has_maxLength,0.0357143,0.833333,0.0769231,0.0740741,252,6,26,81
has_maximum,0.00793651,0,0.153846,0.0246914,252,6,26,81
has_minItems,0.047619,0.166667,0,0.0246914,252,6,26,81
has_minLength,0.0634921,0.166667,0.115385,0.0987654,252,6,26,81
has_minProperties,0.00396825,0,0,0.0246914,252,6,26,81
has_minimum,0.0238095,0,0.384615,0.0617284,252,6,26,81
has_multipleOf,0,0,0.0769231,0,252,6,26,81
has_not,0.00793651,0,0.0769231,0.037037,252,6,26,81
has_oneOf,0.0992063,0.166667,0.153846,0.197531,252,6,26,81
has_pattern,0.103175,0,0.192308,0.0246914,252,6,26,81
has_patternProperties,0.0119048,0,0.153846,0.185185,252,6,26,81
has_properties,0.698413,0.666667,0.807692,0.790123,252,6,26,81
has_ref,0.031746,0.166667,0.0384615,0,252,6,26,81
has_required,0.349206,0.333333,0.538462,0.444444,252,6,26,81
has_type,0.984127,1,0.961538,0.962963,252,6,26,81
large_enum,0.0595238,0,0,0.17284,252,6,26,81
many_required,0.047619,0.166667,0.115385,0.123457,252,6,26,81
many_properties,0.0436508,0.166667,0.0384615,0.197531,252,6,26,81
deep_schema,0.0396825,0,0.0384615,0.222222,252,6,26,81
