feature,schemas_with_feature,schemas_without_feature,over_with_feature,over_without_feature,over_denominator_with,over_denominator_without,over_rate_with,over_rate_without,lift,delta,support,global_over_rate,eligible_lift
has_allOf,21,344,27,91,34,419,0.794118,0.217184,3.65643,0.576934,0.0575342,0.260486,true
has_patternProperties,22,343,23,95,33,420,0.69697,0.22619,3.08134,0.470779,0.060274,0.260486,true
deep_schema,29,336,32,86,49,404,0.653061,0.212871,3.06787,0.44019,0.0794521,0.260486,true
has_defs,33,332,31,87,48,405,0.645833,0.214815,3.00647,0.431019,0.090411,0.260486,true
many_properties,29,336,28,90,47,406,0.595745,0.221675,2.68747,0.37407,0.0794521,0.260486,true
large_enum,29,336,24,94,44,409,0.545455,0.229829,2.37331,0.315626,0.0794521,0.260486,true
has_additionalProperties,116,249,64,54,159,294,0.402516,0.183673,2.19147,0.218842,0.317808,0.260486,true
has_boolean_schema,112,253,62,56,154,299,0.402597,0.187291,2.14958,0.215306,0.306849,0.260486,true
many_required,26,339,16,102,40,413,0.4,0.246973,1.61961,0.153027,0.0712329,0.260486,true
has_items,67,298,32,86,88,365,0.363636,0.235616,1.54334,0.12802,0.183562,0.260486,true
has_minLength,28,337,13,105,34,419,0.382353,0.250597,1.52577,0.131756,0.0767123,0.260486,true
has_oneOf,46,319,24,94,66,387,0.363636,0.242894,1.4971,0.120742,0.126027,0.260486,true
has_maxLength,22,343,8,110,22,431,0.363636,0.25522,1.42479,0.108416,0.060274,0.260486,true
has_properties,265,100,96,22,344,109,0.27907,0.201835,1.38266,0.0772349,0.726027,0.260486,true
has_required,140,225,54,64,187,266,0.28877,0.240602,1.2002,0.0481685,0.383562,0.260486,true
has_minimum,21,344,7,111,24,429,0.291667,0.258741,1.12725,0.0329254,0.0575342,0.260486,true
has_enum,86,279,32,86,114,339,0.280702,0.253687,1.10649,0.0270144,0.235616,0.260486,true
has_pattern,33,332,3,115,40,413,0.075,0.27845,0.269348,-0.20345,0.090411,0.260486,true
has_default,29,336,2,116,33,420,0.0606061,0.27619,0.219436,-0.215584,0.0794521,0.260486,true
has_anyOf,26,339,2,116,34,419,0.0588235,0.27685,0.212475,-0.218026,0.0712329,0.260486,true
has_minProperties,3,362,3,115,5,448,0.6,0.256696,2.33739,0.343304,0.00821918,0.260486,false
has_maxItems,5,360,2,116,4,449,0.5,0.258352,1.93534,0.241648,0.0136986,0.260486,false
has_not,7,358,3,115,8,445,0.375,0.258427,1.45109,0.116573,0.0191781,0.260486,false
has_maximum,8,357,2,116,8,445,0.25,0.260674,0.959052,-0.0106742,0.0219178,0.260486,false
has_type,357,8,112,6,442,11,0.253394,0.545455,0.464555,-0.292061,0.978082,0.260486,false
has_minItems,15,350,2,116,18,435,0.111111,0.266667,0.416667,-0.155556,0.0410959,0.260486,false
has_multipleOf,2,363,0,118,2,451,0,0.261641,0,-0.261641,0.00547945,0.260486,false
has_ref,10,355,0,118,12,441,0,0.267574,0,-0.267574,0.0273973,0.260486,false
