feature,feature_pair,feature_a,feature_b,n_schemas,support,risk_count,interest_score,timeout_lift,timeout_delta,under_lift,under_delta,over_lift,over_delta,correct,timeout,under,over,correct_n,timeout_n,under_n,over_n
[P] has_maxLength + has_type,has_maxLength__AND__has_type,has_maxLength,has_type,22,0.060274,3,3.05002e+06,77.9545,0.224357,2.15244,0.0669263,1.42479,0.108416,0.0357143,0.833333,0.0769231,0.0740741,252,6,26,81
[P] has_maxLength + has_properties,has_maxLength__AND__has_properties,has_maxLength,has_properties,18,0.0493151,3,3.01929e+06,19.2778,0.158021,2.6122,0.092577,1.15982,0.0413395,0.0357143,0.5,0.0769231,0.0493827,252,6,26,81
[P] has_additionalProperties + has_properties,has_additionalProperties__AND__has_properties,has_additionalProperties,has_properties,97,0.265753,3,3.00554e+06,5.52577,0.0337744,1.64715,0.034607,1.69057,0.149371,0.218254,0.666667,0.307692,0.37037,252,6,26,81
[P] has_boolean_schema + has_properties,has_boolean_schema__AND__has_properties,has_boolean_schema,has_properties,98,0.268493,3,3.00546e+06,5.44898,0.0333257,1.59125,0.0319018,1.61524,0.13543,0.22619,0.666667,0.307692,0.358025,252,6,26,81
[P] has_additionalProperties + has_boolean_schema,has_additionalProperties__AND__has_boolean_schema,has_additionalProperties,has_boolean_schema,109,0.29863,3,3.00472e+06,4.69725,0.0288847,1.43928,0.0243593,2.08966,0.208581,0.238095,0.666667,0.307692,0.45679,252,6,26,81
[P] has_boolean_schema + has_type,has_boolean_schema__AND__has_type,has_boolean_schema,has_type,111,0.30411,3,3.0046e+06,4.57658,0.028162,1.39327,0.0220115,2.04855,0.202046,0.246032,0.666667,0.307692,0.45679,252,6,26,81
[P] has_boolean_schema + has_oneOf,has_boolean_schema__AND__has_oneOf,has_boolean_schema,has_oneOf,22,0.060274,3,3.00312e+06,3.11818,0.0308773,1.855,0.0496372,1.17845,0.0458874,0.047619,0.166667,0.115385,0.0740741,252,6,26,81
[P] has_additionalProperties + has_items,has_additionalProperties__AND__has_items,has_additionalProperties,has_items,27,0.0739726,3,3.00288e+06,2.5037,0.0222441,2.15244,0.0669263,2.83987,0.410845,0.0357143,0.166667,0.0769231,0.185185,252,6,26,81
[P] has_boolean_schema + has_items,has_boolean_schema__AND__has_items,has_boolean_schema,has_items,28,0.0767123,3,3.00281e+06,2.40714,0.0208775,2.01722,0.0593256,2.76553,0.395203,0.0396825,0.166667,0.0769231,0.185185,252,6,26,81
[P] has_additionalProperties + has_required,has_additionalProperties__AND__has_required,has_additionalProperties,has_required,60,0.164384,3,3.00255e+06,2.54167,0.0202186,2.40473,0.0712381,1.45481,0.109055,0.134921,0.333333,0.230769,0.222222,252,6,26,81
[P] has_items + has_required,has_items__AND__has_required,has_items,has_required,33,0.090411,3,3.00248e+06,2.01212,0.0152428,1.60511,0.0359038,2.45229,0.325139,0.0555556,0.166667,0.0769231,0.197531,252,6,26,81
[P] has_boolean_schema + has_required,has_boolean_schema__AND__has_required,has_boolean_schema,has_required,63,0.172603,3,3.00241e+06,2.39683,0.018501,2.25,0.0641026,1.50078,0.118641,0.142857,0.333333,0.230769,0.234568,252,6,26,81
[P] has_additionalProperties + has_maxLength,has_additionalProperties__AND__has_maxLength,has_additionalProperties,has_maxLength,14,0.0383562,2,2.02509e+06,25.0714,0.205739,4.09756,0.174451,1.38748,0.0997397,0.0238095,0.5,0.0769231,0.037037,252,6,26,81
[P] has_boolean_schema + has_maxLength,has_boolean_schema__AND__has_maxLength,has_boolean_schema,has_maxLength,14,0.0383562,2,2.02509e+06,25.0714,0.205739,4.09756,0.174451,1.38748,0.0997397,0.0238095,0.5,0.0769231,0.037037,252,6,26,81
[P] has_maxLength + has_oneOf,has_maxLength__AND__has_oneOf,has_maxLength,has_oneOf,7,0.0191781,2,2.01026e+06,10.2286,0.128891,5.10801,0.22978,2.18289,0.301051,0.00396825,0.166667,0.0769231,0.037037,252,6,26,81
[P] has_defs + has_items,has_defs__AND__has_items,has_defs,has_items,13,0.0356164,2,2.00549e+06,5.41538,0.0627185,0,-0.0625832,4.19825,0.725529,0.00396825,0.166667,0,0.135802,252,6,26,81
[P] has_additionalProperties + has_defs,has_additionalProperties__AND__has_defs,has_additionalProperties,has_defs,16,0.0438356,2,2.00443e+06,4.3625,0.0481734,0,-0.063172,3.81988,0.628847,0.00793651,0.166667,0,0.160494,252,6,26,81
[P] has_boolean_schema + has_defs,has_boolean_schema__AND__has_defs,has_boolean_schema,has_defs,16,0.0438356,2,2.00443e+06,4.3625,0.0481734,0,-0.063172,3.81988,0.628847,0.00793651,0.166667,0,0.160494,252,6,26,81
[P] has_additionalProperties + has_type,has_additionalProperties__AND__has_type,has_additionalProperties,has_type,115,0.315068,2,2.00437e+06,4.34783,0.0267826,1.34077,0.0192891,2.08735,0.205715,0.253968,0.666667,0.307692,0.481481,252,6,26,81
[P] has_defs + has_required,has_defs__AND__has_required,has_defs,has_required,18,0.0493151,2,2.00391e+06,3.85556,0.0411463,0,-0.0635135,3.53975,0.569047,0.015873,0.166667,0,0.160494,252,6,26,81
