feature_pair,feature_a,feature_b,n_schemas,support,timeout_rate,under_rate,over_rate
has_anyOf__AND__has_maxItems,has_anyOf,has_maxItems,1,0.00273973,1,0,0
has_defs__AND__has_minItems,has_defs,has_minItems,1,0.00273973,1,0,0
has_maxItems__AND__has_ref,has_maxItems,has_ref,1,0.00273973,1,0,0
has_minItems__AND__has_ref,has_minItems,has_ref,1,0.00273973,1,0,0
has_additionalProperties__AND__has_maxItems,has_additionalProperties,has_maxItems,2,0.00547945,0.5,0,1
has_anyOf__AND__has_minItems,has_anyOf,has_minItems,2,0.00547945,0.5,0,0
has_boolean_schema__AND__has_maxItems,has_boolean_schema,has_maxItems,2,0.00547945,0.5,0,1
has_defs__AND__has_maxItems,has_defs,has_maxItems,2,0.00547945,0.5,0,1
has_items__AND__has_ref,has_items,has_ref,2,0.00547945,0.5,0,0
has_additionalProperties__AND__has_ref,has_additionalProperties,has_ref,3,0.00821918,0.333333,0,0
has_anyOf__AND__has_defs,has_anyOf,has_defs,3,0.00821918,0.333333,0,0
has_anyOf__AND__has_ref,has_anyOf,has_ref,3,0.00821918,0.333333,0,0
has_boolean_schema__AND__has_ref,has_boolean_schema,has_ref,3,0.00821918,0.333333,0,0
has_maxItems__AND__has_minItems,has_maxItems,has_minItems,3,0.00821918,0.333333,0,0.5
has_maxItems__AND__has_required,has_maxItems,has_required,3,0.00821918,0.333333,0,1
has_items__AND__has_maxItems,has_items,has_maxItems,4,0.0109589,0.25,0,0.666667
has_maxItems__AND__has_properties,has_maxItems,has_properties,4,0.0109589,0.25,0,0.666667
has_maxLength__AND__has_type,has_maxLength,has_type,22,0.060274,0.227273,0.125,0.363636
has_additionalProperties__AND__has_maxLength,has_additionalProperties,has_maxLength,14,0.0383562,0.214286,0.230769,0.357143
has_boolean_schema__AND__has_maxLength,has_boolean_schema,has_maxLength,14,0.0383562,0.214286,0.230769,0.357143
has_additionalProperties__AND__has_anyOf,has_additionalProperties,has_anyOf,5,0.0136986,0.2,0.153846,0
has_additionalProperties__AND__has_minItems,has_additionalProperties,has_minItems,5,0.0136986,0.2,0,0
has_boolean_schema__AND__has_minItems,has_boolean_schema,has_minItems,5,0.0136986,0.2,0,0
has_maxItems__AND__has_type,has_maxItems,has_type,5,0.0136986,0.2,0,0.5
has_ref__AND__has_required,has_ref,has_required,5,0.0136986,0.2,0,0
has_maxLength__AND__has_properties,has_maxLength,has_properties,18,0.0493151,0.166667,0.15,0.3
has_anyOf__AND__has_boolean_schema,has_anyOf,has_boolean_schema,6,0.0164384,0.166667,0.125,0
has_anyOf__AND__has_items,has_anyOf,has_items,7,0.0191781,0.142857,0,0
has_maxLength__AND__has_oneOf,has_maxLength,has_oneOf,7,0.0191781,0.142857,0.285714,0.555556
has_properties__AND__has_ref,has_properties,has_ref,7,0.0191781,0.142857,0,0
has_maxLength__AND__has_minLength,has_maxLength,has_minLength,8,0.0219178,0.125,0,0.666667
