feature_pair,feature_a,feature_b,schemas_with_pair,schemas_without_pair,support,under_with_pair,under_without_pair,under_denominator_with,under_denominator_without,under_rate_with,under_rate_without,lift,delta,eligible_lift
has_minimum__AND__has_properties,has_minimum,has_properties,13,352,0.0356164,22,25,33,721,0.666667,0.0346741,19.2267,0.631993,true
has_minimum__AND__has_required,has_minimum,has_required,9,356,0.0246575,14,33,24,730,0.583333,0.0452055,12.904,0.538128,true
has_maximum__AND__has_minimum,has_maximum,has_minimum,8,357,0.0219178,14,33,28,726,0.5,0.0454545,11,0.454545,true
has_maximum__AND__has_type,has_maximum,has_type,8,357,0.0219178,14,33,28,726,0.5,0.0454545,11,0.454545,true
has_minimum__AND__has_type,has_minimum,has_type,21,344,0.0575342,22,25,61,693,0.360656,0.036075,9.99738,0.324581,true
has_maxLength__AND__has_oneOf,has_maxLength,has_oneOf,7,358,0.0191781,6,41,21,733,0.285714,0.0559345,5.10801,0.22978,true
has_additionalProperties__AND__has_pattern,has_additionalProperties,has_pattern,10,355,0.0273973,9,38,34,720,0.264706,0.0527778,5.01548,0.211928,true
has_boolean_schema__AND__has_pattern,has_boolean_schema,has_pattern,10,355,0.0273973,9,38,34,720,0.264706,0.0527778,5.01548,0.211928,true
has_additionalProperties__AND__has_default,has_additionalProperties,has_default,8,357,0.0219178,5,42,20,734,0.25,0.0572207,4.36905,0.192779,true
has_boolean_schema__AND__has_default,has_boolean_schema,has_default,8,357,0.0219178,5,42,20,734,0.25,0.0572207,4.36905,0.192779,true
has_additionalProperties__AND__has_maxLength,has_additionalProperties,has_maxLength,14,351,0.0383562,6,41,26,728,0.230769,0.0563187,4.09756,0.174451,true
has_boolean_schema__AND__has_maxLength,has_boolean_schema,has_maxLength,14,351,0.0383562,6,41,26,728,0.230769,0.0563187,4.09756,0.174451,true
has_pattern__AND__has_properties,has_pattern,has_properties,21,344,0.0575342,14,33,72,682,0.194444,0.0483871,4.01852,0.146057,true
has_oneOf__AND__has_pattern,has_oneOf,has_pattern,9,356,0.0246575,7,40,33,721,0.212121,0.0554785,3.82348,0.156643,true
has_default__AND__has_required,has_default,has_required,10,355,0.0273973,5,42,23,731,0.217391,0.0574555,3.78364,0.159936,true
has_patternProperties__AND__has_type,has_patternProperties,has_type,21,344,0.0575342,7,40,35,719,0.2,0.0556328,3.595,0.144367,true
has_pattern__AND__has_required,has_pattern,has_required,15,350,0.0410959,8,39,52,702,0.153846,0.0555556,2.76923,0.0982906,true
has_maxLength__AND__has_properties,has_maxLength,has_properties,18,347,0.0493151,6,41,40,714,0.15,0.057423,2.6122,0.092577,true
has_items__AND__has_oneOf,has_items,has_oneOf,15,350,0.0410959,7,40,50,704,0.14,0.0568182,2.464,0.0831818,true
has_default__AND__has_properties,has_default,has_properties,19,346,0.0520548,5,42,35,719,0.142857,0.0584145,2.44558,0.0844427,true
has_additionalProperties__AND__has_required,has_additionalProperties,has_required,60,305,0.164384,15,32,123,631,0.121951,0.0507132,2.40473,0.0712381,true
