feature,schemas_with_feature,schemas_without_feature,timeout_with_feature,timeout_without_feature,timeout_rate_with,timeout_rate_without,lift,support,global_timeout_rate
has_type,357,8,6,0,0.0168067,0,inf,0.978082,0.0164384
has_maxLength,22,343,5,1,0.227273,0.00291545,77.9545,0.060274,0.0164384
has_maxItems,5,360,1,5,0.2,0.0138889,14.4,0.0136986,0.0164384
has_ref,10,355,1,5,0.1,0.0140845,7.1,0.0273973,0.0164384
has_minItems,15,350,1,5,0.0666667,0.0142857,4.66667,0.0410959,0.0164384
has_boolean_schema,112,253,4,2,0.0357143,0.00790514,4.51786,0.306849,0.0164384
has_additionalProperties,116,249,4,2,0.0344828,0.00803213,4.2931,0.317808,0.0164384
has_anyOf,26,339,1,5,0.0384615,0.0147493,2.60769,0.0712329,0.0164384
many_required,26,339,1,5,0.0384615,0.0147493,2.60769,0.0712329,0.0164384
has_minLength,28,337,1,5,0.0357143,0.0148368,2.40714,0.0767123,0.0164384
many_properties,29,336,1,5,0.0344828,0.014881,2.31724,0.0794521,0.0164384
has_defs,33,332,1,5,0.030303,0.0150602,2.01212,0.090411,0.0164384
has_oneOf,46,319,1,5,0.0217391,0.015674,1.38696,0.126027,0.0164384
has_items,67,298,1,5,0.0149254,0.0167785,0.889552,0.183562,0.0164384
has_required,140,225,2,4,0.0142857,0.0177778,0.803571,0.383562,0.0164384
has_properties,265,100,4,2,0.0150943,0.02,0.754717,0.726027,0.0164384
has_allOf,21,344,0,6,0,0.0174419,0,0.0575342,0.0164384
has_default,29,336,0,6,0,0.0178571,0,0.0794521,0.0164384
has_enum,86,279,0,6,0,0.0215054,0,0.235616,0.0164384
has_maximum,8,357,0,6,0,0.0168067,0,0.0219178,0.0164384
has_minProperties,3,362,0,6,0,0.0165746,0,0.00821918,0.0164384
has_minimum,21,344,0,6,0,0.0174419,0,0.0575342,0.0164384
has_multipleOf,2,363,0,6,0,0.0165289,0,0.00547945,0.0164384
has_not,7,358,0,6,0,0.0167598,0,0.0191781,0.0164384
has_pattern,33,332,0,6,0,0.0180723,0,0.090411,0.0164384
has_patternProperties,22,343,0,6,0,0.0174927,0,0.060274,0.0164384
large_enum,29,336,0,6,0,0.0178571,0,0.0794521,0.0164384
deep_schema,29,336,0,6,0,0.0178571,0,0.0794521,0.0164384
