feature,schemas_with_feature,schemas_without_feature,under_with_feature,under_without_feature,under_denominator_with,under_denominator_without,under_rate_with,under_rate_without,lift,delta,support,global_under_rate,eligible_lift
has_maximum,8,357,14,33,28,726,0.5,0.0454545,11,0.454545,0.0219178,0.0623342,true
has_minimum,21,344,22,25,61,693,0.360656,0.036075,9.99738,0.324581,0.0575342,0.0623342,true
has_patternProperties,22,343,7,40,37,717,0.189189,0.055788,3.39122,0.133401,0.060274,0.0623342,true
has_properties,265,100,39,8,502,252,0.0776892,0.031746,2.44721,0.0459432,0.726027,0.0623342,true
has_maxLength,22,343,6,41,48,706,0.125,0.0580737,2.15244,0.0669263,0.060274,0.0623342,true
many_required,26,339,8,39,66,688,0.121212,0.056686,2.13831,0.0645261,0.0712329,0.0623342,true
has_pattern,33,332,14,33,129,625,0.108527,0.0528,2.05544,0.0557271,0.090411,0.0623342,true
has_required,140,225,24,23,275,479,0.0872727,0.0480167,1.81755,0.039256,0.383562,0.0623342,true
has_allOf,21,344,3,44,33,721,0.0909091,0.0610264,1.48967,0.0298827,0.0575342,0.0623342,true
has_default,29,336,5,42,60,694,0.0833333,0.0605187,1.37698,0.0228146,0.0794521,0.0623342,true
has_boolean_schema,112,253,17,30,220,534,0.0772727,0.0561798,1.37545,0.021093,0.306849,0.0623342,true
has_additionalProperties,116,249,17,30,226,528,0.0752212,0.0568182,1.32389,0.0184031,0.317808,0.0623342,true
has_oneOf,46,319,8,39,106,648,0.0754717,0.0601852,1.25399,0.0152865,0.126027,0.0623342,true
has_defs,33,332,3,44,42,712,0.0714286,0.0617978,1.15584,0.00963082,0.090411,0.0623342,true
has_ref,10,355,2,45,29,725,0.0689655,0.062069,1.11111,0.00689655,0.0273973,0.0623342,true
has_minLength,28,337,4,43,62,692,0.0645161,0.0621387,1.03826,0.0023774,0.0767123,0.0623342,true
has_items,67,298,7,40,158,596,0.0443038,0.0671141,0.660127,-0.0228103,0.183562,0.0623342,true
deep_schema,29,336,1,46,40,714,0.025,0.0644258,0.388043,-0.0394258,0.0794521,0.0623342,true
has_anyOf,26,339,2,45,80,674,0.025,0.0667656,0.374444,-0.0417656,0.0712329,0.0623342,true
has_enum,86,279,5,42,189,565,0.026455,0.0743363,0.355883,-0.0478813,0.235616,0.0623342,true
many_properties,29,336,1,46,51,703,0.0196078,0.0654339,0.299659,-0.045826,0.0794521,0.0623342,true
has_minItems,15,350,0,47,37,717,0,0.0655509,0,-0.0655509,0.0410959,0.0623342,true
large_enum,29,336,0,47,46,708,0,0.0663842,0,-0.0663842,0.0794521,0.0623342,true
has_multipleOf,2,363,4,43,5,749,0.8,0.0574099,13.9349,0.74259,0.00547945,0.0623342,false
has_not,7,358,2,45,14,740,0.142857,0.0608108,2.34921,0.0820463,0.0191781,0.0623342,false
has_type,357,8,46,1,741,13,0.0620783,0.0769231,0.807018,-0.0148448,0.978082,0.0623342,false
has_maxItems,5,360,0,47,4,750,0,0.0626667,0,-0.0626667,0.0136986,0.0623342,false
has_minProperties,3,362,0,47,4,750,0,0.0626667,0,-0.0626667,0.00821918,0.0623342,false
