characteristic,bucket,n_schemas,value_min,value_max,schemas_with_under_rate,schemas_with_over_rate,under_test_rate,over_test_rate,timeout_schema_rate
schema_json_chars,q1_low,94,18,159,0.0957447,0.180851,0.0609137,0.183486,0
schema_json_chars,q2_mid_low,89,160,215,0.0786517,0.168539,0.0874317,0.185185,0.0224719
schema_json_chars,q3_mid_high,91,216,353,0.021978,0.197802,0.0229885,0.242991,0.032967
schema_json_chars,q4_high,91,359,21397,0.0879121,0.340659,0.075,0.403101,0.010989
schema_file_bytes,q1_low,92,461,1532,0.0869565,0.173913,0.101266,0.182692,0
schema_file_bytes,q2_mid_low,91,1545,2213,0.0659341,0.175824,0.0734463,0.2,0.010989
schema_file_bytes,q3_mid_high,91,2220,4019,0.0659341,0.197802,0.0638298,0.234234,0.032967
schema_file_bytes,q4_high,91,4036,66181,0.0659341,0.340659,0.0418251,0.406504,0.021978
nb_keywords,q1_low,153,1,6,0.0653595,0.215686,0.0438871,0.230769,0.0130719
nb_keywords,q2_mid_low,67,7,7,0.0895522,0.134328,0.0888889,0.166667,0.0298507
nb_keywords,q3_mid_high,59,8,9,0.0508475,0.0677966,0.0695652,0.0724638,0
nb_keywords,q4_high,86,10,721,0.0813953,0.406977,0.0702703,0.467742,0.0232558
nb_properties,q1_low,115,0,0,0.0434783,0.217391,0.0301887,0.25,0.0173913
nb_properties,q2_mid_low,130,1,1,0.0769231,0.138462,0.0691057,0.158228,0.00769231
nb_properties,q3_mid_high,58,2,2,0.12069,0.172414,0.107438,0.208333,0.0172414
nb_properties,q4_high,62,3,128,0.0645161,0.451613,0.0737705,0.484211,0.0322581
nb_required,q1_low,230,0,0,0.0521739,0.204348,0.0477178,0.241758,0.0173913
nb_required,q2_mid_low,0,,,0,0,0,0,0
nb_required,q3_mid_high,68,1,1,0.0882353,0.0882353,0.0791367,0.0843373,0.0147059
nb_required,q4_high,67,2,86,0.119403,0.41791,0.0977444,0.463918,0.0149254
schema_depth,q1_low,219,0,2,0.0730594,0.173516,0.0617849,0.204724,0.0182648
schema_depth,q2_mid_low,0,,,0,0,0,0,0
schema_depth,q3_mid_high,71,3,4,0.0704225,0.197183,0.0653595,0.202247,0
schema_depth,q4_high,75,5,20,0.0666667,0.386667,0.0609756,0.436364,0.0266667
nb_branches_combinators,q1_low,275,0,0,0.0690909,0.181818,0.0627306,0.210526,0.0145455
nb_branches_combinators,q2_mid_low,0,,,0,0,0,0,0
nb_branches_combinators,q3_mid_high,0,,,0,0,0,0,0
nb_branches_combinators,q4_high,90,1,47,0.0777778,0.344444,0.0613208,0.384615,0.0222222
nb_enum_values,q1_low,279,0,0,0.078853,0.218638,0.0743363,0.253687,0.0215054
nb_enum_values,q2_mid_low,0,,,0,0,0,0,0
nb_enum_values,q3_mid_high,0,,,0,0,0,0,0
nb_enum_values,q4_high,86,1,165,0.0465116,0.232558,0.026455,0.280702,0
nb_regex,q1_low,313,0,0,0.0543131,0.210863,0.0436242,0.247396,0.0191693
nb_regex,q2_mid_low,0,,,0,0,0,0,0
nb_regex,q3_mid_high,0,,,0,0,0,0,0
nb_regex,q4_high,52,1,20,0.173077,0.288462,0.132911,0.333333,0
n_tests,q1_low,109,1,2,0.0642202,0.33945,0.106061,0.418605,0.00917431
n_tests,q2_mid_low,103,3,3,0.038835,0.135922,0.0327869,0.170732,0.00970874
n_tests,q3_mid_high,87,4,4,0.0804598,0.183908,0.0562771,0.183486,0.0229885
n_tests,q4_high,66,5,8,0.121212,0.212121,0.0766423,0.25,0.030303
mean_num_tokens,q1_low,88,1,7,0.0681818,0.0795455,0.0529412,0.076087,0
mean_num_tokens,q2_mid_low,76,7.2,13,0.105263,0.0526316,0.105263,0.0531915,0
mean_num_tokens,q3_mid_high,82,13.6667,26.3333,0.0853659,0.0609756,0.0510204,0.0588235,0
mean_num_tokens,q4_high,82,26.8,733.5,0.0609756,0.414634,0.0613497,0.458333,0
