dataset_id,framework_id,schema_id,n_tests,n_valid_tests,n_invalid_tests,n_valid_completed,n_invalid_completed,n_completed,n_timeout,timeout_status,timeout_stage,timeout_elapsed_s,compile_grammar_s,validation_loop_mean_s,compute_mask_mean_s,commit_token_mean_s,schema_file_bytes,schema_json_chars,mean_instance_json_chars,mean_num_tokens,max_num_tokens,n_correct_accept,n_correct_reject,n_under_constraint,n_over_constraint,under_rate,over_rate,timeout_rate,coverage_rate,accuracy_completed,permissive_score,has_additionalProperties,has_allOf,has_anchor,has_anyOf,has_boolean_schema,has_const,has_contains,has_content,has_default,has_defs,has_dependentRequired,has_dependentSchemas,has_dynamicRef,has_enum,has_exclusiveMaximum,has_exclusiveMinimum,has_if_then_else,has_infinite_loop_detection,has_items,has_maxContains,has_maxItems,has_maxLength,has_maxProperties,has_maximum,has_minContains,has_minItems,has_minLength,has_minProperties,has_minimum,has_multipleOf,has_not,has_oneOf,has_pattern,has_patternProperties,has_prefixItems,has_properties,has_propertyNames,has_ref,has_required,has_type,has_unevaluatedItems,has_unevaluatedProperties,has_uniqueItems,nb_keywords,nb_properties,nb_required,schema_depth,nb_branches_combinators,nb_enum_values,nb_regex,large_enum,many_required,many_properties,deep_schema
Github_trivial,outlines,Github_trivial---o10020.json,5,1,4,1,4,5,0,completed,,,2.25854,0.0147082,0.0058882,0.0087888,4165,309,38.4,12,20,1,3,1,0,0.25,0,0,1,0.8,0.25,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,false,false,false,false,false,false,false,false,true,true,false,false,true,false,false,false,true,false,false,false,15,2,0,5,2,0,2,false,false,false,false
Github_trivial,outlines,Github_trivial---o10021.json,4,2,2,2,2,4,0,completed,,,0.160829,0.000295,0.00010875,0.00016425,1842,129,21.75,8.5,13,2,1,1,0,0.5,0,0,1,0.75,0.5,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,true,false,false,false,true,false,false,false,6,1,0,2,0,0,0,false,false,false,false
Github_trivial,outlines,Github_trivial---o10026.json,6,1,5,1,5,6,0,completed,,,64.6728,0.112699,0.0497927,0.0627857,8320,615,93,28.8333,58,1,0,5,0,1,0,0,1,0.166667,1,true,false,false,false,true,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,true,false,true,false,false,false,false,true,false,false,true,true,false,false,true,false,false,true,true,false,false,false,29,7,5,7,2,0,2,false,true,false,false
Github_trivial,outlines,Github_trivial---o10055.json,4,2,2,2,2,4,0,completed,,,0.263559,0.0384155,0.017134,0.0212335,1941,163,45.5,14.5,15,2,2,0,0,0,0,0,1,1,0,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,true,true,false,false,false,8,1,1,3,0,0,0,false,false,false,false
Github_trivial,outlines,Github_trivial---o10069.json,5,1,4,1,4,5,0,completed,,,0.367337,0.0248262,0.0103344,0.0144512,4236,479,55.6,15,21,1,3,1,0,0.25,0,0,1,0.8,0.25,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,true,true,false,false,true,false,false,true,true,false,false,false,16,2,2,4,2,0,3,false,false,false,false
Github_trivial,outlines,Github_trivial---o10082.json,2,1,1,1,1,2,0,completed,,,0.136976,0.000673,0.000267,0.000365,1026,98,15.5,7,7,1,0,1,0,1,0,0,1,0.5,1,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,true,false,false,false,true,false,false,false,5,1,0,2,0,0,0,false,false,false,false
Github_trivial,outlines,Github_trivial---o10089.json,5,2,3,2,3,5,0,completed,,,248.87,0.0181008,0.0071496,0.0109268,4669,142,146.6,51.6,59,0,3,0,2,0,1,0,1,0.6,-1,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,true,false,false,false,5,4,0,2,0,0,0,false,false,false,false
Github_trivial,outlines,Github_trivial---o10092.json,4,2,2,2,2,4,0,completed,,,0.299161,0.027522,0.0120595,0.0154272,2403,218,33,10.75,18,2,2,0,0,0,0,0,1,1,0,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,true,false,false,false,true,false,false,false,9,2,0,4,2,0,0,false,false,false,false
Github_trivial,outlines,Github_trivial---o12240.json,2,1,1,1,1,2,0,completed,,,0.199801,0.0224945,0.009629,0.0128315,1237,178,28.5,8,11,1,1,0,0,0,0,0,1,1,0,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,true,false,false,true,true,false,false,false,7,1,1,2,0,0,0,false,false,false,false
Github_trivial,outlines,Github_trivial---o12256.json,3,2,1,2,1,3,0,completed,,,34.131,0.0250713,0.010283,0.0147547,1662,156,110.667,34,35,0,1,0,2,0,1,0,1,0.333333,-1,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,true,false,false,false,5,2,0,2,0,0,0,false,false,false,false
