dataset_id,schema_id,framework_id,framework,schema_path,outlines_core_version,schema_file_bytes,schema_json_chars,schema_load_s,schema_serialize_s,regex_build_s,regex_built,regex_chars,regex_bytes,regex_hash,regex_expansion_ratio,regex_num_alternations_proxy,regex_num_groups_proxy,regex_num_repetitions_proxy,regex_max_group_depth_proxy,index_build_s,index_built,guide_init_s,guide_built,total_compile_s,final_status,last_stage,exception_type,exception_message,timeout_seconds
Github_trivial,Github_trivial---o10020.json,outlines,Outlines,maskbench/data/Github_trivial---o10020.json,0.2.14,4165,336,0.000698,2.5e-05,5.5e-05,True,244,244,26162602d23ed2c898c93fa6e2d4bb2e529a9eff5b03e233d9a1cc2195e6d58e,0.726190476,4,12,20,7,2.226536,True,7e-06,True,2.258543,completed,completed,,,
Github_trivial,Github_trivial---o10021.json,outlines,Outlines,maskbench/data/Github_trivial---o10021.json,0.2.14,1842,140,0.000651,1.3e-05,5e-05,True,54,54,451ee9ebd51ff7353d0de5948f58004f1925862ec38242c3969836339c48f88c,0.385714286,1,3,7,2,0.125719,True,5e-06,True,0.160829,completed,completed,,,
Github_trivial,Github_trivial---o10026.json,outlines,Outlines,maskbench/data/Github_trivial---o10026.json,0.2.14,8320,678,0.000604,2.4e-05,0.000374,True,42147,42147,e3b15c320d279227635aa17baaff8523f36e9c25a01688a1e1a84a7e46c504dd,62.163716814,2048,2713,3172,18,64.637712,True,5e-06,True,64.67282,completed,completed,,,
Github_trivial,Github_trivial---o10055.json,outlines,Outlines,maskbench/data/Github_trivial---o10055.json,0.2.14,1941,177,0.000683,1.6e-05,2.1e-05,True,144,144,0d8c2dcb710e73b229082e31fd2c6d3a5f0fa042889afef27c607c9b93a6c411,0.813559322,2,6,11,4,0.230975,True,4e-06,True,0.263559,completed,completed,,,
Github_trivial,Github_trivial---o10069.json,outlines,Outlines,maskbench/data/Github_trivial---o10069.json,0.2.14,4236,511,0.0005,3.8e-05,6.5e-05,True,152,152,e6d30f9b2d1a8bfa511114a19b12a792454ded58aa32cb4f8560f7a78a04f376,0.297455969,2,6,13,3,0.332942,True,3e-06,True,0.367337,completed,completed,,,
Github_trivial,Github_trivial---o10082.json,outlines,Outlines,maskbench/data/Github_trivial---o10082.json,0.2.14,1026,107,0.000721,1.4e-05,2e-05,True,53,53,13d76c9d697b14f322215986c763bcb6f6c906fc5cedca7446af6455de9b7965,0.495327103,1,3,7,2,0.099368,True,4e-06,True,0.136976,completed,completed,,,
Github_trivial,Github_trivial---o10089.json,outlines,Outlines,maskbench/data/Github_trivial---o10089.json,0.2.14,4669,157,0.000764,1.7e-05,0.000625,True,125090,125090,f2fe442da8380e1b193853174d2259d697d066dd3887cb7542464533511b44a0,796.751592357,6111,8071,9380,14,248.82239,True,3e-06,True,248.869551,completed,completed,,,
Github_trivial,Github_trivial---o10092.json,outlines,Outlines,maskbench/data/Github_trivial---o10092.json,0.2.14,2403,234,0.001202,2.2e-05,3.5e-05,True,161,161,f93c513603e14cab198ae0ff4847cc263e442e9bf6e26378b20b0598b912a6ac,0.688034188,3,7,14,4,0.26509,True,5e-06,True,0.299161,completed,completed,,,
Github_trivial,Github_trivial---o12240.json,outlines,Outlines,maskbench/data/Github_trivial---o12240.json,0.2.14,1237,191,0.00058,1.6e-05,2.3e-05,True,76,76,800c4b8efdb98f39ea1b7c9c9e78c6608f40c8801a257ad95c22503681d20cbb,0.397905759,1,1,5,1,0.16424,True,5e-06,True,0.199801,completed,completed,,,
Github_trivial,Github_trivial---o12256.json,outlines,Outlines,maskbench/data/Github_trivial---o12256.json,0.2.14,1662,167,0.000834,1.3e-05,0.000222,True,27867,27867,dac5296be49298782feb36e138078e17b41cf5c3f7a5d388eb40e2b93fe5f878,166.868263473,1362,1800,2091,14,34.092519,True,3e-06,True,34.130957,completed,completed,,,
Github_trivial,Github_trivial---o12345.json,outlines,Outlines,maskbench/data/Github_trivial---o12345.json,0.2.14,2083,233,0.000608,1.3e-05,0.000127,True,6884,6884,fc4487f8bbe37e5181029ffa9fc2b76b683222436956bc7b45021b98aea83f72,29.545064378,336,443,518,12,8.706264,True,3e-06,True,8.742567,completed,completed,,,
Github_trivial,Github_trivial---o12488.json,outlines,Outlines,maskbench/data/Github_trivial---o12488.json,0.2.14,1858,279,0.000618,1.5e-05,2.6e-05,True,70,70,9bb5a7f68364e11112c5dbd61d2477f901faf14dc6bf078e7724b512333d80a3,0.250896057,1,1,5,1,0.130646,True,6e-06,True,0.16712,completed,completed,,,
Github_trivial,Github_trivial---o12491.json,outlines,Outlines,maskbench/data/Github_trivial---o12491.json,0.2.14,1396,300,0.000661,2.1e-05,2.9e-05,True,85,85,09b5f5aad52d75d61415df01ab4e069bfb36c07fe198d3320831b130ff6a9deb,0.283333333,1,2,6,2,0.182696,True,4e-06,True,0.220597,completed,completed,,,
Github_trivial,Github_trivial---o13272.json,outlines,Outlines,maskbench/data/Github_trivial---o13272.json,0.2.14,6411,159,0.001094,1.6e-05,5.7e-05,True,87,87,a1446e368be56043bd48c93e7cf3ff04565f9eeb28b294ea0c47058d07c2bb07,0.547169811,1,2,6,2,3.994638,True,5e-06,True,4.040507,completed,completed,,,
Github_trivial,Github_trivial---o13839.json,outlines,Outlines,maskbench/data/Github_trivial---o13839.json,0.2.14,2120,99,0.000611,1.3e-05,1.5e-05,True,116,116,53adc9f616cb9e780b857ea94e4e09bb9fd5fc500f6fb39cf673705824ca3ae8,1.171717172,2,6,7,4,0.161262,True,5e-06,True,0.195642,completed,completed,,,
Github_trivial,Github_trivial---o14485.json,outlines,Outlines,maskbench/data/Github_trivial---o14485.json,0.2.14,2666,896,0.000675,4.3e-05,6.3e-05,True,328,328,5e2fd91c079ba79c7f15d797da59d9c47e7f494f2be765916befd5d802faa32f,0.366071429,5,15,36,4,0.574069,True,7e-06,True,0.609084,completed,completed,,,
Github_trivial,Github_trivial---o16363.json,outlines,Outlines,maskbench/data/Github_trivial---o16363.json,0.2.14,2854,234,0.000675,1.6e-05,2.7e-05,True,59,59,c388f032ae5c945f62081b20499bab847bfe020306610f6b8328f9a8b06471a7,0.252136752,1,1,4,1,0.193456,True,5e-06,True,0.228785,completed,completed,,,
Github_trivial,Github_trivial---o17123.json,outlines,Outlines,maskbench/data/Github_trivial---o17123.json,0.2.14,1966,151,0.000626,1.6e-05,2.1e-05,True,116,116,53adc9f616cb9e780b857ea94e4e09bb9fd5fc500f6fb39cf673705824ca3ae8,0.768211921,2,6,7,4,0.168997,True,5e-06,True,0.204946,completed,completed,,,
Github_trivial,Github_trivial---o17125.json,outlines,Outlines,maskbench/data/Github_trivial---o17125.json,0.2.14,2296,176,0.000168,2e-05,0.000143,True,13694,13694,6424acab790478dcda2c907a1e96a70e5c76840434b9f93dcf8990d6b5541296,77.806818182,672,888,1031,14,48.147106,True,4e-06,True,48.190726,completed,completed,,,
