schema_id,dataset_id,schema_path,test_id,test_index,expected_validity,framework_id,framework,actual_result,accepted,result_available,schema_file_bytes,schema_json_chars,instance_json_chars,engine_tokenizer_load_us,engine_init_us,schema_load_us,compile_grammar_us,test_json_dumps_us,tokenize_us,reset_matcher_us,validation_loop_us,compute_mask_us,commit_token_us,max_compute_mask_us,max_commit_token_us,num_tokens,tokens_checked,first_rejected_token_index,error_message,outlines_core_version,schema_serialize_us,regex_build_us,regex_built,regex_chars,regex_bytes,regex_hash,regex_expansion_ratio,regex_num_alternations_proxy,regex_num_groups_proxy,regex_num_repetitions_proxy,regex_max_group_depth_proxy,index_build_us,index_built,guide_init_us,guide_built,total_compile_us,final_status,last_stage,exception_type,exception_message
Github_trivial---o10020.json,Github_trivial,maskbench/data/Github_trivial---o10020.json,Github_trivial---o10020.json::test_00000,0,valid,outlines,Outlines,passed,True,True,4165,336,22,1271216,733220,698,2258543,17,971,5,15990,5867,10088,2810,5986,7,7,,,0.2.14,25,55,True,244,244,26162602d23ed2c898c93fa6e2d4bb2e529a9eff5b03e233d9a1cc2195e6d58e,0.726190476,4,12,20,7,2226536,True,7,True,2258543,completed,completed,,
Github_trivial---o10020.json,Github_trivial,maskbench/data/Github_trivial---o10020.json,Github_trivial---o10020.json::test_00001,1,invalid,outlines,Outlines,failed,True,True,4165,336,23,1271216,733220,698,2258543,13,144,4,11069,5128,5913,2590,3554,7,7,,,0.2.14,25,55,True,244,244,26162602d23ed2c898c93fa6e2d4bb2e529a9eff5b03e233d9a1cc2195e6d58e,0.726190476,4,12,20,7,2226536,True,7,True,2258543,completed,completed,,
Github_trivial---o10020.json,Github_trivial,maskbench/data/Github_trivial---o10020.json,Github_trivial---o10020.json::test_00002,2,invalid,outlines,Outlines,passed,False,True,4165,336,47,1271216,733220,698,2258543,13,136,2,10425,4452,5951,1967,2899,14,7,6,,0.2.14,25,55,True,244,244,26162602d23ed2c898c93fa6e2d4bb2e529a9eff5b03e233d9a1cc2195e6d58e,0.726190476,4,12,20,7,2226536,True,7,True,2258543,completed,completed,,
Github_trivial---o10020.json,Github_trivial,maskbench/data/Github_trivial---o10020.json,Github_trivial---o10020.json::test_00003,3,invalid,outlines,Outlines,passed,False,True,4165,336,39,1271216,733220,698,2258543,41,343,7,23750,8947,14758,4509,9320,12,7,6,,0.2.14,25,55,True,244,244,26162602d23ed2c898c93fa6e2d4bb2e529a9eff5b03e233d9a1cc2195e6d58e,0.726190476,4,12,20,7,2226536,True,7,True,2258543,completed,completed,,
Github_trivial---o10020.json,Github_trivial,maskbench/data/Github_trivial---o10020.json,Github_trivial---o10020.json::test_00004,4,invalid,outlines,Outlines,passed,False,True,4165,336,61,1271216,733220,698,2258543,15,181,3,12307,5047,7234,2218,3921,20,8,7,,0.2.14,25,55,True,244,244,26162602d23ed2c898c93fa6e2d4bb2e529a9eff5b03e233d9a1cc2195e6d58e,0.726190476,4,12,20,7,2226536,True,7,True,2258543,completed,completed,,
Github_trivial---o10021.json,Github_trivial,maskbench/data/Github_trivial---o10021.json,Github_trivial---o10021.json::test_00000,0,valid,outlines,Outlines,passed,True,True,1842,140,16,1229183,708598,651,160829,15,898,5,144,47,74,20,34,7,7,,,0.2.14,13,50,True,54,54,451ee9ebd51ff7353d0de5948f58004f1925862ec38242c3969836339c48f88c,0.385714286,1,3,7,2,125719,True,5,True,160829,completed,completed,,
Github_trivial---o10021.json,Github_trivial,maskbench/data/Github_trivial---o10021.json,Github_trivial---o10021.json::test_00001,1,invalid,outlines,Outlines,failed,True,True,1842,140,17,1229183,708598,651,160829,17,146,4,352,124,205,51,78,7,7,,,0.2.14,13,50,True,54,54,451ee9ebd51ff7353d0de5948f58004f1925862ec38242c3969836339c48f88c,0.385714286,1,3,7,2,125719,True,5,True,160829,completed,completed,,
Github_trivial---o10021.json,Github_trivial,maskbench/data/Github_trivial---o10021.json,Github_trivial---o10021.json::test_00002,2,invalid,outlines,Outlines,passed,False,True,1842,140,38,1229183,708598,651,160829,13,140,2,360,136,205,44,74,13,7,6,,0.2.14,13,50,True,54,54,451ee9ebd51ff7353d0de5948f58004f1925862ec38242c3969836339c48f88c,0.385714286,1,3,7,2,125719,True,5,True,160829,completed,completed,,
Github_trivial---o10021.json,Github_trivial,maskbench/data/Github_trivial---o10021.json,Github_trivial---o10021.json::test_00003,3,valid,outlines,Outlines,passed,True,True,1842,140,16,1229183,708598,651,160829,13,106,2,324,128,173,41,64,7,7,,,0.2.14,13,50,True,54,54,451ee9ebd51ff7353d0de5948f58004f1925862ec38242c3969836339c48f88c,0.385714286,1,3,7,2,125719,True,5,True,160829,completed,completed,,
Github_trivial---o10026.json,Github_trivial,maskbench/data/Github_trivial---o10026.json,Github_trivial---o10026.json::test_00000,0,valid,outlines,Outlines,passed,True,True,8320,678,63,1193364,666231,604,64672820,18,989,5,85318,36151,49071,4773,6225,20,20,,,0.2.14,24,374,True,42147,42147,e3b15c320d279227635aa17baaff8523f36e9c25a01688a1e1a84a7e46c504dd,62.163716814,2048,2713,3172,18,64637712,True,5,True,64672820,completed,completed,,
Github_trivial---o10026.json,Github_trivial,maskbench/data/Github_trivial---o10026.json,Github_trivial---o10026.json::test_00001,1,invalid,outlines,Outlines,failed,True,True,8320,678,64,1193364,666231,604,64672820,11,157,4,75107,32823,42202,3436,4560,20,20,,,0.2.14,24,374,True,42147,42147,e3b15c320d279227635aa17baaff8523f36e9c25a01688a1e1a84a7e46c504dd,62.163716814,2048,2713,3172,18,64637712,True,5,True,64672820,completed,completed,,
