feature,n_schemas,n_completed_tests,under_rate,over_rate,correct_rate,timeout_rate
has_maxProperties,8,51,0,1,0.72549,0
has_minProperties,8,51,0,1,0.72549,0
has_patternProperties,7,39,0,1,0.74359,0
has_exclusiveMaximum,3,19,0,1,0.736842,0
has_anyOf,34,182,0.00775194,0.943396,0.71978,0.0294118
has_ref,66,332,0.00442478,0.924528,0.701807,0.0151515
has_defs,68,338,0.00436681,0.908257,0.704142,0.0147059
has_allOf,11,70,0.0188679,0.882353,0.771429,0
has_oneOf,26,130,0.0224719,0.878049,0.707692,0.0384615
has_default,39,182,0,0.892308,0.681319,0.0512821
has_minimum,33,168,0.0336134,0.857143,0.72619,0.0606061
has_enum,72,350,0.0127119,0.868421,0.708571,0.0416667
large_enum,59,288,0.0102041,0.869565,0.715278,0.0508475
has_additionalProperties,62,326,0.0224215,0.84466,0.717791,0.0322581
has_boolean_schema,58,316,0.0229358,0.836735,0.724684,0.0172414
has_pattern,36,214,0.0189873,0.821429,0.771028,0.0277778
has_maximum,19,89,0.015873,0.807692,0.752809,0.105263
has_items,90,437,0.0103448,0.802721,0.723112,0.0333333
deep_schema,74,346,0.00884956,0.791667,0.719653,0.0405405
has_required,85,413,0.00724638,0.788321,0.733656,0.0352941
has_properties,95,452,0.0202703,0.769231,0.721239,0.0315789
has_type,95,452,0.0202703,0.769231,0.721239,0.0315789
many_properties,95,452,0.0202703,0.769231,0.721239,0.0315789
many_required,82,400,0.00743494,0.778626,0.74,0.0365854
has_maxLength,20,118,0.0229885,0.741935,0.788136,0
has_maxItems,12,57,0.0487805,0.6875,0.77193,0.0833333
has_not,7,49,0.025641,0.7,0.836735,0
has_minLength,24,147,0.0188679,0.512195,0.843537,0
has_minItems,32,168,0.0168067,0.469388,0.85119,0.0625
has_multipleOf,4,26,0.210526,0.142857,0.807692,0
