feature,correct,timeout,under,over,correct_n,timeout_n,under_n,over_n
has_additionalProperties,0.375,0.666667,0.75,0.708333,16,3,4,72
has_allOf,0,0,0.25,0.138889,16,3,4,72
has_anyOf,0.0625,0.333333,0.25,0.430556,16,3,4,72
has_boolean_schema,0.375,0.333333,0.75,0.666667,16,3,4,72
has_default,0.25,0.666667,0,0.458333,16,3,4,72
has_defs,0.3125,0.333333,0.25,0.847222,16,3,4,72
has_enum,0.375,1,0.75,0.833333,16,3,4,72
has_exclusiveMaximum,0,0,0,0.0416667,16,3,4,72
has_items,0.8125,1,0.75,0.986111,16,3,4,72
has_maxItems,0.0625,0.333333,0.5,0.111111,16,3,4,72
has_maxLength,0.1875,0,0.5,0.208333,16,3,4,72
has_maxProperties,0,0,0,0.111111,16,3,4,72
has_maximum,0.125,0.666667,0.25,0.194444,16,3,4,72
has_minItems,0.75,0.666667,0.5,0.222222,16,3,4,72
has_minLength,0.5625,0,0.5,0.180556,16,3,4,72
has_minProperties,0,0,0,0.111111,16,3,4,72
has_minimum,0.125,0.666667,0.5,0.375,16,3,4,72
has_multipleOf,0.0625,0,0.5,0.0138889,16,3,4,72
has_not,0.0625,0,0.25,0.0694444,16,3,4,72
has_oneOf,0.0625,0.333333,0.5,0.305556,16,3,4,72
has_pattern,0.1875,0.333333,0.75,0.402778,16,3,4,72
has_patternProperties,0,0,0,0.0972222,16,3,4,72
has_properties,1,1,1,1,16,3,4,72
has_ref,0.25,0.333333,0.25,0.833333,16,3,4,72
has_required,0.875,1,0.5,0.916667,16,3,4,72
has_type,1,1,1,1,16,3,4,72
large_enum,0.3125,1,0.5,0.680556,16,3,4,72
many_required,0.875,1,0.5,0.875,16,3,4,72
many_properties,1,1,1,1,16,3,4,72
deep_schema,0.75,1,0.5,0.791667,16,3,4,72
