feature,schemas_with_feature,schemas_without_feature,over_with_feature,over_without_feature,over_denominator_with,over_denominator_without,over_rate_with,over_rate_without,lift,delta,support,global_over_rate,eligible_lift
has_ref,66,29,98,22,106,50,0.924528,0.44,2.1012,0.484528,0.694737,0.769231,true
has_defs,68,27,99,21,109,47,0.908257,0.446809,2.03277,0.461448,0.715789,0.769231,true
has_enum,72,23,99,21,114,42,0.868421,0.5,1.73684,0.368421,0.757895,0.769231,true
large_enum,59,36,80,40,92,64,0.869565,0.625,1.3913,0.244565,0.621053,0.769231,true
has_anyOf,34,61,50,70,53,103,0.943396,0.679612,1.38814,0.263785,0.357895,0.769231,true
has_additionalProperties,62,33,87,33,103,53,0.84466,0.622642,1.35658,0.222019,0.652632,0.769231,true
has_default,39,56,58,62,65,91,0.892308,0.681319,1.30968,0.210989,0.410526,0.769231,true
has_boolean_schema,58,37,82,38,98,58,0.836735,0.655172,1.27712,0.181562,0.610526,0.769231,true
has_oneOf,26,69,36,84,41,115,0.878049,0.730435,1.20209,0.147614,0.273684,0.769231,true
has_minimum,33,62,42,78,49,107,0.857143,0.728972,1.17582,0.128171,0.347368,0.769231,true
deep_schema,74,21,95,25,120,36,0.791667,0.694444,1.14,0.0972222,0.778947,0.769231,true
has_pattern,36,59,46,74,56,100,0.821429,0.74,1.11004,0.0814286,0.378947,0.769231,true
many_required,82,13,102,18,131,25,0.778626,0.72,1.08142,0.058626,0.863158,0.769231,true
has_maximum,19,76,21,99,26,130,0.807692,0.761538,1.06061,0.0461538,0.2,0.769231,true
has_maxLength,20,75,23,97,31,125,0.741935,0.776,0.956102,-0.0340645,0.210526,0.769231,true
has_minLength,24,71,21,99,41,115,0.512195,0.86087,0.594974,-0.348674,0.252632,0.769231,true
has_minItems,32,63,23,97,49,107,0.469388,0.906542,0.517778,-0.437154,0.336842,0.769231,true
has_properties,95,0,120,0,156,0,0.769231,0,inf,0.769231,1,0.769231,false
has_type,95,0,120,0,156,0,0.769231,0,inf,0.769231,1,0.769231,false
many_properties,95,0,120,0,156,0,0.769231,0,inf,0.769231,1,0.769231,false
has_items,90,5,118,2,147,9,0.802721,0.222222,3.61224,0.580499,0.947368,0.769231,false
has_maxProperties,8,87,14,106,14,142,1,0.746479,1.33962,0.253521,0.0842105,0.769231,false
has_minProperties,8,87,14,106,14,142,1,0.746479,1.33962,0.253521,0.0842105,0.769231,false
has_patternProperties,7,88,10,110,10,146,1,0.753425,1.32727,0.246575,0.0736842,0.769231,false
has_exclusiveMaximum,3,92,5,115,5,151,1,0.761589,1.31304,0.238411,0.0315789,0.769231,false
has_required,85,10,108,12,137,19,0.788321,0.631579,1.24818,0.156742,0.894737,0.769231,false
has_allOf,11,84,15,105,17,139,0.882353,0.755396,1.16807,0.126957,0.115789,0.769231,false
has_not,7,88,7,113,10,146,0.7,0.773973,0.904425,-0.0739726,0.0736842,0.769231,false
has_maxItems,12,83,11,109,16,140,0.6875,0.778571,0.883028,-0.0910714,0.126316,0.769231,false
has_multipleOf,4,91,1,119,7,149,0.142857,0.798658,0.178872,-0.655801,0.0421053,0.769231,false
