feature,feature_pair,feature_a,feature_b,n_schemas,support,risk_count,interest_score,timeout_lift,timeout_delta,under_lift,under_delta,over_lift,over_delta,correct,timeout,under,over,correct_n,timeout_n,under_n,over_n
[P] has_properties + has_type,has_properties__AND__has_type,has_properties,has_type,95,1,3,3.05008e+06,inf,0.0315789,inf,0.0202703,inf,0.769231,1,1,1,1,16,3,4,72
[P] has_minimum + has_properties,has_minimum__AND__has_properties,has_minimum,has_properties,33,0.347368,3,3.00377e+06,3.75758,0.044477,2.97479,0.022314,1.17582,0.128171,0.125,0.666667,0.5,0.375,16,3,4,72
[P] has_minimum + has_type,has_minimum__AND__has_type,has_minimum,has_type,33,0.347368,3,3.00377e+06,3.75758,0.044477,2.97479,0.022314,1.17582,0.128171,0.125,0.666667,0.5,0.375,16,3,4,72
[P] has_items + has_properties,has_items__AND__has_properties,has_items,has_properties,90,0.947368,2,2.05006e+06,inf,0.0333333,0.0206897,-0.489655,3.61224,0.580499,0.8125,1,0.75,0.986111,16,3,4,72
[P] has_items + has_type,has_items__AND__has_type,has_items,has_type,90,0.947368,2,2.05006e+06,inf,0.0333333,0.0206897,-0.489655,3.61224,0.580499,0.8125,1,0.75,0.986111,16,3,4,72
[P] has_enum + has_items,has_enum__AND__has_items,has_enum,has_items,70,0.736842,2,2.05004e+06,inf,0.0428571,0.259574,-0.0364144,1.9112,0.425225,0.25,1,0.75,0.833333,16,3,4,72
[P] has_enum + has_properties,has_enum__AND__has_properties,has_enum,has_properties,72,0.757895,2,2.05004e+06,inf,0.0416667,0.254237,-0.0372881,1.73684,0.368421,0.375,1,0.75,0.833333,16,3,4,72
[P] has_enum + has_type,has_enum__AND__has_type,has_enum,has_type,72,0.757895,2,2.05004e+06,inf,0.0416667,0.254237,-0.0372881,1.73684,0.368421,0.375,1,0.75,0.833333,16,3,4,72
[P] has_enum + has_required,has_enum__AND__has_required,has_enum,has_required,66,0.694737,2,2.05003e+06,inf,0.0454545,0.163677,-0.0458259,1.51992,0.298475,0.375,1,0.5,0.763889,16,3,4,72
[P] has_items + has_required,has_items__AND__has_required,has_items,has_required,82,0.863158,2,2.05002e+06,inf,0.0365854,0.0381818,-0.183203,1.37662,0.219697,0.75,1,0.5,0.902778,16,3,4,72
[P] has_properties + has_required,has_properties__AND__has_required,has_properties,has_required,85,0.894737,2,2.05002e+06,inf,0.0352941,0.0362319,-0.192754,1.24818,0.156742,0.875,1,0.5,0.916667,16,3,4,72
[P] has_required + has_type,has_required__AND__has_type,has_required,has_type,85,0.894737,2,2.05002e+06,inf,0.0352941,0.0362319,-0.192754,1.24818,0.156742,0.875,1,0.5,0.916667,16,3,4,72
[P] has_minItems + has_minimum,has_minItems__AND__has_minimum,has_minItems,has_minimum,18,0.189474,2,2.00857e+06,8.55556,0.0981241,0,-0.0262009,1.16667,0.125,0.125,0.666667,0,0.194444,16,3,4,72
[P] has_additionalProperties + has_maxItems,has_additionalProperties__AND__has_maxItems,has_additionalProperties,has_maxItems,8,0.0842105,2,2.00545e+06,5.4375,0.102011,4.125,0.0473485,0.69378,-0.240752,0.0625,0.333333,0.5,0.0555556,16,3,4,72
[P] has_boolean_schema + has_maxItems,has_boolean_schema__AND__has_maxItems,has_boolean_schema,has_maxItems,8,0.0842105,2,2.00545e+06,5.4375,0.102011,4.125,0.0473485,0.69378,-0.240752,0.0625,0.333333,0.5,0.0555556,16,3,4,72
[P] has_minimum + has_required,has_minimum__AND__has_required,has_minimum,has_required,28,0.294737,2,2.00481e+06,4.78571,0.0565032,0,-0.0314136,1.28571,0.205128,0.125,0.666667,0,0.333333,16,3,4,72
[P] has_enum + has_minimum,has_enum__AND__has_minimum,has_enum,has_minimum,29,0.305263,2,2.00457e+06,4.55172,0.053814,0.369231,-0.0164263,1.30688,0.218045,0.0625,0.666667,0.25,0.347222,16,3,4,72
[P] has_default + has_enum,has_default__AND__has_enum,has_default,has_enum,32,0.336842,2,2.00396e+06,3.9375,0.046627,0,-0.0295567,1.3036,0.211329,0.1875,0.666667,0,0.375,16,3,4,72
[P] has_items + has_minimum,has_items__AND__has_minimum,has_items,has_minimum,32,0.336842,2,2.00396e+06,3.9375,0.046627,0.310345,-0.0191571,1.24877,0.178021,0.125,0.666667,0.25,0.375,16,3,4,72
[P] has_enum + has_maxItems,has_enum__AND__has_maxItems,has_enum,has_maxItems,12,0.126316,2,2.00346e+06,3.45833,0.0592369,3.10976,0.0330942,0.883028,-0.0910714,0.0625,0.333333,0.5,0.111111,16,3,4,72
