feature_pair,feature_a,feature_b,schemas_with_pair,schemas_without_pair,support,over_with_pair,over_without_pair,over_denominator_with,over_denominator_without,over_rate_with,over_rate_without,lift,delta,eligible_lift
has_defs__AND__has_ref,has_defs,has_ref,66,29,0.694737,98,22,106,50,0.924528,0.44,2.1012,0.484528,true
has_properties__AND__has_ref,has_properties,has_ref,66,29,0.694737,98,22,106,50,0.924528,0.44,2.1012,0.484528,true
has_ref__AND__has_type,has_ref,has_type,66,29,0.694737,98,22,106,50,0.924528,0.44,2.1012,0.484528,true
has_defs__AND__has_items,has_defs,has_items,66,29,0.694737,97,23,105,51,0.92381,0.45098,2.04845,0.472829,true
has_defs__AND__has_properties,has_defs,has_properties,68,27,0.715789,99,21,109,47,0.908257,0.446809,2.03277,0.461448,true
has_defs__AND__has_type,has_defs,has_type,68,27,0.715789,99,21,109,47,0.908257,0.446809,2.03277,0.461448,true
has_items__AND__has_ref,has_items,has_ref,65,30,0.684211,96,24,104,52,0.923077,0.461538,2,0.461538,true
has_defs__AND__has_required,has_defs,has_required,63,32,0.663158,93,27,100,56,0.93,0.482143,1.92889,0.447857,true
has_enum__AND__has_items,has_enum,has_items,70,25,0.736842,99,21,111,45,0.891892,0.466667,1.9112,0.425225,true
has_ref__AND__has_required,has_ref,has_required,62,33,0.652632,92,28,99,57,0.929293,0.491228,1.89177,0.438065,true
has_defs__AND__has_enum,has_defs,has_enum,56,39,0.589474,84,36,89,67,0.94382,0.537313,1.75655,0.406507,true
has_enum__AND__has_ref,has_enum,has_ref,56,39,0.589474,84,36,89,67,0.94382,0.537313,1.75655,0.406507,true
has_enum__AND__has_properties,has_enum,has_properties,72,23,0.757895,99,21,114,42,0.868421,0.5,1.73684,0.368421,true
has_enum__AND__has_type,has_enum,has_type,72,23,0.757895,99,21,114,42,0.868421,0.5,1.73684,0.368421,true
has_additionalProperties__AND__has_ref,has_additionalProperties,has_ref,50,45,0.526316,78,42,83,73,0.939759,0.575342,1.63339,0.364417,true
