feature_pair,feature_a,feature_b,schemas_with_pair,schemas_without_pair,support,under_with_pair,under_without_pair,under_denominator_with,under_denominator_without,under_rate_with,under_rate_without,lift,delta,eligible_lift
has_maxItems__AND__has_maxLength,has_maxItems,has_maxLength,6,89,0.0631579,2,4,29,267,0.0689655,0.0149813,4.60345,0.0539842,true
has_maxItems__AND__has_minLength,has_maxItems,has_minLength,6,89,0.0631579,2,4,29,267,0.0689655,0.0149813,4.60345,0.0539842,true
has_additionalProperties__AND__has_maxItems,has_additionalProperties,has_maxItems,8,87,0.0842105,2,4,32,264,0.0625,0.0151515,4.125,0.0473485,true
has_boolean_schema__AND__has_maxItems,has_boolean_schema,has_maxItems,8,87,0.0842105,2,4,32,264,0.0625,0.0151515,4.125,0.0473485,true
has_maxItems__AND__has_pattern,has_maxItems,has_pattern,7,88,0.0736842,2,4,32,264,0.0625,0.0151515,4.125,0.0473485,true
has_enum__AND__has_maxItems,has_enum,has_maxItems,12,83,0.126316,2,4,41,255,0.0487805,0.0156863,3.10976,0.0330942,true
has_items__AND__has_maxItems,has_items,has_maxItems,12,83,0.126316,2,4,41,255,0.0487805,0.0156863,3.10976,0.0330942,true
has_maxItems__AND__has_minItems,has_maxItems,has_minItems,12,83,0.126316,2,4,41,255,0.0487805,0.0156863,3.10976,0.0330942,true
has_maxItems__AND__has_properties,has_maxItems,has_properties,12,83,0.126316,2,4,41,255,0.0487805,0.0156863,3.10976,0.0330942,true
has_maxItems__AND__has_required,has_maxItems,has_required,12,83,0.126316,2,4,41,255,0.0487805,0.0156863,3.10976,0.0330942,true
has_maxItems__AND__has_type,has_maxItems,has_type,12,83,0.126316,2,4,41,255,0.0487805,0.0156863,3.10976,0.0330942,true
has_minimum__AND__has_properties,has_minimum,has_properties,33,62,0.347368,4,2,119,177,0.0336134,0.0112994,2.97479,0.022314,true
has_minimum__AND__has_type,has_minimum,has_type,33,62,0.347368,4,2,119,177,0.0336134,0.0112994,2.97479,0.022314,true
has_boolean_schema__AND__has_minimum,has_boolean_schema,has_minimum,19,76,0.2,3,3,83,213,0.0361446,0.0140845,2.56627,0.0220601,true
has_additionalProperties__AND__has_minimum,has_additionalProperties,has_minimum,20,75,0.210526,3,3,84,212,0.0357143,0.0141509,2.52381,0.0215633,true
has_minLength__AND__has_oneOf,has_minLength,has_oneOf,5,90,0.0526316,1,5,22,274,0.0454545,0.0182482,2.49091,0.0272064,true
has_anyOf__AND__has_oneOf,has_anyOf,has_oneOf,5,90,0.0526316,1,5,25,271,0.04,0.0184502,2.168,0.0215498,true
has_maxLength__AND__has_minItems,has_maxLength,has_minItems,11,84,0.115789,2,4,56,240,0.0357143,0.0166667,2.14286,0.0190476,true
has_maximum__AND__has_oneOf,has_maximum,has_oneOf,10,85,0.105263,1,5,28,268,0.0357143,0.0186567,1.91429,0.0170576,true
has_minItems__AND__has_oneOf,has_minItems,has_oneOf,8,87,0.0842105,1,5,29,267,0.0344828,0.0187266,1.84138,0.0157562,true
has_additionalProperties__AND__has_boolean_schema,has_additionalProperties,has_boolean_schema,58,37,0.610526,5,1,218,78,0.0229358,0.0128205,1.78899,0.0101153,true
has_boolean_schema__AND__has_properties,has_boolean_schema,has_properties,58,37,0.610526,5,1,218,78,0.0229358,0.0128205,1.78899,0.0101153,true
has_boolean_schema__AND__has_type,has_boolean_schema,has_type,58,37,0.610526,5,1,218,78,0.0229358,0.0128205,1.78899,0.0101153,true
has_maxLength__AND__has_oneOf,has_maxLength,has_oneOf,8,87,0.0842105,1,5,32,264,0.03125,0.0189394,1.65,0.0123106,true
has_additionalProperties__AND__has_properties,has_additionalProperties,has_properties,62,33,0.652632,5,1,223,73,0.0224215,0.0136986,1.63677,0.00872289,true
has_additionalProperties__AND__has_type,has_additionalProperties,has_type,62,33,0.652632,5,1,223,73,0.0224215,0.0136986,1.63677,0.00872289,true
has_additionalProperties__AND__has_minItems,has_additionalProperties,has_minItems,15,80,0.157895,2,4,71,225,0.028169,0.0177778,1.58451,0.0103912,true
has_boolean_schema__AND__has_minItems,has_boolean_schema,has_minItems,15,80,0.157895,2,4,71,225,0.028169,0.0177778,1.58451,0.0103912,true
