feature,schemas_with_feature,schemas_without_feature,timeout_with_feature,timeout_without_feature,timeout_rate_with,timeout_rate_without,lift,support,global_timeout_rate
large_enum,59,36,3,0,0.0508475,0,inf,0.621053,0.0315789
has_enum,72,23,3,0,0.0416667,0,inf,0.757895,0.0315789
deep_schema,74,21,3,0,0.0405405,0,inf,0.778947,0.0315789
many_required,82,13,3,0,0.0365854,0,inf,0.863158,0.0315789
has_required,85,10,3,0,0.0352941,0,inf,0.894737,0.0315789
has_items,90,5,3,0,0.0333333,0,inf,0.947368,0.0315789
has_properties,95,0,3,0,0.0315789,0,inf,1,0.0315789
has_type,95,0,3,0,0.0315789,0,inf,1,0.0315789
many_properties,95,0,3,0,0.0315789,0,inf,1,0.0315789
has_maximum,19,76,2,1,0.105263,0.0131579,8,0.2,0.0315789
has_minItems,32,63,2,1,0.0625,0.015873,3.9375,0.336842,0.0315789
has_minimum,33,62,2,1,0.0606061,0.016129,3.75758,0.347368,0.0315789
has_maxItems,12,83,1,2,0.0833333,0.0240964,3.45833,0.126316,0.0315789
has_default,39,56,2,1,0.0512821,0.0178571,2.87179,0.410526,0.0315789
has_oneOf,26,69,1,2,0.0384615,0.0289855,1.32692,0.273684,0.0315789
has_additionalProperties,62,33,2,1,0.0322581,0.030303,1.06452,0.652632,0.0315789
has_anyOf,34,61,1,2,0.0294118,0.0327869,0.897059,0.357895,0.0315789
has_pattern,36,59,1,2,0.0277778,0.0338983,0.819444,0.378947,0.0315789
has_boolean_schema,58,37,1,2,0.0172414,0.0540541,0.318966,0.610526,0.0315789
has_ref,66,29,1,2,0.0151515,0.0689655,0.219697,0.694737,0.0315789
has_defs,68,27,1,2,0.0147059,0.0740741,0.198529,0.715789,0.0315789
has_allOf,11,84,0,3,0,0.0357143,0,0.115789,0.0315789
has_exclusiveMaximum,3,92,0,3,0,0.0326087,0,0.0315789,0.0315789
has_maxLength,20,75,0,3,0,0.04,0,0.210526,0.0315789
has_maxProperties,8,87,0,3,0,0.0344828,0,0.0842105,0.0315789
has_minLength,24,71,0,3,0,0.0422535,0,0.252632,0.0315789
has_minProperties,8,87,0,3,0,0.0344828,0,0.0842105,0.0315789
has_multipleOf,4,91,0,3,0,0.032967,0,0.0421053,0.0315789
has_not,7,88,0,3,0,0.0340909,0,0.0736842,0.0315789
has_patternProperties,7,88,0,3,0,0.0340909,0,0.0736842,0.0315789
