feature,schemas_with_feature,schemas_without_feature,under_with_feature,under_without_feature,under_denominator_with,under_denominator_without,under_rate_with,under_rate_without,lift,delta,support,global_under_rate,eligible_lift
has_maxItems,12,83,2,4,41,255,0.0487805,0.0156863,3.10976,0.0330942,0.126316,0.0202703,true
has_minimum,33,62,4,2,119,177,0.0336134,0.0112994,2.97479,0.022314,0.347368,0.0202703,true
has_boolean_schema,58,37,5,1,218,78,0.0229358,0.0128205,1.78899,0.0101153,0.610526,0.0202703,true
has_additionalProperties,62,33,5,1,223,73,0.0224215,0.0136986,1.63677,0.00872289,0.652632,0.0202703,true
has_not,7,88,1,5,39,257,0.025641,0.0194553,1.31795,0.00618577,0.0736842,0.0202703,true
has_maxLength,20,75,2,4,87,209,0.0229885,0.0191388,1.20115,0.00384975,0.210526,0.0202703,true
has_oneOf,26,69,2,4,89,207,0.0224719,0.0193237,1.16292,0.00314824,0.273684,0.0202703,true
has_allOf,11,84,1,5,53,243,0.0188679,0.0205761,0.916981,-0.00170821,0.115789,0.0202703,true
has_minLength,24,71,2,4,106,190,0.0188679,0.0210526,0.896226,-0.00218471,0.252632,0.0202703,true
has_pattern,36,59,3,3,158,138,0.0189873,0.0217391,0.873418,-0.00275179,0.378947,0.0202703,true
has_minItems,32,63,2,4,119,177,0.0168067,0.0225989,0.743697,-0.00579215,0.336842,0.0202703,true
has_maximum,19,76,1,5,63,233,0.015873,0.0214592,0.739683,-0.00558621,0.2,0.0202703,true
has_anyOf,34,61,1,5,129,167,0.00775194,0.0299401,0.258915,-0.0221882,0.357895,0.0202703,true
large_enum,59,36,2,4,196,100,0.0102041,0.04,0.255102,-0.0297959,0.621053,0.0202703,true
has_enum,72,23,3,3,236,60,0.0127119,0.05,0.254237,-0.0372881,0.757895,0.0202703,true
deep_schema,74,21,2,4,226,70,0.00884956,0.0571429,0.154867,-0.0482933,0.778947,0.0202703,true
has_ref,66,29,1,5,226,70,0.00442478,0.0714286,0.0619469,-0.0670038,0.694737,0.0202703,true
has_defs,68,27,1,5,229,67,0.00436681,0.0746269,0.0585153,-0.0702601,0.715789,0.0202703,true
many_required,82,13,2,4,269,27,0.00743494,0.148148,0.0501859,-0.140713,0.863158,0.0202703,true
has_required,85,10,2,4,276,20,0.00724638,0.2,0.0362319,-0.192754,0.894737,0.0202703,true
has_patternProperties,7,88,0,6,29,267,0,0.0224719,0,-0.0224719,0.0736842,0.0202703,true
has_maxProperties,8,87,0,6,37,259,0,0.023166,0,-0.023166,0.0842105,0.0202703,true
has_minProperties,8,87,0,6,37,259,0,0.023166,0,-0.023166,0.0842105,0.0202703,true
has_default,39,56,0,6,117,179,0,0.0335196,0,-0.0335196,0.410526,0.0202703,true
has_properties,95,0,6,0,296,0,0.0202703,0,inf,0.0202703,1,0.0202703,false
has_type,95,0,6,0,296,0,0.0202703,0,inf,0.0202703,1,0.0202703,false
many_properties,95,0,6,0,296,0,0.0202703,0,inf,0.0202703,1,0.0202703,false
has_multipleOf,4,91,4,2,19,277,0.210526,0.00722022,29.1579,0.203306,0.0421053,0.0202703,false
has_items,90,5,3,3,290,6,0.0103448,0.5,0.0206897,-0.489655,0.947368,0.0202703,false
has_exclusiveMaximum,3,92,0,6,14,282,0,0.0212766,0,-0.0212766,0.0315789,0.0202703,false
