schema_id,test_id,tokens_checked,num_tokens,rejection_ratio,first_rejected_token_index
Github_ultra---o15627.json,Github_ultra---o15627.json::test_00000,819,2989,0.274005,818
Github_ultra---o15627.json,Github_ultra---o15627.json::test_00001,766,2890,0.265052,765
Github_ultra---o358.json,Github_ultra---o358.json::test_00000,25,86,0.290698,24
Github_ultra---o358.json,Github_ultra---o358.json::test_00001,25,84,0.297619,24
Github_ultra---o359.json,Github_ultra---o359.json::test_00000,32,383,0.0835509,31
Github_ultra---o360.json,Github_ultra---o360.json::test_00000,65,167,0.389222,64
Github_ultra---o360.json,Github_ultra---o360.json::test_00001,252,408,0.617647,251
Github_ultra---o40388.json,Github_ultra---o40388.json::test_00000,1080,1097,0.984503,1079
Github_ultra---o44225.json,Github_ultra---o44225.json::test_00000,65,739,0.0879567,64
Github_ultra---o44225.json,Github_ultra---o44225.json::test_00001,65,2048,0.0317383,64
Github_ultra---o58926.json,Github_ultra---o58926.json::test_00000,31,2195,0.014123,30
Github_ultra---o60252.json,Github_ultra---o60252.json::test_00000,16,156,0.102564,15
Github_ultra---o61647.json,Github_ultra---o61647.json::test_00000,6,757,0.00792602,5
Github_ultra---o61647.json,Github_ultra---o61647.json::test_00005,186,760,0.244737,185
Github_ultra---o68588.json,Github_ultra---o68588.json::test_00000,2,1733,0.00115407,1
Github_ultra---o68588.json,Github_ultra---o68588.json::test_00001,2,1758,0.00113766,1
Github_ultra---o79009.json,Github_ultra---o79009.json::test_00000,2,563,0.0035524,1
Github_ultra---o79009.json,Github_ultra---o79009.json::test_00001,2,505,0.0039604,1
Github_ultra---o83390.json,Github_ultra---o83390.json::test_00000,59,887,0.0665163,58
Github_ultra---o83390.json,Github_ultra---o83390.json::test_00001,59,883,0.0668177,58
