schema_status,phase,n,mean_s,std_s,median_s,p95_s,min_s,max_s
completed,compile_grammar_s,92,91.3458,139.941,2.19152,381.816,0.03022,537.787
completed,validation_loop_mean_s,32,0.570812,0.585379,0.241731,1.51595,1.775e-05,1.80414
completed,compute_mask_mean_s,32,0.26086,0.268546,0.110041,0.697135,5.75e-06,0.827255
completed,commit_token_mean_s,32,0.308766,0.316206,0.130379,0.816485,2.5e-06,0.974877
completed,timeout_elapsed_s,0,,,,,,
timeout,compile_grammar_s,0,,,,,,
timeout,validation_loop_mean_s,0,,,,,,
timeout,compute_mask_mean_s,0,,,,,,
timeout,commit_token_mean_s,0,,,,,,
timeout,timeout_elapsed_s,3,600.532,0.487154,600.415,601.002,600.114,601.067
