characteristic,bucket,n_schemas,value_min,value_max,schemas_with_under_rate,schemas_with_over_rate,under_test_rate,over_test_rate,timeout_schema_rate
schema_json_chars,q1_low,24,4458,18582,0.0416667,0.583333,0.0508475,0.575,0.0416667
schema_json_chars,q2_mid_low,24,18736,24249,0.0416667,0.75,0.0105263,0.769231,0
schema_json_chars,q3_mid_high,23,24465,49468,0.0869565,0.73913,0.0277778,0.72973,0.0434783
schema_json_chars,q4_high,24,50080,80756,0,0.958333,0,1,0.0416667
schema_file_bytes,q1_low,24,14277,54836,0.0416667,0.708333,0.0461538,0.722222,0.0416667
schema_file_bytes,q2_mid_low,24,55350,82690,0.0416667,0.75,0.0120482,0.731707,0
schema_file_bytes,q3_mid_high,23,83729,105184,0.0434783,0.695652,0.012987,0.666667,0
schema_file_bytes,q4_high,24,105919,150803,0.0416667,0.875,0.0140845,0.95,0.0833333
nb_keywords,q1_low,24,148,433,0.0833333,0.625,0.0677966,0.657895,0.0416667
nb_keywords,q2_mid_low,24,439,537,0,0.666667,0,0.634146,0
nb_keywords,q3_mid_high,23,551,917,0,0.913043,0,0.897436,0
nb_keywords,q4_high,24,929,1542,0.0833333,0.833333,0.0344828,0.894737,0.0833333
nb_properties,q1_low,24,71,147,0.0416667,0.791667,0.0428571,0.775,0
nb_properties,q2_mid_low,24,148,180,0.0416667,0.791667,0.0116279,0.85,0.0416667
nb_properties,q3_mid_high,24,181,214,0.0833333,0.791667,0.0229885,0.769231,0
nb_properties,q4_high,23,215,403,0,0.652174,0,0.675676,0.0869565
nb_required,q1_low,24,0,11,0.0833333,0.708333,0.0615385,0.738095,0.0416667
nb_required,q2_mid_low,24,12,15,0,1,0,1,0
nb_required,q3_mid_high,23,16,56,0,0.869565,0,0.918919,0.0434783
nb_required,q4_high,24,57,317,0.0833333,0.458333,0.0289855,0.435897,0.0416667
schema_depth,q1_low,61,2,8,0.0327869,0.770492,0.0190476,0.773585,0.0163934
schema_depth,q2_mid_low,0,,,0,0,0,0,0
schema_depth,q3_mid_high,16,9,9,0,0.9375,0,0.96,0
schema_depth,q4_high,18,10,18,0.111111,0.555556,0.0444444,0.56,0.111111
nb_branches_combinators,q1_low,39,0,0,0.0512821,0.538462,0.04,0.544118,0.025641
nb_branches_combinators,q2_mid_low,15,2,12,0,1,0,1,0
nb_branches_combinators,q3_mid_high,22,14,19,0,1,0,1,0
nb_branches_combinators,q4_high,19,20,546,0.105263,0.736842,0.0333333,0.791667,0.105263
nb_enum_values,q1_low,25,0,3,0.04,0.56,0.0454545,0.533333,0
nb_enum_values,q2_mid_low,30,5,19,0.0333333,0.9,0.00917431,0.903846,0
nb_enum_values,q3_mid_high,16,20,56,0.0625,0.8125,0.0185185,0.821429,0
nb_enum_values,q4_high,24,69,595,0.0416667,0.75,0.0149254,0.83871,0.125
nb_regex,q1_low,56,0,0,0.0178571,0.714286,0.0234375,0.726316,0.0357143
nb_regex,q2_mid_low,0,,,0,0,0,0,0
nb_regex,q3_mid_high,16,1,2,0,0.9375,0,0.961538,0
nb_regex,q4_high,23,3,41,0.130435,0.73913,0.0319149,0.742857,0.0434783
n_tests,q1_low,41,1,4,0,0.756098,0,0.79661,0.0731707
n_tests,q2_mid_low,26,5,5,0.115385,0.653846,0.060241,0.659574,0
n_tests,q3_mid_high,12,6,6,0,0.833333,0,0.809524,0
n_tests,q4_high,16,7,12,0.0625,0.875,0.01,0.862069,0
mean_num_tokens,q1_low,8,79.4,602,0.125,0.625,0.04,0.666667,0
mean_num_tokens,q2_mid_low,8,615,1060.75,0,0.375,0,0.333333,0
mean_num_tokens,q3_mid_high,8,1082.4,1618,0.25,0.25,0.190476,0.214286,0
mean_num_tokens,q4_high,8,1661.33,2920.33,0.125,0.25,0.047619,0.266667,0
