schema_id,dataset_id,schema_path,test_id,test_index,expected_validity,framework_id,framework,actual_result,accepted,result_available,schema_file_bytes,schema_json_chars,instance_json_chars,engine_tokenizer_load_us,engine_init_us,schema_load_us,compile_grammar_us,test_json_dumps_us,tokenize_us,reset_matcher_us,validation_loop_us,compute_mask_us,commit_token_us,max_compute_mask_us,max_commit_token_us,num_tokens,tokens_checked,first_rejected_token_index,error_message,outlines_core_version,schema_serialize_us,regex_build_us,regex_built,regex_chars,regex_bytes,regex_hash,regex_expansion_ratio,regex_num_alternations_proxy,regex_num_groups_proxy,regex_num_repetitions_proxy,regex_max_group_depth_proxy,index_build_us,index_built,guide_init_us,guide_built,total_compile_us,final_status,last_stage,exception_type,exception_message
Github_ultra---o12343.json,Github_ultra,maskbench/data/Github_ultra---o12343.json,Github_ultra---o12343.json::test_00000,0,valid,outlines,Outlines,passed,True,True,55420,19091,4279,1887578,698028,1156,71962723,77,6926,4,4277903,1948197,2325160,3707,7205,1424,1424,,,0.2.14,384,1843,True,208590,208590,ef5386026f1a92f82817bcf000e7934913854ef18e13367c7906c2d4efaa1bc9,10.926090828,25943,3470,7017,12,71891747,True,5,True,71962723,completed,completed,,
Github_ultra---o12343.json,Github_ultra,maskbench/data/Github_ultra---o12343.json,Github_ultra---o12343.json::test_00001,1,valid,outlines,Outlines,passed,True,True,55420,19091,2979,1887578,698028,1156,71962723,51,1770,3,2301446,1064796,1233923,3409,4548,925,925,,,0.2.14,384,1843,True,208590,208590,ef5386026f1a92f82817bcf000e7934913854ef18e13367c7906c2d4efaa1bc9,10.926090828,25943,3470,7017,12,71891747,True,5,True,71962723,completed,completed,,
Github_ultra---o12343.json,Github_ultra,maskbench/data/Github_ultra---o12343.json,Github_ultra---o12343.json::test_00002,2,invalid,outlines,Outlines,passed,False,True,55420,19091,2630,1887578,698028,1156,71962723,48,1583,2,527957,246154,281193,3382,4528,825,216,215,,0.2.14,384,1843,True,208590,208590,ef5386026f1a92f82817bcf000e7934913854ef18e13367c7906c2d4efaa1bc9,10.926090828,25943,3470,7017,12,71891747,True,5,True,71962723,completed,completed,,
Github_ultra---o12343.json,Github_ultra,maskbench/data/Github_ultra---o12343.json,Github_ultra---o12343.json::test_00003,3,invalid,outlines,Outlines,passed,False,True,55420,19091,3175,1887578,698028,1156,71962723,52,1816,2,109239,49874,59232,3408,4589,891,37,36,,0.2.14,384,1843,True,208590,208590,ef5386026f1a92f82817bcf000e7934913854ef18e13367c7906c2d4efaa1bc9,10.926090828,25943,3470,7017,12,71891747,True,5,True,71962723,completed,completed,,
Github_ultra---o12344.json,Github_ultra,maskbench/data/Github_ultra---o12344.json,Github_ultra---o12344.json::test_00000,0,valid,outlines,Outlines,compile_error,,True,150803,44054,,1219458,671360,1612,381638696,,,,,,,,,,,,ValueError('Failed to build DFA number of DFA states exceeds limit of 2147483647'),0.2.14,937,8406,True,1162417,1162417,6d61f320b5be6ab659df8cddd6255dc5ccb91eae823104e4453da2fc9b1d82ee,26.386185136,49546,73731,94199,25,,False,,False,381615640,compile_error,building_index,ValueError,Failed to build DFA number of DFA states exceeds limit of 2147483647
Github_ultra---o12344.json,Github_ultra,maskbench/data/Github_ultra---o12344.json,Github_ultra---o12344.json::test_00001,1,valid,outlines,Outlines,compile_error,,True,150803,44054,,1219458,671360,1612,381638696,,,,,,,,,,,,ValueError('Failed to build DFA number of DFA states exceeds limit of 2147483647'),0.2.14,937,8406,True,1162417,1162417,6d61f320b5be6ab659df8cddd6255dc5ccb91eae823104e4453da2fc9b1d82ee,26.386185136,49546,73731,94199,25,,False,,False,381615640,compile_error,building_index,ValueError,Failed to build DFA number of DFA states exceeds limit of 2147483647
Github_ultra---o12344.json,Github_ultra,maskbench/data/Github_ultra---o12344.json,Github_ultra---o12344.json::test_00002,2,invalid,outlines,Outlines,compile_error,,True,150803,44054,,1219458,671360,1612,381638696,,,,,,,,,,,,ValueError('Failed to build DFA number of DFA states exceeds limit of 2147483647'),0.2.14,937,8406,True,1162417,1162417,6d61f320b5be6ab659df8cddd6255dc5ccb91eae823104e4453da2fc9b1d82ee,26.386185136,49546,73731,94199,25,,False,,False,381615640,compile_error,building_index,ValueError,Failed to build DFA number of DFA states exceeds limit of 2147483647
Github_ultra---o12344.json,Github_ultra,maskbench/data/Github_ultra---o12344.json,Github_ultra---o12344.json::test_00003,3,invalid,outlines,Outlines,compile_error,,True,150803,44054,,1219458,671360,1612,381638696,,,,,,,,,,,,ValueError('Failed to build DFA number of DFA states exceeds limit of 2147483647'),0.2.14,937,8406,True,1162417,1162417,6d61f320b5be6ab659df8cddd6255dc5ccb91eae823104e4453da2fc9b1d82ee,26.386185136,49546,73731,94199,25,,False,,False,381615640,compile_error,building_index,ValueError,Failed to build DFA number of DFA states exceeds limit of 2147483647
Github_ultra---o12344.json,Github_ultra,maskbench/data/Github_ultra---o12344.json,Github_ultra---o12344.json::test_00004,4,invalid,outlines,Outlines,compile_error,,True,150803,44054,,1219458,671360,1612,381638696,,,,,,,,,,,,ValueError('Failed to build DFA number of DFA states exceeds limit of 2147483647'),0.2.14,937,8406,True,1162417,1162417,6d61f320b5be6ab659df8cddd6255dc5ccb91eae823104e4453da2fc9b1d82ee,26.386185136,49546,73731,94199,25,,False,,False,381615640,compile_error,building_index,ValueError,Failed to build DFA number of DFA states exceeds limit of 2147483647
Github_ultra---o12344.json,Github_ultra,maskbench/data/Github_ultra---o12344.json,Github_ultra---o12344.json::test_00005,5,invalid,outlines,Outlines,compile_error,,True,150803,44054,,1219458,671360,1612,381638696,,,,,,,,,,,,ValueError('Failed to build DFA number of DFA states exceeds limit of 2147483647'),0.2.14,937,8406,True,1162417,1162417,6d61f320b5be6ab659df8cddd6255dc5ccb91eae823104e4453da2fc9b1d82ee,26.386185136,49546,73731,94199,25,,False,,False,381615640,compile_error,building_index,ValueError,Failed to build DFA number of DFA states exceeds limit of 2147483647
