feature,n_schemas,n_completed_tests,under_rate,over_rate,correct_rate,timeout_rate
has_patternProperties,44,166,0.132653,0.838235,0.578313,0.0454545
has_allOf,22,112,0.708861,0.151515,0.455357,0
has_minProperties,21,86,0.296296,0.40625,0.662791,0
has_maxItems,36,182,0.363636,0.26,0.664835,0.0277778
has_not,5,26,0.222222,0.375,0.730769,0
has_multipleOf,10,43,0.571429,0,0.627907,0
has_minItems,114,541,0.384,0.168675,0.68207,0
has_if_then_else,1,3,0.5,0,0.666667,0
deep_schema,51,246,0.242424,0.246914,0.756098,0.0196078
has_oneOf,75,284,0.276243,0.203883,0.75,0.08
has_maximum,79,402,0.309278,0.117117,0.743781,0.0253165
large_enum,74,288,0.118919,0.262136,0.829861,0.027027
has_anyOf,69,363,0.203125,0.168224,0.807163,0
has_minimum,195,977,0.253256,0.0874126,0.795292,0.0153846
has_pattern,214,1137,0.158088,0.17757,0.836412,0.0186916
many_properties,45,230,0.0933333,0.2375,0.856522,0
has_ref,188,799,0.126679,0.140288,0.868586,0
has_defs,210,883,0.113043,0.146104,0.875425,0
has_default,184,693,0.16129,0.0926641,0.864358,0
has_maxLength,154,653,0.15812,0.0918919,0.860643,0.155844
many_required,228,1046,0.118156,0.122159,0.880497,0
has_type,1787,7124,0.134335,0.105851,0.876053,0.0134303
has_required,1282,5220,0.136962,0.102345,0.875479,0.0101404
has_properties,1773,7065,0.135472,0.101669,0.876858,0.0135364
has_items,575,2434,0.135604,0.101343,0.875924,0.00869565
has_exclusiveMinimum,2,17,0.230769,0,0.823529,0
has_enum,419,1633,0.11079,0.117647,0.886712,0.0286396
has_additionalProperties,810,3362,0.147779,0.0778547,0.876264,0.0259259
has_boolean_schema,788,3215,0.143198,0.0821429,0.878072,0.0266497
has_minLength,196,804,0.129663,0.0829876,0.884328,0.112245
has_const,10,41,0.0769231,0.0666667,0.926829,0
has_maxProperties,2,8,0,0,1,0
