feature,correct,timeout,under,over,correct_n,timeout_n,under_n,over_n
has_additionalProperties,0.445034,0.875,0.550186,0.302703,1319,24,269,185
has_allOf,0.00227445,0,0.0594796,0.0162162,1319,24,269,185
has_anyOf,0.0310842,0,0.070632,0.0540541,1319,24,269,185
has_boolean_schema,0.435178,0.875,0.513011,0.308108,1319,24,269,185
has_const,0.00530705,0,0.00743494,0.00540541,1319,24,269,185
has_default,0.107657,0,0.100372,0.0810811,1319,24,269,185
has_defs,0.115997,0,0.104089,0.162162,1319,24,269,185
has_enum,0.230478,0.5,0.193309,0.286486,1319,24,269,185
has_exclusiveMinimum,0,0,0.00743494,0,1319,24,269,185
has_if_then_else,0,0,0.00371747,0,1319,24,269,185
has_items,0.31539,0.208333,0.375465,0.291892,1319,24,269,185
has_maxItems,0.0060652,0.0416667,0.070632,0.0432432,1319,24,269,185
has_maxLength,0.0636846,1,0.133829,0.0540541,1319,24,269,185
has_maxProperties,0.0015163,0,0,0,1319,24,269,185
has_maximum,0.0295679,0.0833333,0.115242,0.0378378,1319,24,269,185
has_minItems,0.0227445,0,0.256506,0.0918919,1319,24,269,185
has_minLength,0.0993177,0.916667,0.118959,0.0648649,1319,24,269,185
has_minProperties,0.00379075,0,0.0297398,0.0432432,1319,24,269,185
has_minimum,0.0818802,0.125,0.260223,0.0864865,1319,24,269,185
has_multipleOf,0,0,0.0371747,0,1319,24,269,185
has_not,0.0015163,0,0.00371747,0.0108108,1319,24,269,185
has_oneOf,0.0272934,0.25,0.0743494,0.0702703,1319,24,269,185
has_pattern,0.0985595,0.166667,0.167286,0.194595,1319,24,269,185
has_patternProperties,0.00075815,0.0833333,0.0223048,0.189189,1319,24,269,185
has_properties,0.995451,1,1,0.945946,1319,24,269,185
has_ref,0.10235,0,0.104089,0.140541,1319,24,269,185
has_required,0.721001,0.541667,0.739777,0.664865,1319,24,269,185
has_type,1,1,1,0.989189,1319,24,269,185
large_enum,0.030326,0.0833333,0.0408922,0.124324,1319,24,269,185
many_required,0.128886,0,0.122677,0.140541,1319,24,269,185
many_properties,0.0212282,0,0.0185874,0.0648649,1319,24,269,185
deep_schema,0.0197119,0.0416667,0.0446097,0.0648649,1319,24,269,185
