feature,schemas_with_feature,schemas_without_feature,over_with_feature,over_without_feature,over_denominator_with,over_denominator_without,over_rate_with,over_rate_without,lift,delta,support,global_over_rate,eligible_lift
has_patternProperties,44,1745,57,221,68,2533,0.838235,0.0872483,9.60747,0.750987,0.0245947,0.106882,true
has_minProperties,21,1768,13,265,32,2569,0.40625,0.103153,3.93833,0.303097,0.0117384,0.106882,true
large_enum,74,1715,27,251,103,2498,0.262136,0.10048,2.60883,0.161656,0.0413639,0.106882,true
has_maxItems,36,1753,13,265,50,2551,0.26,0.103881,2.50287,0.156119,0.020123,0.106882,true
deep_schema,51,1738,20,258,81,2520,0.246914,0.102381,2.41171,0.144533,0.0285075,0.106882,true
many_properties,45,1744,19,259,80,2521,0.2375,0.102737,2.31173,0.134763,0.0251537,0.106882,true
has_oneOf,75,1714,21,257,103,2498,0.203883,0.102882,1.98172,0.101001,0.0419229,0.106882,true
has_pattern,214,1575,57,221,321,2280,0.17757,0.0969298,1.83194,0.0806403,0.11962,0.106882,true
has_minItems,114,1675,28,250,166,2435,0.168675,0.102669,1.64289,0.0660053,0.0637228,0.106882,true
has_anyOf,69,1720,18,260,107,2494,0.168224,0.10425,1.61366,0.0639741,0.038569,0.106882,true
has_defs,210,1579,45,233,308,2293,0.146104,0.101614,1.43784,0.0444903,0.117384,0.106882,true
has_allOf,22,1767,5,273,33,2568,0.151515,0.106308,1.42524,0.0452067,0.0122974,0.106882,true
has_ref,188,1601,39,239,278,2323,0.140288,0.102884,1.36355,0.0374036,0.105087,0.106882,true
many_required,228,1561,43,235,352,2249,0.122159,0.104491,1.16909,0.0176682,0.127446,0.106882,true
has_enum,419,1370,70,208,595,2006,0.117647,0.103689,1.13462,0.0139581,0.234209,0.106882,true
has_maximum,79,1710,13,265,111,2490,0.117117,0.106426,1.10046,0.0106914,0.0441587,0.106882,true
has_items,575,1214,83,195,819,1782,0.101343,0.109428,0.92612,-0.00808451,0.321409,0.106882,true
has_required,1282,507,192,86,1876,725,0.102345,0.118621,0.862796,-0.0162753,0.716601,0.106882,true
has_default,184,1605,24,254,259,2342,0.0926641,0.108454,0.854407,-0.0157902,0.102851,0.106882,true
has_maxLength,154,1635,17,261,185,2416,0.0918919,0.10803,0.850616,-0.0161379,0.0860816,0.106882,true
has_minimum,195,1594,25,253,286,2315,0.0874126,0.109287,0.799842,-0.0218747,0.108999,0.106882,true
has_minLength,196,1593,20,258,241,2360,0.0829876,0.109322,0.759111,-0.0263345,0.109558,0.106882,true
has_boolean_schema,788,1001,92,186,1120,1481,0.0821429,0.125591,0.654051,-0.043448,0.44047,0.106882,true
has_additionalProperties,810,979,90,188,1156,1445,0.0778547,0.130104,0.598404,-0.0522491,0.452767,0.106882,true
has_properties,1773,16,262,16,2577,24,0.101669,0.666667,0.152503,-0.564998,0.991056,0.106882,true
has_not,5,1784,3,275,8,2593,0.375,0.106055,3.53591,0.268945,0.00279486,0.106882,false
has_const,10,1779,1,277,15,2586,0.0666667,0.107115,0.622383,-0.0404486,0.00558971,0.106882,false
has_type,1787,2,275,3,2598,3,0.105851,1,0.105851,-0.894149,0.998882,0.106882,false
has_if_then_else,1,1788,0,278,1,2600,0,0.106923,0,-0.106923,0.000558971,0.106882,false
has_maxProperties,2,1787,0,278,2,2599,0,0.106964,0,-0.106964,0.00111794,0.106882,false
has_exclusiveMinimum,2,1787,0,278,4,2597,0,0.107047,0,-0.107047,0.00111794,0.106882,false
has_multipleOf,10,1779,0,278,15,2586,0,0.107502,0,-0.107502,0.00558971,0.106882,false
