feature,feature_pair,feature_a,feature_b,n_schemas,support,risk_count,interest_score,timeout_lift,timeout_delta,under_lift,under_delta,over_lift,over_delta,correct,timeout,under,over,correct_n,timeout_n,under_n,over_n
[P] has_enum + has_maxLength,has_enum__AND__has_maxLength,has_enum,has_maxLength,48,0.0268306,3,3.0363e+06,36.2708,0.243107,1.46296,0.0613286,1.64005,0.0675453,0.0144049,0.5,0.0446097,0.027027,1319,24,269,185
[P] has_items + has_maxLength,has_items__AND__has_maxLength,has_items,has_maxLength,30,0.0167691,3,3.01545e+06,15.4298,0.155865,1.18903,0.0252588,1.57169,0.0606238,0.0106141,0.208333,0.0297398,0.0162162,1319,24,269,185
[P] has_boolean_schema + has_oneOf,has_boolean_schema__AND__has_oneOf,has_boolean_schema,has_oneOf,44,0.0245947,3,3.01324e+06,13.2197,0.126048,1.71508,0.0942636,3.08988,0.213588,0.0121304,0.25,0.0408922,0.0594595,1319,24,269,185
[P] has_additionalProperties + has_oneOf,has_additionalProperties__AND__has_oneOf,has_additionalProperties,has_oneOf,46,0.0257127,3,3.01265e+06,12.6304,0.120108,1.87532,0.114776,2.88272,0.19272,0.0128886,0.25,0.0446097,0.0594595,1319,24,269,185
[P] has_maxLength + has_pattern,has_maxLength__AND__has_pattern,has_maxLength,has_pattern,39,0.0217999,3,3.00898e+06,8.97436,0.0911355,1.35358,0.0468854,1.67286,0.0709804,0.0128886,0.166667,0.0483271,0.027027,1319,24,269,185
[P] has_additionalProperties + has_patternProperties,has_additionalProperties__AND__has_patternProperties,has_additionalProperties,has_patternProperties,32,0.0178871,3,3.00883e+06,4.99148,0.0499787,1.17997,0.0240824,8.75322,0.723066,0.00075815,0.0833333,0.0185874,0.12973,1319,24,269,185
[P] has_boolean_schema + has_patternProperties,has_boolean_schema__AND__has_patternProperties,has_boolean_schema,has_patternProperties,32,0.0178871,3,3.00883e+06,4.99148,0.0499787,1.17997,0.0240824,8.75322,0.723066,0.00075815,0.0833333,0.0185874,0.12973,1319,24,269,185
[P] has_items + has_minLength,has_items__AND__has_minLength,has_items,has_minLength,53,0.0296255,3,3.00863e+06,8.61966,0.0833949,1.39559,0.0521785,1.28506,0.0302492,0.0235027,0.208333,0.0446097,0.027027,1319,24,269,185
[P] has_minLength + has_pattern,has_minLength__AND__has_pattern,has_minLength,has_pattern,43,0.0240358,3,3.00813e+06,8.12093,0.0815685,1.16339,0.0217932,1.52051,0.0550168,0.0174375,0.166667,0.0408922,0.027027,1319,24,269,185
[P] has_items + has_oneOf,has_items__AND__has_oneOf,has_items,has_oneOf,32,0.0178871,3,3.00786e+06,7.84375,0.0817978,2.13267,0.148968,2.45145,0.151169,0.0106141,0.125,0.0297398,0.0378378,1319,24,269,185
[P] has_oneOf + has_properties,has_oneOf__AND__has_properties,has_oneOf,has_properties,73,0.0408049,3,3.00785e+06,7.83562,0.0717023,2.2299,0.157586,1.93876,0.0968413,0.0265353,0.25,0.0743494,0.0648649,1319,24,269,185
[P] has_enum + has_maximum,has_enum__AND__has_maximum,has_enum,has_maximum,21,0.0117384,3,3.00767e+06,7.65368,0.0827947,2.29216,0.169891,1.89044,0.0942046,0.0075815,0.0833333,0.0223048,0.0162162,1319,24,269,185
[P] has_oneOf + has_type,has_oneOf__AND__has_type,has_oneOf,has_type,75,0.0419229,3,3.00763e+06,7.61778,0.0694982,2.15301,0.147938,1.98172,0.101001,0.0272934,0.25,0.0743494,0.0702703,1319,24,269,185
[P] has_enum + has_oneOf,has_enum__AND__has_oneOf,has_enum,has_oneOf,33,0.0184461,3,3.00762e+06,7.60173,0.0789501,1.72833,0.0964668,2.34007,0.139984,0.0113723,0.125,0.0297398,0.0378378,1319,24,269,185
[P] has_pattern + has_patternProperties,has_pattern__AND__has_patternProperties,has_pattern,has_patternProperties,14,0.0078256,3,3.00707e+06,5.51242,0.0584708,1.92565,0.123255,7.00706,0.612348,0,0.0416667,0.0148699,0.0486486,1319,24,269,185
[P] has_oneOf + has_required,has_oneOf__AND__has_required,has_oneOf,has_required,58,0.0324203,3,3.00428e+06,4.26355,0.0395924,2.45775,0.186302,2.10028,0.113611,0.0189538,0.125,0.070632,0.0594595,1319,24,269,185
[P] has_maxItems + has_required,has_maxItems__AND__has_required,has_maxItems,has_required,27,0.0150922,3,3.00407e+06,2.83736,0.0239837,4.03134,0.384715,2.96356,0.203867,0.0015163,0.0416667,0.063197,0.0378378,1319,24,269,185
[P] has_additionalProperties + has_maximum,has_additionalProperties__AND__has_maximum,has_additionalProperties,has_maximum,40,0.0223589,3,3.00399e+06,3.975,0.0374214,2.29264,0.167059,1.42446,0.0449779,0.0144049,0.0833333,0.0557621,0.0216216,1319,24,269,185
[P] has_boolean_schema + has_maximum,has_boolean_schema__AND__has_maximum,has_boolean_schema,has_maximum,41,0.0229178,3,3.00389e+06,3.87583,0.0361947,2.29264,0.167059,1.57807,0.0610522,0.0144049,0.0833333,0.0557621,0.027027,1319,24,269,185
[P] has_boolean_schema + has_maxItems,has_boolean_schema__AND__has_maxItems,has_boolean_schema,has_maxItems,20,0.0111794,3,3.00387e+06,3.84565,0.0369983,2.58094,0.207057,1.56752,0.0603415,0.0045489,0.0416667,0.0371747,0.0162162,1319,24,269,185
