feature_pair,feature_a,feature_b,schemas_with_pair,schemas_without_pair,support,under_with_pair,under_without_pair,under_denominator_with,under_denominator_without,under_rate_with,under_rate_without,lift,delta,eligible_lift
has_properties__AND__has_type,has_properties,has_type,1771,18,0.989939,608,0,4484,46,0.135593,0,inf,0.135593,true
has_allOf__AND__has_required,has_allOf,has_required,18,1771,0.0100615,53,555,68,4462,0.779412,0.124384,6.26619,0.655028,true
has_additionalProperties__AND__has_allOf,has_additionalProperties,has_allOf,11,1778,0.00614869,33,575,44,4486,0.75,0.128177,5.8513,0.621823,true
has_allOf__AND__has_items,has_allOf,has_items,9,1780,0.00503074,25,583,33,4497,0.757576,0.129642,5.8436,0.627934,true
has_allOf__AND__has_enum,has_allOf,has_enum,6,1783,0.00335383,16,592,21,4509,0.761905,0.131293,5.80309,0.630612,true
has_allOf__AND__has_properties,has_allOf,has_properties,22,1767,0.0122974,56,552,79,4451,0.708861,0.124017,5.71583,0.584844,true
has_allOf__AND__has_type,has_allOf,has_type,22,1767,0.0122974,56,552,79,4451,0.708861,0.124017,5.71583,0.584844,true
has_allOf__AND__has_defs,has_allOf,has_defs,18,1771,0.0100615,40,568,59,4471,0.677966,0.127041,5.3366,0.550925,true
has_allOf__AND__has_ref,has_allOf,has_ref,18,1771,0.0100615,40,568,59,4471,0.677966,0.127041,5.3366,0.550925,true
has_allOf__AND__has_boolean_schema,has_allOf,has_boolean_schema,9,1780,0.00503074,24,584,35,4495,0.685714,0.129922,5.27789,0.555792,true
has_additionalProperties__AND__has_multipleOf,has_additionalProperties,has_multipleOf,9,1780,0.00503074,14,594,22,4508,0.636364,0.131766,4.82951,0.504598,true
has_boolean_schema__AND__has_multipleOf,has_boolean_schema,has_multipleOf,9,1780,0.00503074,14,594,22,4508,0.636364,0.131766,4.82951,0.504598,true
has_multipleOf__AND__has_properties,has_multipleOf,has_properties,10,1779,0.00558971,16,592,28,4502,0.571429,0.131497,4.34556,0.439931,true
has_multipleOf__AND__has_type,has_multipleOf,has_type,10,1779,0.00558971,16,592,28,4502,0.571429,0.131497,4.34556,0.439931,true
has_multipleOf__AND__has_required,has_multipleOf,has_required,9,1780,0.00503074,14,594,25,4505,0.56,0.131853,4.24714,0.428147,true
has_minimum__AND__has_multipleOf,has_minimum,has_multipleOf,6,1783,0.00335383,12,596,22,4508,0.545455,0.132209,4.12569,0.413245,true
has_maxItems__AND__has_required,has_maxItems,has_required,27,1762,0.0150922,44,564,86,4444,0.511628,0.126913,4.03134,0.384715,true
has_minItems__AND__has_properties,has_minItems,has_properties,107,1682,0.0598099,144,464,347,4183,0.414986,0.110925,3.74113,0.30406,true
has_maxItems__AND__has_minItems,has_maxItems,has_minItems,27,1762,0.0150922,43,565,91,4439,0.472527,0.127281,3.71248,0.345247,true
has_minItems__AND__has_required,has_minItems,has_required,98,1691,0.0547792,136,472,327,4203,0.415902,0.112301,3.70347,0.303601,true
