feature,schemas_with_feature,schemas_without_feature,timeout_with_feature,timeout_without_feature,timeout_rate_with,timeout_rate_without,lift,support,global_timeout_rate
has_maxLength,154,1635,24,0,0.155844,0,inf,0.0860816,0.0134153
has_properties,1773,16,24,0,0.0135364,0,inf,0.991056,0.0134153
has_type,1787,2,24,0,0.0134303,0,inf,0.998882,0.0134153
has_minLength,196,1593,22,2,0.112245,0.00125549,89.4031,0.109558,0.0134153
has_boolean_schema,788,1001,21,3,0.0266497,0.002997,8.89213,0.44047,0.0134153
has_additionalProperties,810,979,21,3,0.0259259,0.00306435,8.46049,0.452767,0.0134153
has_oneOf,75,1714,6,18,0.08,0.0105018,7.61778,0.0419229,0.0134153
has_patternProperties,44,1745,2,22,0.0454545,0.0126074,3.60537,0.0245947,0.0134153
has_enum,419,1370,12,12,0.0286396,0.00875912,3.26969,0.234209,0.0134153
has_maxItems,36,1753,1,23,0.0277778,0.0131204,2.11715,0.020123,0.0134153
large_enum,74,1715,2,22,0.027027,0.012828,2.10688,0.0413639,0.0134153
has_maximum,79,1710,2,22,0.0253165,0.0128655,1.96778,0.0441587,0.0134153
deep_schema,51,1738,1,23,0.0196078,0.0132336,1.48167,0.0285075,0.0134153
has_pattern,214,1575,4,20,0.0186916,0.0126984,1.47196,0.11962,0.0134153
has_minimum,195,1594,3,21,0.0153846,0.0131744,1.16777,0.108999,0.0134153
has_items,575,1214,5,19,0.00869565,0.0156507,0.555606,0.321409,0.0134153
has_required,1282,507,13,11,0.0101404,0.0216963,0.467381,0.716601,0.0134153
has_allOf,22,1767,0,24,0,0.0135823,0,0.0122974,0.0134153
has_anyOf,69,1720,0,24,0,0.0139535,0,0.038569,0.0134153
has_const,10,1779,0,24,0,0.0134907,0,0.00558971,0.0134153
has_default,184,1605,0,24,0,0.0149533,0,0.102851,0.0134153
has_defs,210,1579,0,24,0,0.0151995,0,0.117384,0.0134153
has_exclusiveMinimum,2,1787,0,24,0,0.0134303,0,0.00111794,0.0134153
has_if_then_else,1,1788,0,24,0,0.0134228,0,0.000558971,0.0134153
has_maxProperties,2,1787,0,24,0,0.0134303,0,0.00111794,0.0134153
has_minItems,114,1675,0,24,0,0.0143284,0,0.0637228,0.0134153
has_minProperties,21,1768,0,24,0,0.0135747,0,0.0117384,0.0134153
has_multipleOf,10,1779,0,24,0,0.0134907,0,0.00558971,0.0134153
has_not,5,1784,0,24,0,0.0134529,0,0.00279486,0.0134153
has_ref,188,1601,0,24,0,0.0149906,0,0.105087,0.0134153
many_required,228,1561,0,24,0,0.0153748,0,0.127446,0.0134153
many_properties,45,1744,0,24,0,0.0137615,0,0.0251537,0.0134153
