feature,schemas_with_feature,schemas_without_feature,under_with_feature,under_without_feature,under_denominator_with,under_denominator_without,under_rate_with,under_rate_without,lift,delta,support,global_under_rate,eligible_lift
has_properties,1773,16,608,0,4488,42,0.135472,0,inf,0.135472,0.991056,0.134216,true
has_allOf,22,1767,56,552,79,4451,0.708861,0.124017,5.71583,0.584844,0.0122974,0.134216,true
has_multipleOf,10,1779,16,592,28,4502,0.571429,0.131497,4.34556,0.439931,0.00558971,0.134216,true
has_minItems,114,1675,144,464,375,4155,0.384,0.111673,3.43862,0.272327,0.0637228,0.134216,true
has_maxItems,36,1753,48,560,132,4398,0.363636,0.127331,2.85584,0.236306,0.020123,0.134216,true
has_maximum,79,1710,90,518,291,4239,0.309278,0.122199,2.53095,0.18708,0.0441587,0.134216,true
has_minimum,195,1594,175,433,691,3839,0.253256,0.11279,2.24538,0.140466,0.108999,0.134216,true
has_minProperties,21,1768,16,592,54,4476,0.296296,0.132261,2.24024,0.164035,0.0117384,0.134216,true
has_oneOf,75,1714,50,558,181,4349,0.276243,0.128305,2.15301,0.147938,0.0419229,0.134216,true
deep_schema,51,1738,40,568,165,4365,0.242424,0.130126,1.863,0.112298,0.0285075,0.134216,true
has_anyOf,69,1720,52,556,256,4274,0.203125,0.130089,1.56143,0.0730361,0.038569,0.134216,true
has_default,184,1605,70,538,434,4096,0.16129,0.131348,1.22796,0.0299427,0.102851,0.134216,true
has_pattern,214,1575,129,479,816,3714,0.158088,0.128971,1.22576,0.0291168,0.11962,0.134216,true
has_additionalProperties,810,979,326,282,2206,2324,0.147779,0.121343,1.21786,0.0264363,0.452767,0.134216,true
has_maxLength,154,1635,74,534,468,4062,0.15812,0.131462,1.20278,0.0266573,0.0860816,0.134216,true
has_boolean_schema,788,1001,300,308,2095,2435,0.143198,0.126489,1.1321,0.0167094,0.44047,0.134216,true
has_required,1282,507,458,150,3344,1186,0.136962,0.126476,1.08291,0.0104862,0.716601,0.134216,true
has_items,575,1214,219,389,1615,2915,0.135604,0.133448,1.01616,0.00215603,0.321409,0.134216,true
has_patternProperties,44,1745,13,595,98,4432,0.132653,0.134251,0.988098,-0.00159784,0.0245947,0.134216,true
has_minLength,196,1593,73,535,563,3967,0.129663,0.134863,0.961442,-0.00520009,0.109558,0.134216,true
has_ref,188,1601,66,542,521,4009,0.126679,0.135196,0.937007,-0.00851635,0.105087,0.134216,true
large_enum,74,1715,22,586,185,4345,0.118919,0.134868,0.881745,-0.0159487,0.0413639,0.134216,true
many_required,228,1561,82,526,694,3836,0.118156,0.137122,0.861682,-0.0189664,0.127446,0.134216,true
has_defs,210,1579,65,543,575,3955,0.113043,0.137295,0.823365,-0.0242511,0.117384,0.134216,true
has_enum,419,1370,115,493,1038,3492,0.11079,0.14118,0.784744,-0.0303899,0.234209,0.134216,true
many_properties,45,1744,14,594,150,4380,0.0933333,0.135616,0.688215,-0.0422831,0.0251537,0.134216,true
has_const,10,1779,2,606,26,4504,0.0769231,0.134547,0.571719,-0.057624,0.00558971,0.134216,true
has_type,1787,2,608,0,4526,4,0.134335,0,inf,0.134335,0.998882,0.134216,false
has_if_then_else,1,1788,1,607,2,4528,0.5,0.134055,3.72982,0.365945,0.000558971,0.134216,false
has_exclusiveMinimum,2,1787,3,605,13,4517,0.230769,0.133938,1.72295,0.0968308,0.00111794,0.134216,false
has_not,5,1784,4,604,18,4512,0.222222,0.133865,1.66004,0.088357,0.00279486,0.134216,false
has_maxProperties,2,1787,0,608,6,4524,0,0.134394,0,-0.134394,0.00111794,0.134216,false
