schema_id,test_id,tokens_checked,num_tokens,rejection_ratio,first_rejected_token_index
Github_easy---o10011.json,Github_easy---o10011.json::test_00000,10,36,0.277778,9
Github_easy---o10011.json,Github_easy---o10011.json::test_00001,10,44,0.227273,9
Github_easy---o10013.json,Github_easy---o10013.json::test_00000,2,69,0.0289855,1
Github_easy---o10013.json,Github_easy---o10013.json::test_00001,2,54,0.037037,1
Github_easy---o10094.json,Github_easy---o10094.json::test_00000,5,37,0.135135,4
Github_easy---o10337.json,Github_easy---o10337.json::test_00000,1,19,0.0526316,0
Github_easy---o11794.json,Github_easy---o11794.json::test_00000,38,89,0.426966,37
Github_easy---o11794.json,Github_easy---o11794.json::test_00003,38,106,0.358491,37
Github_easy---o12290.json,Github_easy---o12290.json::test_00000,76,83,0.915663,75
Github_easy---o12381.json,Github_easy---o12381.json::test_00000,18,25,0.72,17
Github_easy---o13667.json,Github_easy---o13667.json::test_00000,10,76,0.131579,9
Github_easy---o13687.json,Github_easy---o13687.json::test_00000,20,52,0.384615,19
Github_easy---o13688.json,Github_easy---o13688.json::test_00000,20,67,0.298507,19
Github_easy---o13688.json,Github_easy---o13688.json::test_00002,19,91,0.208791,18
Github_easy---o14025.json,Github_easy---o14025.json::test_00000,35,155,0.225806,34
Github_easy---o14025.json,Github_easy---o14025.json::test_00002,37,145,0.255172,36
Github_easy---o14471.json,Github_easy---o14471.json::test_00000,1,32,0.03125,0
Github_easy---o14479.json,Github_easy---o14479.json::test_00000,69,77,0.896104,68
Github_easy---o14490.json,Github_easy---o14490.json::test_00000,24,60,0.4,23
Github_easy---o14490.json,Github_easy---o14490.json::test_00002,24,61,0.393443,23
Github_easy---o14491.json,Github_easy---o14491.json::test_00000,13,60,0.216667,12
Github_easy---o14491.json,Github_easy---o14491.json::test_00001,13,60,0.216667,12
Github_easy---o17545.json,Github_easy---o17545.json::test_00000,9,28,0.321429,8
Github_easy---o17547.json,Github_easy---o17547.json::test_00000,10,49,0.204082,9
Github_easy---o17547.json,Github_easy---o17547.json::test_00002,10,61,0.163934,9
Github_easy---o17641.json,Github_easy---o17641.json::test_00005,9,61,0.147541,8
Github_easy---o17687.json,Github_easy---o17687.json::test_00000,55,70,0.785714,54
Github_easy---o17687.json,Github_easy---o17687.json::test_00006,56,71,0.788732,55
Github_easy---o19066.json,Github_easy---o19066.json::test_00000,18,102,0.176471,17
Github_easy---o21083.json,Github_easy---o21083.json::test_00000,60,66,0.909091,59
Github_easy---o21096.json,Github_easy---o21096.json::test_00000,21,47,0.446809,20
Github_easy---o21149.json,Github_easy---o21149.json::test_00000,36,58,0.62069,35
Github_easy---o21149.json,Github_easy---o21149.json::test_00005,34,55,0.618182,33
Github_easy---o21729.json,Github_easy---o21729.json::test_00000,1,47,0.0212766,0
Github_easy---o21733.json,Github_easy---o21733.json::test_00000,7,51,0.137255,6
