characteristic,bucket,n_schemas,value_min,value_max,schemas_with_under_rate,schemas_with_over_rate,under_test_rate,over_test_rate,timeout_schema_rate
schema_json_chars,q1_low,448,87,330,0.0982143,0.0803571,0.0886598,0.0909091,0.015625
schema_json_chars,q2_mid_low,450,331,452,0.151111,0.102222,0.127288,0.101072,0.0155556
schema_json_chars,q3_mid_high,445,453,596,0.168539,0.0741573,0.152991,0.0827068,0.0179775
schema_json_chars,q4_high,446,597,6550,0.183857,0.156951,0.159933,0.149492,0.0044843
schema_file_bytes,q1_low,448,547,2423,0.0580357,0.0959821,0.0642023,0.11414,0.00446429
schema_file_bytes,q2_mid_low,447,2425,3471,0.1566,0.0760626,0.125786,0.0740157,0.0111857
schema_file_bytes,q3_mid_high,447,3477,5088,0.190157,0.118568,0.157936,0.11288,0.0111857
schema_file_bytes,q4_high,447,5093,84795,0.196868,0.123043,0.141896,0.125,0.0268456
nb_keywords,q1_low,466,3,11,0.083691,0.0944206,0.0771513,0.0998415,0.0107296
nb_keywords,q2_mid_low,548,12,15,0.149635,0.0821168,0.137168,0.0872314,0.00912409
nb_keywords,q3_mid_high,341,16,18,0.146628,0.11437,0.113712,0.107955,0.0058651
nb_keywords,q4_high,434,19,169,0.225806,0.131336,0.191153,0.136713,0.0276498
nb_properties,q1_low,782,0,3,0.136829,0.0971867,0.132024,0.10788,0.00895141
nb_properties,q2_mid_low,324,4,4,0.169753,0.095679,0.125471,0.0972516,0.0185185
nb_properties,q3_mid_high,254,5,5,0.153543,0.0826772,0.13373,0.0904255,0.023622
nb_properties,q4_high,429,6,63,0.158508,0.132867,0.143439,0.120991,0.011655
nb_required,q1_low,530,0,0,0.133962,0.116981,0.124178,0.113158,0.0207547
nb_required,q2_mid_low,620,1,2,0.151613,0.0983871,0.13468,0.107798,0.0209677
nb_required,q3_mid_high,255,3,3,0.184314,0.0823529,0.16259,0.0863874,0
nb_required,q4_high,384,4,22,0.148438,0.106771,0.126984,0.110733,0
schema_depth,q1_low,513,0,2,0.128655,0.0682261,0.121849,0.072,0.0136452
schema_depth,q2_mid_low,823,3,4,0.150668,0.105711,0.139011,0.107143,0.0145808
schema_depth,q3_mid_high,192,5,5,0.171875,0.0625,0.111901,0.0596491,0.00520833
schema_depth,q4_high,261,6,15,0.176245,0.195402,0.158038,0.207692,0.0153257
nb_branches_combinators,q1_low,1634,0,0,0.134639,0.0991432,0.117357,0.100168,0.0110159
nb_branches_combinators,q2_mid_low,0,,,0,0,0,0,0
nb_branches_combinators,q3_mid_high,0,,,0,0,0,0,0
nb_branches_combinators,q4_high,155,1,40,0.316129,0.148387,0.278481,0.177778,0.0387097
nb_enum_values,q1_low,1370,0,0,0.158394,0.0963504,0.14118,0.103689,0.00875912
nb_enum_values,q2_mid_low,0,,,0,0,0,0,0
nb_enum_values,q3_mid_high,0,,,0,0,0,0,0
nb_enum_values,q4_high,419,1,293,0.124105,0.126492,0.11079,0.117647,0.0286396
nb_regex,q1_low,1545,0,0,0.143689,0.0796117,0.130233,0.0801612,0.0122977
nb_regex,q2_mid_low,0,,,0,0,0,0,0
nb_regex,q3_mid_high,0,,,0,0,0,0,0
nb_regex,q4_high,244,1,7,0.192623,0.254098,0.150857,0.269022,0.0204918
n_tests,q1_low,735,1,3,0.0802721,0.119728,0.0798274,0.138007,0.00408163
n_tests,q2_mid_low,463,4,4,0.146868,0.0907127,0.108997,0.0902367,0.0107991
n_tests,q3_mid_high,302,5,5,0.165563,0.0827815,0.122881,0.0825336,0.0298013
n_tests,q4_high,289,6,13,0.318339,0.103806,0.194278,0.0977597,0.0242215
mean_num_tokens,q1_low,451,5.33333,24,0.157428,0.0199557,0.157303,0.0208696,0
mean_num_tokens,q2_mid_low,430,24.2,39,0.174419,0.0627907,0.148148,0.0527157,0
mean_num_tokens,q3_mid_high,437,39.3333,62,0.153318,0.125858,0.129422,0.12813,0
mean_num_tokens,q4_high,439,62.3333,1789.67,0.127563,0.1959,0.110149,0.188999,0
