feature,schemas_with_feature,compile_error_schemas_with_feature,compile_error_rate_with_feature,compile_error_rate_without_feature,lift
has_maximum,352,18,0.0511364,0.00195312,26.1818
has_minimum,769,20,0.0260078,0.00167025,15.5712
has_maxLength,545,12,0.0220183,0.00339751,6.48073
has_minLength,701,13,0.0185449,0.00328716,5.64163
has_pattern,1135,15,0.0132159,0.00313725,4.21256
has_boolean_schema,2285,21,0.00919037,0.00224299,4.09737
has_patternProperties,314,5,0.0159236,0.00473526,3.36277
many_properties,2323,18,0.0077486,0.00341297,2.27034
has_additionalProperties,2364,18,0.00761421,0.00346687,2.19628
has_ref,1051,9,0.00856327,0.00460476,1.85966
has_minItems,576,5,0.00868056,0.00501825,1.7298
has_default,1115,9,0.00807175,0.0046814,1.72422
has_defs,1144,9,0.00786713,0.00471698,1.66783
has_required,3621,22,0.00607567,0.00373413,1.62706
many_required,1796,11,0.00612472,0.00505689,1.21116
deep_schema,979,6,0.0061287,0.00527506,1.16183
has_enum,1961,11,0.00560938,0.00533511,1.05141
has_items,2400,13,0.00541667,0.00546875,0.990476
