feature,schemas_with_feature,compile_error_schemas_with_feature,compile_error_rate_with_feature,compile_error_rate_without_feature,lift
has_properties,4840,27,0.00557851,0,inf
has_type,4950,27,0.00545455,0,inf
has_required,3621,22,0.00607567,0.00373413,1.62706
has_boolean_schema,2285,21,0.00919037,0.00224299,4.09737
has_minimum,769,20,0.0260078,0.00167025,15.5712
has_maximum,352,18,0.0511364,0.00195312,26.1818
many_properties,2323,18,0.0077486,0.00341297,2.27034
has_additionalProperties,2364,18,0.00761421,0.00346687,2.19628
has_pattern,1135,15,0.0132159,0.00313725,4.21256
has_minLength,701,13,0.0185449,0.00328716,5.64163
has_items,2400,13,0.00541667,0.00546875,0.990476
has_maxLength,545,12,0.0220183,0.00339751,6.48073
many_required,1796,11,0.00612472,0.00505689,1.21116
has_enum,1961,11,0.00560938,0.00533511,1.05141
has_ref,1051,9,0.00856327,0.00460476,1.85966
has_default,1115,9,0.00807175,0.0046814,1.72422
has_defs,1144,9,0.00786713,0.00471698,1.66783
deep_schema,979,6,0.0061287,0.00527506,1.16183
has_patternProperties,314,5,0.0159236,0.00473526,3.36277
has_minItems,576,5,0.00868056,0.00501825,1.7298
has_not,56,4,0.0714286,0.00469005,15.2298
has_allOf,149,3,0.0201342,0.00498857,4.03607
has_maxItems,212,3,0.0141509,0.00505476,2.79953
has_oneOf,502,3,0.0059761,0.00538358,1.11006
large_enum,753,3,0.00398406,0.00570478,0.698373
has_minProperties,85,2,0.0235294,0.00512821,4.58824
has_anyOf,413,2,0.00484262,0.00549813,0.880775
has_maxProperties,31,1,0.0322581,0.0052749,6.11538
has_anchor,0,0,0,0.00544355,0
has_const,39,0,0,0.00548669,0
has_contains,1,0,0,0.00544465,0
has_content,3,0,0,0.00544684,0
has_dependentRequired,0,0,0,0.00544355,0
has_dependentSchemas,0,0,0,0.00544355,0
has_dynamicRef,0,0,0,0.00544355,0
has_exclusiveMaximum,4,0,0,0.00544794,0
has_exclusiveMinimum,16,0,0,0.00546117,0
has_if_then_else,10,0,0,0.00545455,0
has_infinite_loop_detection,0,0,0,0.00544355,0
has_maxContains,0,0,0,0.00544355,0
has_minContains,0,0,0,0.00544355,0
has_multipleOf,37,0,0,0.00548446,0
has_prefixItems,0,0,0,0.00544355,0
has_propertyNames,11,0,0,0.00545565,0
has_unevaluatedItems,0,0,0,0.00544355,0
has_unevaluatedProperties,0,0,0,0.00544355,0
has_uniqueItems,0,0,0,0.00544355,0
