feature,n_schemas,n_completed_tests,under_rate,over_rate,correct_rate,timeout_rate
has_if_then_else,10,60,0.2,0.866667,0.633333,0
has_contains,1,3,0,1,0.666667,0
has_patternProperties,314,1403,0.0745614,0.869654,0.647185,0.0955414
has_exclusiveMaximum,4,22,0.2,0.714286,0.636364,0.25
has_propertyNames,11,74,0.224138,0.625,0.689189,0
has_not,56,315,0.431034,0.409639,0.574603,0.0357143
has_allOf,149,810,0.460177,0.269388,0.597531,0.00671141
has_minProperties,85,451,0.175719,0.528986,0.716186,0.0117647
has_maxProperties,31,188,0.10219,0.588235,0.765957,0
has_multipleOf,37,184,0.491803,0.16129,0.619565,0.027027
has_exclusiveMinimum,16,108,0.308642,0.333333,0.685185,0
has_minItems,576,3239,0.304925,0.323009,0.690028,0.0538194
has_oneOf,502,2223,0.190476,0.402516,0.733693,0.0737052
has_maxItems,212,1027,0.291777,0.285714,0.709834,0.212264
has_maximum,352,1882,0.262283,0.301205,0.727418,0.133523
has_const,39,219,0.185897,0.365079,0.762557,0.025641
has_anyOf,413,2555,0.179514,0.316188,0.785127,0.00242131
has_minimum,769,4297,0.264706,0.230111,0.744706,0.0715215
large_enum,753,3436,0.151411,0.320583,0.794529,0.0796813
has_ref,1051,5469,0.160203,0.304624,0.794112,0.0161751
deep_schema,979,4733,0.138428,0.311039,0.805409,0.0469867
has_defs,1144,5879,0.154154,0.29368,0.801157,0.0148601
has_minLength,701,3214,0.164519,0.265237,0.807716,0.21398
many_properties,2323,11245,0.153273,0.264146,0.80996,0.0572536
many_required,1796,9001,0.155588,0.251135,0.814021,0.035078
has_maxLength,545,2278,0.183453,0.211475,0.809043,0.299083
has_pattern,1135,6160,0.136235,0.256869,0.833117,0.132159
has_enum,1961,8880,0.130391,0.249572,0.830405,0.0611933
has_default,1115,5188,0.179251,0.197322,0.814765,0.0349776
has_items,2400,11760,0.147414,0.226774,0.827381,0.0454167
has_required,3621,16466,0.164862,0.202659,0.822361,0.0378349
has_properties,4840,21265,0.155459,0.192152,0.831789,0.038843
has_type,4950,21667,0.152487,0.194544,0.832926,0.0383838
has_additionalProperties,2364,11211,0.154478,0.184181,0.836143,0.0626058
has_boolean_schema,2285,10750,0.156599,0.177941,0.836651,0.0647702
has_content,3,11,0,0,1,0
