feature,correct,timeout,under,over,correct_n,timeout_n,under_n,over_n
has_additionalProperties,0.453205,0.778947,0.535751,0.419936,2917,190,965,943
has_allOf,0.011313,0.00526316,0.0787565,0.0424178,2917,190,965,943
has_anyOf,0.0620501,0.00526316,0.117098,0.131495,2917,190,965,943
has_boolean_schema,0.44155,0.778947,0.518135,0.388123,2917,190,965,943
has_const,0.00411382,0.00526316,0.0124352,0.0159067,2917,190,965,943
has_contains,0,0,0,0.00106045,2917,190,965,943
has_content,0.00102845,0,0,0,2917,190,965,943
has_default,0.214261,0.205263,0.265285,0.222694,2917,190,965,943
has_defs,0.184779,0.0894737,0.276684,0.354189,2917,190,965,943
has_enum,0.34796,0.631579,0.381347,0.511135,2917,190,965,943
has_exclusiveMaximum,0,0.00526316,0.00207254,0.00318134,2917,190,965,943
has_exclusiveMinimum,0.000342818,0,0.00932642,0.00636267,2917,190,965,943
has_if_then_else,0,0,0.00207254,0.00848356,2917,190,965,943
has_items,0.431265,0.573684,0.562694,0.550371,2917,190,965,943
has_maxItems,0.0147412,0.236842,0.0849741,0.0530223,2917,190,965,943
has_maxLength,0.0620501,0.857895,0.133679,0.0816543,2917,190,965,943
has_maxProperties,0.00239973,0,0.00621762,0.019088,2917,190,965,943
has_maximum,0.0322249,0.247368,0.134715,0.0922587,2917,190,965,943
has_minItems,0.0270826,0.163158,0.33057,0.186638,2917,190,965,943
has_minLength,0.088447,0.789474,0.17513,0.1421,2917,190,965,943
has_minProperties,0.00445663,0.00526316,0.0321244,0.0466596,2917,190,965,943
has_minimum,0.0826191,0.289474,0.344041,0.170732,2917,190,965,943
has_multipleOf,0.00102845,0.00526316,0.0300518,0.00636267,2917,190,965,943
has_not,0.00205691,0.0105263,0.0279793,0.0233298,2917,190,965,943
has_oneOf,0.0541652,0.194737,0.129534,0.195122,2917,190,965,943
has_pattern,0.165924,0.789474,0.268394,0.267232,2917,190,965,943
has_patternProperties,0.00514227,0.157895,0.0259067,0.26087,2917,190,965,943
has_properties,0.970175,0.989474,0.997927,0.967126,2917,190,965,943
has_propertyNames,0,0,0.00310881,0.00848356,2917,190,965,943
has_ref,0.160782,0.0894737,0.26943,0.335101,2917,190,965,943
has_required,0.692149,0.721053,0.827979,0.749735,2917,190,965,943
has_type,0.997943,1,0.998964,0.995758,2917,190,965,943
large_enum,0.103188,0.315789,0.168912,0.257688,2917,190,965,943
many_required,0.30168,0.331579,0.449741,0.47614,2917,190,965,943
many_properties,0.367501,0.7,0.552332,0.661718,2917,190,965,943
deep_schema,0.155639,0.242105,0.203109,0.311771,2917,190,965,943
