feature,schemas_with_feature,schemas_without_feature,over_with_feature,over_without_feature,over_denominator_with,over_denominator_without,over_rate_with,over_rate_without,lift,delta,support,global_over_rate,eligible_lift
has_patternProperties,314,4646,427,1041,491,7038,0.869654,0.147911,5.87956,0.721742,0.0633065,0.194979,true
has_maxProperties,31,4929,30,1438,51,7478,0.588235,0.192297,3.05899,0.395938,0.00625,0.194979,true
has_minProperties,85,4875,73,1395,138,7391,0.528986,0.188743,2.80268,0.340242,0.0171371,0.194979,true
has_oneOf,502,4458,320,1148,795,6734,0.402516,0.170478,2.3611,0.232038,0.10121,0.194979,true
has_not,56,4904,34,1434,83,7446,0.409639,0.192587,2.12704,0.217052,0.0112903,0.194979,true
many_properties,2323,2637,985,483,3729,3800,0.264146,0.127105,2.07817,0.137041,0.468347,0.194979,true
has_const,39,4921,23,1445,63,7466,0.365079,0.193544,1.88629,0.171535,0.0078629,0.194979,true
deep_schema,979,3981,479,989,1540,5989,0.311039,0.165136,1.88353,0.145903,0.197379,0.194979,true
has_ref,1051,3909,527,941,1730,5799,0.304624,0.162269,1.87728,0.142355,0.211895,0.194979,true
large_enum,753,4207,352,1116,1098,6431,0.320583,0.173534,1.84737,0.147048,0.151815,0.194979,true
has_minItems,576,4384,292,1176,904,6625,0.323009,0.177509,1.81967,0.145499,0.116129,0.194979,true
has_defs,1144,3816,553,915,1883,5646,0.29368,0.162062,1.81215,0.131619,0.230645,0.194979,true
has_anyOf,413,4547,209,1259,661,6868,0.316188,0.183314,1.72484,0.132874,0.0832661,0.194979,true
has_exclusiveMinimum,16,4944,9,1459,27,7502,0.333333,0.194481,1.71396,0.138852,0.00322581,0.194979,true
has_maximum,352,4608,150,1318,498,7031,0.301205,0.187456,1.60681,0.113749,0.0709677,0.194979,true
many_required,1796,3164,719,749,2863,4666,0.251135,0.160523,1.56448,0.0906122,0.362097,0.194979,true
has_enum,1961,2999,729,739,2921,4608,0.249572,0.160373,1.55619,0.0891988,0.395363,0.194979,true
has_maxItems,212,4748,78,1390,273,7256,0.285714,0.191566,1.49147,0.0941487,0.0427419,0.194979,true
has_pattern,1135,3825,402,1066,1565,5964,0.256869,0.178739,1.43712,0.0781299,0.228831,0.194979,true
has_minLength,701,4259,235,1233,886,6643,0.265237,0.185609,1.42901,0.0796281,0.141331,0.194979,true
has_allOf,149,4811,66,1402,245,7284,0.269388,0.192477,1.39959,0.0769111,0.0300403,0.194979,true
has_items,2400,2560,847,621,3735,3794,0.226774,0.163679,1.38547,0.0630943,0.483871,0.194979,true
has_minimum,769,4191,269,1199,1169,6360,0.230111,0.188522,1.22061,0.0415892,0.15504,0.194979,true
has_required,3621,1339,1128,340,5566,1963,0.202659,0.173204,1.17006,0.0294547,0.73004,0.194979,true
has_maxLength,545,4415,129,1339,610,6919,0.211475,0.193525,1.09275,0.0179503,0.109879,0.194979,true
has_default,1115,3845,339,1129,1718,5811,0.197322,0.194287,1.01563,0.00303577,0.224798,0.194979,true
has_additionalProperties,2364,2596,652,816,3540,3989,0.184181,0.204563,0.900364,-0.0203818,0.476613,0.194979,true
has_boolean_schema,2285,2675,605,863,3400,4129,0.177941,0.209009,0.851355,-0.0310683,0.460685,0.194979,true
has_multipleOf,37,4923,10,1458,62,7467,0.16129,0.195259,0.826032,-0.0339688,0.00745968,0.194979,true
has_properties,4840,120,1420,48,7390,139,0.192152,0.345324,0.556439,-0.153172,0.975806,0.194979,true
has_contains,1,4959,1,1467,1,7528,1,0.194872,5.13156,0.805128,0.000201613,0.194979,false
has_if_then_else,10,4950,13,1455,15,7514,0.866667,0.193639,4.47569,0.673028,0.00201613,0.194979,false
has_exclusiveMaximum,4,4956,5,1463,7,7522,0.714286,0.194496,3.67249,0.51979,0.000806452,0.194979,false
has_propertyNames,11,4949,10,1458,16,7513,0.625,0.194064,3.22059,0.430936,0.00221774,0.194979,false
has_type,4950,10,1462,6,7515,14,0.194544,0.428571,0.453937,-0.234027,0.997984,0.194979,false
has_content,3,4957,0,1468,5,7524,0,0.195109,0,-0.195109,0.000604839,0.194979,false
