feature,feature_pair,feature_a,feature_b,n_schemas,support,risk_count,interest_score,timeout_lift,timeout_delta,under_lift,under_delta,over_lift,over_delta,correct,timeout,under,over,correct_n,timeout_n,under_n,over_n
[P] has_maxLength + has_pattern,has_maxLength__AND__has_pattern,has_maxLength,has_pattern,296,0.0596774,3,3.02964e+06,29.6036,0.404768,1.42827,0.0635541,1.53151,0.101575,0.0171409,0.652632,0.0797927,0.0519618,2917,190,965,943
[P] has_additionalProperties + has_maxLength,has_additionalProperties__AND__has_maxLength,has_additionalProperties,has_maxLength,372,0.075,3,3.02676e+06,26.7222,0.336385,1.36685,0.0543707,1.15318,0.0296325,0.0356531,0.684211,0.0953368,0.0540827,2917,190,965,943
[P] has_minLength + has_pattern,has_minLength__AND__has_pattern,has_minLength,has_pattern,328,0.066129,3,3.0237e+06,23.6692,0.347477,1.2422,0.0362246,1.94763,0.176929,0.0209119,0.626316,0.0818653,0.078473,2917,190,965,943
[P] has_enum + has_maxLength,has_enum__AND__has_maxLength,has_enum,has_maxLength,308,0.0620968,3,3.0232e+06,23.1593,0.357255,1.41762,0.0619852,1.38009,0.0729274,0.0239973,0.605263,0.0797927,0.0540827,2917,190,965,943
[P] has_boolean_schema + has_minLength,has_boolean_schema__AND__has_minLength,has_boolean_schema,has_minLength,423,0.0852823,3,3.01972e+06,19.6906,0.276013,1.22592,0.0337071,1.56418,0.106085,0.0442235,0.647368,0.0984456,0.0869565,2917,190,965,943
[P] has_maxItems + has_minLength,has_maxItems__AND__has_minLength,has_maxItems,has_minLength,71,0.0143145,3,3.0196e+06,19.5411,0.561277,1.84938,0.12824,1.98603,0.190955,0.00137127,0.221053,0.0176166,0.0127253,2917,190,965,943
[P] has_additionalProperties + has_minLength,has_additionalProperties__AND__has_minLength,has_additionalProperties,has_minLength,428,0.0862903,3,3.01947e+06,19.4391,0.272599,1.2177,0.0324929,1.57791,0.108491,0.0445663,0.647368,0.100518,0.0890774,2917,190,965,943
[P] has_maxItems + has_maxLength,has_maxItems__AND__has_maxLength,has_maxItems,has_maxLength,81,0.0163306,3,3.0182e+06,18.1529,0.513286,1.86275,0.129684,1.82361,0.159401,0.00171409,0.231579,0.0227979,0.0148462,2917,190,965,943
[P] has_maxLength + has_patternProperties,has_maxLength__AND__has_patternProperties,has_maxLength,has_patternProperties,55,0.0110887,3,3.01678e+06,16.7216,0.512835,1.50568,0.0767654,3.82458,0.541591,0.000685636,0.157895,0.00518135,0.019088,2917,190,965,943
[P] has_items + has_maxLength,has_items__AND__has_maxLength,has_items,has_maxLength,258,0.0520161,3,3.01576e+06,15.7234,0.319392,1.39019,0.0580485,1.48347,0.0926129,0.018855,0.463158,0.0735751,0.0509014,2917,190,965,943
[P] has_maxLength + has_maximum,has_maxLength__AND__has_maximum,has_maxLength,has_maximum,116,0.0233871,3,3.01338e+06,13.3396,0.366824,1.54653,0.0820376,1.81848,0.157531,0.00479945,0.242105,0.0331606,0.0265111,2917,190,965,943
[P] has_maxLength + has_oneOf,has_maxLength__AND__has_oneOf,has_maxLength,has_oneOf,85,0.0171371,3,3.01254e+06,12.5,0.368,1.49223,0.074545,1.92861,0.17916,0.00719918,0.178947,0.0124352,0.019088,2917,190,965,943
[P] has_maxItems + has_oneOf,has_maxItems__AND__has_oneOf,has_maxItems,has_oneOf,58,0.0116935,3,3.01226e+06,12.2194,0.379929,1.68705,0.103979,1.81511,0.158006,0.00239973,0.126316,0.0165803,0.0116649,2917,190,965,943
[P] has_default + has_maxLength,has_default__AND__has_maxLength,has_default,has_maxLength,99,0.0199597,3,3.01151e+06,11.4782,0.331956,1.15827,0.0240494,1.66264,0.127974,0.00788481,0.189474,0.0207254,0.0212089,2917,190,965,943
[P] has_maxLength + has_minimum,has_maxLength__AND__has_minimum,has_maxLength,has_minimum,162,0.0326613,3,3.01149e+06,11.4578,0.298607,1.33356,0.0501072,1.47059,0.0906957,0.0109702,0.278947,0.0497409,0.0339343,2917,190,965,943
[P] has_maximum + has_pattern,has_maximum__AND__has_pattern,has_maximum,has_pattern,136,0.0274194,3,3.00979e+06,9.76036,0.270583,1.45261,0.067812,2.20255,0.228629,0.00719918,0.215789,0.0373057,0.0424178,2917,190,965,943
[P] has_enum + has_maxItems,has_enum__AND__has_maxItems,has_enum,has_maxItems,132,0.0266129,3,3.00978e+06,9.75354,0.271962,2.203,0.177141,1.83013,0.159207,0.00514227,0.210526,0.0507772,0.0371156,2917,190,965,943
[P] has_items + has_minLength,has_items__AND__has_minLength,has_items,has_minLength,397,0.0800403,3,3.00932e+06,9.30443,0.191095,1.25716,0.0381561,1.90758,0.166522,0.0346246,0.447368,0.121244,0.109226,2917,190,965,943
[P] has_boolean_schema + has_maxItems,has_boolean_schema__AND__has_maxItems,has_boolean_schema,has_maxItems,154,0.0310484,3,3.00915e+06,9.12881,0.248634,1.85034,0.125488,1.26236,0.050828,0.0116558,0.226316,0.0549223,0.0307529,2917,190,965,943
[P] has_additionalProperties + has_maxItems,has_additionalProperties__AND__has_maxItems,has_additionalProperties,has_maxItems,156,0.0314516,3,3.00903e+06,9.00802,0.245042,1.85698,0.126311,1.23482,0.0455189,0.0116558,0.226316,0.0569948,0.0307529,2917,190,965,943
