feature_pair,feature_a,feature_b,schemas_with_pair,schemas_without_pair,support,over_with_pair,over_without_pair,over_denominator_with,over_denominator_without,over_rate_with,over_rate_without,lift,delta,eligible_lift
has_patternProperties__AND__has_type,has_patternProperties,has_type,313,4647,0.0631048,425,1043,489,7040,0.869121,0.148153,5.86636,0.720967,true
has_patternProperties__AND__has_properties,has_patternProperties,has_properties,291,4669,0.0586694,394,1074,457,7072,0.862144,0.151867,5.67699,0.710278,true
has_patternProperties__AND__has_required,has_patternProperties,has_required,242,4718,0.0487903,338,1130,389,7140,0.868895,0.158263,5.49018,0.710631,true
has_boolean_schema__AND__has_patternProperties,has_boolean_schema,has_patternProperties,245,4715,0.0493952,325,1143,375,7154,0.866667,0.159771,5.42444,0.706896,true
has_additionalProperties__AND__has_patternProperties,has_additionalProperties,has_patternProperties,250,4710,0.0504032,329,1139,382,7147,0.861257,0.159368,5.40421,0.701889,true
has_items__AND__has_patternProperties,has_items,has_patternProperties,206,4754,0.0415323,281,1187,326,7203,0.861963,0.164792,5.2306,0.697171,true
has_defs__AND__has_patternProperties,has_defs,has_patternProperties,157,4803,0.0316532,232,1236,270,7259,0.859259,0.170271,5.04641,0.688988,true
has_patternProperties__AND__has_ref,has_patternProperties,has_ref,156,4804,0.0314516,231,1237,269,7260,0.858736,0.170386,5.03995,0.68835,true
has_enum__AND__has_patternProperties,has_enum,has_patternProperties,156,4804,0.0314516,194,1274,224,7305,0.866071,0.174401,4.96597,0.69167,true
has_minimum__AND__has_patternProperties,has_minimum,has_patternProperties,82,4878,0.0165323,116,1352,128,7401,0.90625,0.182678,4.96091,0.723572,true
has_oneOf__AND__has_patternProperties,has_oneOf,has_patternProperties,115,4845,0.0231855,154,1314,174,7355,0.885057,0.178654,4.95403,0.706403,true
has_maximum__AND__has_patternProperties,has_maximum,has_patternProperties,53,4907,0.0106855,70,1398,77,7452,0.909091,0.187601,4.84588,0.72149,true
has_minLength__AND__has_patternProperties,has_minLength,has_patternProperties,91,4869,0.0183468,99,1369,113,7416,0.876106,0.184601,4.74595,0.691505,true
has_minItems__AND__has_patternProperties,has_minItems,has_patternProperties,75,4885,0.015121,112,1356,129,7400,0.868217,0.183243,4.73806,0.684974,true
has_pattern__AND__has_patternProperties,has_pattern,has_patternProperties,130,4830,0.0262097,141,1327,171,7358,0.824561,0.180348,4.57206,0.644213,true
has_maxItems__AND__has_patternProperties,has_maxItems,has_patternProperties,32,4928,0.00645161,25,1443,29,7500,0.862069,0.1924,4.48061,0.669669,true
has_maxProperties__AND__has_oneOf,has_maxProperties,has_oneOf,16,4944,0.00322581,24,1444,28,7501,0.857143,0.192508,4.45251,0.664635,true
has_anyOf__AND__has_patternProperties,has_anyOf,has_patternProperties,76,4884,0.0153226,106,1362,131,7398,0.80916,0.184104,4.39513,0.625056,true
