feature_pair,feature_a,feature_b,n_schemas,support,timeout_rate,under_rate,over_rate
has_maxItems__AND__has_minLength,has_maxItems,has_minLength,71,0.0143145,0.591549,0.279221,0.384615
has_maxLength__AND__has_patternProperties,has_maxLength,has_patternProperties,55,0.0110887,0.545455,0.228571,0.733333
has_maxItems__AND__has_maxLength,has_maxItems,has_maxLength,81,0.0163306,0.54321,0.28,0.352941
has_maxItems__AND__has_patternProperties,has_maxItems,has_patternProperties,32,0.00645161,0.4375,0.0294118,0.862069
has_maxLength__AND__has_pattern,has_maxLength,has_pattern,296,0.0596774,0.418919,0.21195,0.292683
has_maxItems__AND__has_oneOf,has_maxItems,has_oneOf,58,0.0116935,0.413793,0.255319,0.351852
has_maxLength__AND__has_oneOf,has_maxLength,has_oneOf,85,0.0171371,0.4,0.225989,0.372093
has_maxLength__AND__has_maximum,has_maxLength,has_maximum,116,0.0233871,0.396552,0.232143,0.35
has_maximum__AND__has_minLength,has_maximum,has_minLength,105,0.0211694,0.390476,0.151099,0.481481
has_maxItems__AND__has_pattern,has_maxItems,has_pattern,108,0.0217742,0.388889,0.103858,0.309735
has_enum__AND__has_maxLength,has_enum,has_maxLength,308,0.0620968,0.373377,0.21041,0.264798
has_maxLength__AND__has_minLength,has_maxLength,has_minLength,394,0.0794355,0.373096,0.172862,0.262211
has_default__AND__has_maxLength,has_default,has_maxLength,99,0.0199597,0.363636,0.176,0.321101
has_minLength__AND__has_pattern,has_minLength,has_pattern,328,0.066129,0.362805,0.185792,0.363636
has_boolean_schema__AND__has_maxLength,has_boolean_schema,has_maxLength,368,0.0741935,0.353261,0.203738,0.219321
has_additionalProperties__AND__has_maxLength,has_additionalProperties,has_maxLength,372,0.075,0.349462,0.202578,0.223077
has_items__AND__has_maxLength,has_items,has_maxLength,258,0.0520161,0.341085,0.206818,0.284173
has_additionalProperties__AND__has_exclusiveMaximum,has_additionalProperties,has_exclusiveMaximum,3,0.000604839,0.333333,0.0909091,1
has_boolean_schema__AND__has_exclusiveMaximum,has_boolean_schema,has_exclusiveMaximum,3,0.000604839,0.333333,0.0909091,1
has_const__AND__has_maxLength,has_const,has_maxLength,3,0.000604839,0.333333,0,1
has_exclusiveMaximum__AND__has_items,has_exclusiveMaximum,has_items,3,0.000604839,0.333333,0.0909091,1
has_exclusiveMaximum__AND__has_maxItems,has_exclusiveMaximum,has_maxItems,3,0.000604839,0.333333,0.0909091,1
has_exclusiveMaximum__AND__has_minItems,has_exclusiveMaximum,has_minItems,3,0.000604839,0.333333,0.0909091,1
has_exclusiveMaximum__AND__has_minimum,has_exclusiveMaximum,has_minimum,3,0.000604839,0.333333,0.0909091,1
has_maxLength__AND__has_minimum,has_maxLength,has_minimum,162,0.0326613,0.32716,0.200328,0.283422
has_minLength__AND__has_patternProperties,has_minLength,has_patternProperties,91,0.0183468,0.318681,0.0650685,0.876106
has_enum__AND__has_minLength,has_enum,has_minLength,342,0.0689516,0.312865,0.15608,0.363636
has_maxItems__AND__has_maximum,has_maxItems,has_maximum,55,0.0110887,0.309091,0.314721,0.296875
has_enum__AND__has_maxItems,has_enum,has_maxItems,132,0.0266129,0.30303,0.32439,0.350993
has_maxLength__AND__has_properties,has_maxLength,has_properties,540,0.108871,0.301852,0.185455,0.213223
has_maximum__AND__has_pattern,has_maximum,has_pattern,136,0.0274194,0.301471,0.217636,0.41875
has_maxLength__AND__has_type,has_maxLength,has_type,545,0.109879,0.299083,0.183453,0.211475
