feature_pair,feature_a,feature_b,schemas_with_pair,schemas_without_pair,support,timeout_with_pair,timeout_without_pair,timeout_denominator_with,timeout_denominator_without,timeout_rate_with,timeout_rate_without,lift,delta,eligible_lift
has_maxLength__AND__has_properties,has_maxLength,has_properties,540,4420,0.108871,163,27,540,4420,0.301852,0.0061086,49.4143,0.295743,true
has_maxLength__AND__has_type,has_maxLength,has_type,545,4415,0.109879,163,27,545,4415,0.299083,0.00611552,48.9055,0.292967,true
has_maxLength__AND__has_minLength,has_maxLength,has_minLength,394,4566,0.0794355,147,43,394,4566,0.373096,0.00941743,39.6176,0.363679,true
has_maxLength__AND__has_pattern,has_maxLength,has_pattern,296,4664,0.0596774,124,66,296,4664,0.418919,0.0141509,29.6036,0.404768,true
has_boolean_schema__AND__has_maxLength,has_boolean_schema,has_maxLength,368,4592,0.0741935,130,60,368,4592,0.353261,0.0130662,27.0362,0.340195,true
has_additionalProperties__AND__has_maxLength,has_additionalProperties,has_maxLength,372,4588,0.075,130,60,372,4588,0.349462,0.0130776,26.7222,0.336385,true
has_minLength__AND__has_pattern,has_minLength,has_pattern,328,4632,0.066129,119,71,328,4632,0.362805,0.0153282,23.6692,0.347477,true
has_enum__AND__has_maxLength,has_enum,has_maxLength,308,4652,0.0620968,115,75,308,4652,0.373377,0.0161221,23.1593,0.357255,true
has_minLength__AND__has_properties,has_minLength,has_properties,696,4264,0.140323,150,40,696,4264,0.215517,0.00938086,22.9741,0.206136,true
has_minLength__AND__has_type,has_minLength,has_type,701,4259,0.141331,150,40,701,4259,0.21398,0.00939188,22.7835,0.204588,true
has_boolean_schema__AND__has_minLength,has_boolean_schema,has_minLength,423,4537,0.0852823,123,67,423,4537,0.29078,0.0147675,19.6906,0.276013,true
has_maxItems__AND__has_minLength,has_maxItems,has_minLength,71,4889,0.0143145,42,148,71,4889,0.591549,0.030272,19.5411,0.561277,true
has_additionalProperties__AND__has_minLength,has_additionalProperties,has_minLength,428,4532,0.0862903,123,67,428,4532,0.287383,0.0147838,19.4391,0.272599,true
has_maxItems__AND__has_maxLength,has_maxItems,has_maxLength,81,4879,0.0163306,44,146,81,4879,0.54321,0.0299242,18.1529,0.513286,true
has_enum__AND__has_minLength,has_enum,has_minLength,342,4618,0.0689516,107,83,342,4618,0.312865,0.0179731,17.4074,0.294892,true
has_maxLength__AND__has_patternProperties,has_maxLength,has_patternProperties,55,4905,0.0110887,30,160,55,4905,0.545455,0.0326198,16.7216,0.512835,true
has_items__AND__has_maxLength,has_items,has_maxLength,258,4702,0.0520161,88,102,258,4702,0.341085,0.0216929,15.7234,0.319392,true
has_maxLength__AND__has_required,has_maxLength,has_required,430,4530,0.0866935,113,77,430,4530,0.262791,0.0169978,15.4603,0.245793,true
has_maxLength__AND__has_maximum,has_maxLength,has_maximum,116,4844,0.0233871,46,144,116,4844,0.396552,0.0297275,13.3396,0.366824,true
has_maxItems__AND__has_pattern,has_maxItems,has_pattern,108,4852,0.0217742,42,148,108,4852,0.388889,0.0305029,12.7492,0.358386,true
has_maximum__AND__has_minLength,has_maximum,has_minLength,105,4855,0.0211694,41,149,105,4855,0.390476,0.03069,12.7232,0.359786,true
