feature_pair,feature_a,feature_b,schemas_with_pair,schemas_without_pair,support,under_with_pair,under_without_pair,under_denominator_with,under_denominator_without,under_rate_with,under_rate_without,lift,delta,eligible_lift
has_properties__AND__has_type,has_properties,has_type,4834,126,0.974597,2156,3,13868,301,0.155466,0.00996678,15.5984,0.145499,true
has_allOf__AND__has_multipleOf,has_allOf,has_multipleOf,5,4955,0.00100806,21,2138,29,14140,0.724138,0.151202,4.7892,0.572936,true
has_allOf__AND__has_maxLength,has_allOf,has_maxLength,18,4942,0.00362903,52,2107,87,14082,0.597701,0.149624,3.9947,0.448078,true
has_allOf__AND__has_maxItems,has_allOf,has_maxItems,11,4949,0.00221774,24,2135,40,14129,0.6,0.151108,3.97068,0.448892,true
has_maxItems__AND__has_not,has_maxItems,has_not,6,4954,0.00120968,16,2143,27,14142,0.592593,0.151534,3.91061,0.441058,true
has_allOf__AND__has_oneOf,has_allOf,has_oneOf,62,4898,0.0125,123,2036,218,13951,0.56422,0.145939,3.86613,0.418281,true
has_allOf__AND__has_not,has_allOf,has_not,28,4932,0.00564516,79,2080,138,14031,0.572464,0.148243,3.86165,0.424221,true
has_allOf__AND__has_minItems,has_allOf,has_minItems,39,4921,0.0078629,107,2052,189,13980,0.566138,0.146781,3.85702,0.419356,true
has_minItems__AND__has_not,has_minItems,has_not,21,4939,0.00423387,53,2106,92,14077,0.576087,0.149606,3.8507,0.426481,true
has_anyOf__AND__has_not,has_anyOf,has_not,27,4933,0.00544355,70,2089,125,14044,0.56,0.148747,3.76479,0.411253,true
has_maxLength__AND__has_not,has_maxLength,has_not,14,4946,0.00282258,36,2123,64,14105,0.5625,0.150514,3.73719,0.411986,true
has_allOf__AND__has_anyOf,has_allOf,has_anyOf,47,4913,0.00947581,117,2042,229,13940,0.510917,0.146485,3.48785,0.364432,true
has_allOf__AND__has_required,has_allOf,has_required,125,4835,0.0252016,241,1918,494,13675,0.487854,0.140256,3.47831,0.347598,true
has_additionalProperties__AND__has_multipleOf,has_additionalProperties,has_multipleOf,31,4929,0.00625,53,2106,104,14065,0.509615,0.149733,3.40349,0.359882,true
has_boolean_schema__AND__has_multipleOf,has_boolean_schema,has_multipleOf,31,4929,0.00625,53,2106,104,14065,0.509615,0.149733,3.40349,0.359882,true
has_allOf__AND__has_properties,has_allOf,has_properties,148,4812,0.0298387,260,1899,560,13609,0.464286,0.13954,3.32726,0.324746,true
has_allOf__AND__has_type,has_allOf,has_type,149,4811,0.0300403,260,1899,565,13604,0.460177,0.139591,3.2966,0.320586,true
has_multipleOf__AND__has_properties,has_multipleOf,has_properties,37,4923,0.00745968,60,2099,122,14047,0.491803,0.149427,3.29126,0.342376,true
has_multipleOf__AND__has_type,has_multipleOf,has_type,37,4923,0.00745968,60,2099,122,14047,0.491803,0.149427,3.29126,0.342376,true
has_anyOf__AND__has_maxLength,has_anyOf,has_maxLength,25,4935,0.00504032,52,2107,106,14063,0.490566,0.149826,3.27424,0.34074,true
has_multipleOf__AND__has_pattern,has_multipleOf,has_pattern,10,4950,0.00201613,26,2133,53,14116,0.490566,0.151105,3.24652,0.339461,true
has_enum__AND__has_not,has_enum,has_not,43,4917,0.00866935,87,2072,182,13987,0.478022,0.148138,3.22688,0.329884,true
has_allOf__AND__has_minLength,has_allOf,has_minLength,36,4924,0.00725806,91,2068,192,13977,0.473958,0.147957,3.20334,0.326001,true
has_multipleOf__AND__has_required,has_multipleOf,has_required,30,4930,0.00604839,51,2108,107,14062,0.476636,0.149908,3.17953,0.326728,true
has_not__AND__has_oneOf,has_not,has_oneOf,32,4928,0.00645161,58,2101,122,14047,0.47541,0.149569,3.17853,0.325841,true
has_defs__AND__has_multipleOf,has_defs,has_multipleOf,9,4951,0.00181452,22,2137,46,14123,0.478261,0.151313,3.16073,0.326947,true
has_multipleOf__AND__has_ref,has_multipleOf,has_ref,9,4951,0.00181452,22,2137,46,14123,0.478261,0.151313,3.16073,0.326947,true
has_allOf__AND__has_pattern,has_allOf,has_pattern,46,4914,0.00927419,111,2048,239,13930,0.464435,0.147021,3.15898,0.317414,true
has_allOf__AND__has_items,has_allOf,has_items,112,4848,0.0225806,198,1961,440,13729,0.45,0.142836,3.15046,0.307164,true
has_allOf__AND__has_boolean_schema,has_allOf,has_boolean_schema,91,4869,0.0183468,178,1981,394,13775,0.451777,0.143811,3.14146,0.307965,true
has_items__AND__has_not,has_items,has_not,40,4920,0.00806452,85,2074,184,13985,0.461957,0.148302,3.11498,0.313655,true
has_additionalProperties__AND__has_allOf,has_additionalProperties,has_allOf,99,4861,0.0199597,187,1972,419,13750,0.446301,0.143418,3.11188,0.302883,true
has_allOf__AND__has_enum,has_allOf,has_enum,96,4864,0.0193548,150,2009,332,13837,0.451807,0.14519,3.11183,0.306617,true
has_multipleOf__AND__has_oneOf,has_multipleOf,has_oneOf,7,4953,0.00141129,16,2143,35,14134,0.457143,0.15162,3.01505,0.305523,true
has_default__AND__has_multipleOf,has_default,has_multipleOf,6,4954,0.00120968,13,2146,29,14140,0.448276,0.151768,2.95369,0.296508,true
has_minLength__AND__has_not,has_minLength,has_not,24,4936,0.00483871,49,2110,111,14058,0.441441,0.150092,2.94113,0.291349,true
has_allOf__AND__has_maximum,has_allOf,has_maximum,18,4942,0.00362903,42,2117,95,14074,0.442105,0.150419,2.93915,0.291686,true
