feature,schemas_with_feature,schemas_without_feature,timeout_with_feature,timeout_without_feature,timeout_rate_with,timeout_rate_without,lift,support,global_timeout_rate
has_type,4950,10,190,0,0.0383838,0,inf,0.997984,0.0383065
has_maxLength,545,4415,163,27,0.299083,0.00611552,48.9055,0.109879,0.0383065
has_minLength,701,4259,150,40,0.21398,0.00939188,22.7835,0.141331,0.0383065
has_pattern,1135,3825,150,40,0.132159,0.0104575,12.6377,0.228831,0.0383065
has_maxItems,212,4748,45,145,0.212264,0.0305392,6.95055,0.0427419,0.0383065
has_exclusiveMaximum,4,4956,1,189,0.25,0.0381356,6.55556,0.000806452,0.0383065
has_maximum,352,4608,47,143,0.133523,0.031033,4.30261,0.0709677,0.0383065
has_boolean_schema,2285,2675,148,42,0.0647702,0.0157009,4.12525,0.460685,0.0383065
has_additionalProperties,2364,2596,148,42,0.0626058,0.0161787,3.86963,0.476613,0.0383065
has_patternProperties,314,4646,30,160,0.0955414,0.0344382,2.77428,0.0633065,0.0383065
many_properties,2323,2637,133,57,0.0572536,0.0216155,2.64873,0.468347,0.0383065
has_enum,1961,2999,120,70,0.0611933,0.0233411,2.62169,0.395363,0.0383065
large_enum,753,4207,60,130,0.0796813,0.0309009,2.57861,0.151815,0.0383065
has_properties,4840,120,188,2,0.038843,0.0166667,2.33058,0.975806,0.0383065
has_minimum,769,4191,55,135,0.0715215,0.0322119,2.22034,0.15504,0.0383065
has_oneOf,502,4458,37,153,0.0737052,0.0343203,2.14757,0.10121,0.0383065
has_minItems,576,4384,31,159,0.0538194,0.0362682,1.48393,0.116129,0.0383065
has_items,2400,2560,109,81,0.0454167,0.0316406,1.43539,0.483871,0.0383065
deep_schema,979,3981,46,144,0.0469867,0.0361718,1.29899,0.197379,0.0383065
has_required,3621,1339,137,53,0.0378349,0.0395818,0.955865,0.73004,0.0383065
has_not,56,4904,2,188,0.0357143,0.0383361,0.931611,0.0112903,0.0383065
has_default,1115,3845,39,151,0.0349776,0.0392718,0.890654,0.224798,0.0383065
many_required,1796,3164,63,127,0.035078,0.0401391,0.873911,0.362097,0.0383065
has_multipleOf,37,4923,1,189,0.027027,0.0383912,0.70399,0.00745968,0.0383065
has_const,39,4921,1,189,0.025641,0.0384068,0.667616,0.0078629,0.0383065
has_ref,1051,3909,17,173,0.0161751,0.0442568,0.365482,0.211895,0.0383065
has_defs,1144,3816,17,173,0.0148601,0.0453354,0.327782,0.230645,0.0383065
has_minProperties,85,4875,1,189,0.0117647,0.0387692,0.303455,0.0171371,0.0383065
has_allOf,149,4811,1,189,0.00671141,0.039285,0.170839,0.0300403,0.0383065
has_anyOf,413,4547,1,189,0.00242131,0.0415659,0.0582523,0.0832661,0.0383065
has_contains,1,4959,0,190,0,0.0383142,0,0.000201613,0.0383065
has_content,3,4957,0,190,0,0.0383296,0,0.000604839,0.0383065
has_exclusiveMinimum,16,4944,0,190,0,0.0384304,0,0.00322581,0.0383065
has_if_then_else,10,4950,0,190,0,0.0383838,0,0.00201613,0.0383065
has_maxProperties,31,4929,0,190,0,0.0385474,0,0.00625,0.0383065
has_propertyNames,11,4949,0,190,0,0.0383916,0,0.00221774,0.0383065
