feature,schemas_with_feature,schemas_without_feature,under_with_feature,under_without_feature,under_denominator_with,under_denominator_without,under_rate_with,under_rate_without,lift,delta,support,global_under_rate,eligible_lift
has_properties,4840,120,2157,2,13875,294,0.155459,0.00680272,22.8525,0.148657,0.975806,0.152375,true
has_allOf,149,4811,260,1899,565,13604,0.460177,0.139591,3.2966,0.320586,0.0300403,0.152375,true
has_multipleOf,37,4923,60,2099,122,14047,0.491803,0.149427,3.29126,0.342376,0.00745968,0.152375,true
has_not,56,4904,100,2059,232,13937,0.431034,0.147736,2.91759,0.283298,0.0112903,0.152375,true
has_minItems,576,4384,712,1447,2335,11834,0.304925,0.122275,2.49377,0.18265,0.116129,0.152375,true
has_minimum,769,4191,828,1331,3128,11041,0.264706,0.120551,2.19581,0.144155,0.15504,0.152375,true
has_exclusiveMinimum,16,4944,25,2134,81,14088,0.308642,0.151476,2.03756,0.157166,0.00322581,0.152375,true
has_maxItems,212,4748,220,1939,754,13415,0.291777,0.14454,2.01866,0.147237,0.0427419,0.152375,true
has_maximum,352,4608,363,1796,1384,12785,0.262283,0.140477,1.86709,0.121806,0.0709677,0.152375,true
has_required,3621,1339,1797,362,10900,3269,0.164862,0.110737,1.48877,0.0541252,0.73004,0.152375,true
has_propertyNames,11,4949,13,2146,58,14111,0.224138,0.15208,1.47382,0.072058,0.00221774,0.152375,true
has_if_then_else,10,4950,9,2150,45,14124,0.2,0.152223,1.31386,0.0477768,0.00201613,0.152375,true
has_oneOf,502,4458,272,1887,1428,12741,0.190476,0.148105,1.28609,0.0423716,0.10121,0.152375,true
has_default,1115,3845,622,1537,3470,10699,0.179251,0.143658,1.24776,0.0355924,0.224798,0.152375,true
has_maxLength,545,4415,306,1853,1668,12501,0.183453,0.148228,1.23764,0.0352251,0.109879,0.152375,true
has_const,39,4921,29,2130,156,14013,0.185897,0.152002,1.223,0.0338957,0.0078629,0.152375,true
has_anyOf,413,4547,340,1819,1894,12275,0.179514,0.148187,1.2114,0.0313269,0.0832661,0.152375,true
has_minProperties,85,4875,55,2104,313,13856,0.175719,0.151848,1.15721,0.0238713,0.0171371,0.152375,true
has_minLength,701,4259,383,1776,2328,11841,0.164519,0.149987,1.09689,0.0145316,0.141331,0.152375,true
has_ref,1051,3909,599,1560,3739,10430,0.160203,0.149569,1.0711,0.0106347,0.211895,0.152375,true
has_boolean_schema,2285,2675,1151,1008,7350,6819,0.156599,0.147822,1.05937,0.00877638,0.460685,0.152375,true
many_required,1796,3164,955,1204,6138,8031,0.155588,0.149919,1.03781,0.00566908,0.362097,0.152375,true
has_additionalProperties,2364,2596,1185,974,7671,6498,0.154478,0.149892,1.03059,0.00458563,0.476613,0.152375,true
has_defs,1144,3816,616,1543,3996,10173,0.154154,0.151676,1.01634,0.00247815,0.230645,0.152375,true
many_properties,2323,2637,1152,1007,7516,6653,0.153273,0.15136,1.01264,0.00191273,0.468347,0.152375,true
large_enum,753,4207,354,1805,2338,11831,0.151411,0.152565,0.992437,-0.00115383,0.151815,0.152375,true
has_items,2400,2560,1183,976,8025,6144,0.147414,0.158854,0.927985,-0.0114398,0.483871,0.152375,true
deep_schema,979,3981,442,1717,3193,10976,0.138428,0.156432,0.884906,-0.0180044,0.197379,0.152375,true
has_pattern,1135,3825,626,1533,4595,9574,0.136235,0.160121,0.850825,-0.0238861,0.228831,0.152375,true
has_enum,1961,2999,777,1382,5959,8210,0.130391,0.168331,0.774609,-0.0379403,0.395363,0.152375,true
has_maxProperties,31,4929,14,2145,137,14032,0.10219,0.152865,0.668497,-0.0506751,0.00625,0.152375,true
has_patternProperties,314,4646,68,2091,912,13257,0.0745614,0.157728,0.472721,-0.0831666,0.0633065,0.152375,true
has_type,4950,10,2158,1,14152,17,0.152487,0.0588235,2.59228,0.0936638,0.997984,0.152375,false
has_exclusiveMaximum,4,4956,3,2156,15,14154,0.2,0.152324,1.31299,0.0476756,0.000806452,0.152375,false
has_contains,1,4959,0,2159,2,14167,0,0.152396,0,-0.152396,0.000201613,0.152375,false
has_content,3,4957,0,2159,6,14163,0,0.152439,0,-0.152439,0.000604839,0.152375,false
