characteristic,bucket,n_schemas,value_min,value_max,schemas_with_under_rate,schemas_with_over_rate,under_test_rate,over_test_rate,timeout_schema_rate
schema_json_chars,q1_low,1240,18,460,0.11371,0.0967742,0.104566,0.104567,0.0153226
schema_json_chars,q2_mid_low,1243,461,890,0.173773,0.133548,0.151887,0.135093,0.0193081
schema_json_chars,q3_mid_high,1237,892,2007,0.23363,0.231205,0.188788,0.225051,0.0598222
schema_json_chars,q4_high,1240,2008,80756,0.257258,0.299194,0.153828,0.300152,0.058871
schema_file_bytes,q1_low,1240,461,3393,0.0927419,0.110484,0.0948637,0.118286,0.00806452
schema_file_bytes,q2_mid_low,1241,3395,6394,0.182917,0.16116,0.160927,0.155844,0.020145
schema_file_bytes,q3_mid_high,1239,6399,13634,0.244552,0.199354,0.18619,0.19511,0.0492333
schema_file_bytes,q4_high,1240,13636,212170,0.258065,0.289516,0.141793,0.299022,0.0758065
nb_keywords,q1_low,1334,1,15,0.107196,0.0952024,0.101633,0.103104,0.0112444
nb_keywords,q2_mid_low,1160,16,27,0.169828,0.153448,0.14009,0.146697,0.0215517
nb_keywords,q3_mid_high,1234,28,60,0.252026,0.212318,0.202511,0.203305,0.0559157
nb_keywords,q4_high,1232,61,1542,0.25487,0.305195,0.152993,0.316169,0.0657468
nb_properties,q1_low,1468,0,4,0.132153,0.106267,0.121087,0.118063,0.0122616
nb_properties,q2_mid_low,1169,5,9,0.203593,0.139435,0.182736,0.136964,0.0333618
nb_properties,q3_mid_high,1099,10,20,0.234759,0.238399,0.176996,0.22905,0.0527753
nb_properties,q4_high,1224,21,411,0.224673,0.295752,0.134135,0.296545,0.0612745
nb_required,q1_low,1391,0,0,0.120776,0.1711,0.109478,0.167155,0.0381021
nb_required,q2_mid_low,1443,1,3,0.193347,0.144837,0.168659,0.157994,0.040887
nb_required,q3_mid_high,982,4,7,0.239308,0.194501,0.185811,0.193569,0.0325866
nb_required,q4_high,1144,8,317,0.247378,0.266608,0.148175,0.270673,0.0402098
schema_depth,q1_low,2481,0,4,0.159613,0.132205,0.14935,0.130314,0.0338573
schema_depth,q2_mid_low,0,,,0,0,0,0,0
schema_depth,q3_mid_high,1500,5,7,0.248667,0.214,0.165205,0.217573,0.04
schema_depth,q4_high,979,8,22,0.200204,0.300306,0.138428,0.311039,0.0469867
nb_branches_combinators,q1_low,4083,0,0,0.1783,0.166789,0.141886,0.165771,0.0374724
nb_branches_combinators,q2_mid_low,0,,,0,0,0,0,0
nb_branches_combinators,q3_mid_high,0,,,0,0,0,0,0
nb_branches_combinators,q4_high,877,1,546,0.270239,0.298746,0.189336,0.324207,0.0421893
nb_enum_values,q1_low,2999,0,0,0.199066,0.153718,0.168331,0.160373,0.0233411
nb_enum_values,q2_mid_low,0,,,0,0,0,0,0
nb_enum_values,q3_mid_high,817,1,4,0.168911,0.181151,0.116674,0.182917,0.0403917
nb_enum_values,q4_high,1144,5,1554,0.201049,0.291958,0.139367,0.29881,0.076049
nb_regex,q1_low,3641,0,0,0.191156,0.14474,0.167052,0.1382,0.0107113
nb_regex,q2_mid_low,0,,,0,0,0,0,0
nb_regex,q3_mid_high,483,1,1,0.173913,0.31677,0.110334,0.32772,0.0289855
nb_regex,q4_high,836,2,41,0.221292,0.314593,0.135352,0.390836,0.163876
n_tests,q1_low,1678,1,3,0.079261,0.215137,0.0867266,0.227135,0.00655542
n_tests,q2_mid_low,1077,4,4,0.156917,0.171773,0.114595,0.173624,0.0167131
n_tests,q3_mid_high,1325,5,6,0.270189,0.190189,0.168032,0.194139,0.0535849
n_tests,q4_high,880,7,18,0.346591,0.164773,0.181537,0.168231,0.102273
mean_num_tokens,q1_low,1203,1,38,0.143807,0.0581879,0.138495,0.0549589,0.000831255
mean_num_tokens,q2_mid_low,1181,38.25,90,0.205758,0.152413,0.182606,0.147402,0
mean_num_tokens,q3_mid_high,1185,90.1111,221,0.216878,0.261603,0.157347,0.244918,0.00168776
mean_num_tokens,q4_high,1188,221.625,5847,0.245791,0.299663,0.138184,0.282641,0.00925926
